auto_id	initial_data_stage	active_ceo	starting_points_delta
#ceo_initial_data_active_ceos_tables;0;ceo_db/ceo_initial_data_active_ceos_tables/armor			
1003138895	3k_main_ceo_initial_data_character_historical_wu_ju_ancillaries	3k_main_ancilliary_armour_wu_ju_armour_unique	0
1003249739	3k_main_ceo_initial_data_character_historical_liu_he_ancillaries	3k_main_ancilliary_armour_liu_he_armour_unique	0
1003770237	3k_main_ceo_initial_data_character_generic_water_ancillaries_01	3k_main_ancillary_armour_strategist_light_armour_water_common	0
1004033788	3k_main_ceo_initial_data_character_historical_lu_ji_ancillaries	3k_main_ancilliary_armour_lu_ji_armour_unique	0
1004975084	3k_main_ceo_initial_data_character_historical_liu_yan_ancillaries	3k_dlc07_ancillary_armour_liu_yan_armour_unique	0
1008754803	3k_main_ceo_initial_data_character_historical_zuozi_zhangba_ancillaries	3k_main_ancilliary_armour_zuozi_zhangba_armour_unique	0
101069084	3k_main_ceo_initial_data_character_historical_tufa_pigu_ancillaries	3k_main_ancilliary_armour_tufa_pigu_armour_unique	0
1013491558	3k_main_ceo_initial_data_character_historical_Hou_Cheng_ancillaries	3k_main_ancilliary_armour_Hou_Cheng_armour_unique	0
1017764065	ep_ceo_initial_data_stage_character_historical_lu_zhi_ancillaries	3k_main_ancillary_armour_strategist_light_armour_water_common	0
1019078463	ep_ceo_initial_data_stage_character_historical_sun_xiu_ancillaries	3k_main_ancillary_armour_strategist_light_armour_water_common	0
1022149721	3k_main_ceo_initial_data_character_historical_wen_pin_ancillaries	3k_main_ancilliary_armour_wen_pin_armour_unique	0
102964	3k_main_ceo_initial_data_character_historical_meng_da_ancillaries	3k_main_ancilliary_armour_meng_da_armour_unique	0
1034453884	3k_main_ceo_initial_data_character_historical_wen_chou_ancillaries	3k_dlc07_ancillary_armour_wen_chou_armour_unique	0
1034848552	3k_main_ceo_initial_data_character_historical_zhao_fan_ancillaries	3k_main_ancilliary_armour_zhao_fan_armour_unique	0
103861	3k_main_ceo_initial_data_character_historical_ling_tong_ironic_ancillaries	3k_main_ancilliary_armour_ling_tong_ironic_armour_unique	0
1039453709	3k_mtu_ceo_initial_data_character_historical_huang_zu_ancillaries	3k_mtu_ancillary_armour_huang_zus_armour_unique	0
1045989579	3k_main_ceo_initial_data_character_historical_lian_zhi_ancillaries	3k_main_ancilliary_armour_lian_zhi_armour_unique	0
1054073152	3k_main_ceo_initial_data_character_historical_lady_huang_xie_ancillaries	3k_main_ancilliary_armour_lady_huang_xie_armour_unique	0
1057551564	3k_main_ceo_initial_data_character_historical_zhang_he_ancillaries	3k_dlc07_ancillary_armour_zhang_he_armour_unique	0
1058616182	3k_main_ceo_initial_data_character_historical_chang_xi_ancillaries	3k_main_ancilliary_armour_chang_xi_armour_unique	0
106055	3k_main_ceo_initial_data_character_historical_han_dang_ancillaries	3k_main_ancilliary_armour_han_dang_armour_unique	0
10608435	3k_main_ceo_initial_data_character_historical_nangong_zixiao_unique_ancillaries	3k_main_ancilliary_armour_nangong_zixiao_unique_armour_unique	0
1062490760	3k_dlc04_ceo_initial_data_character_historical_non_deployable_cao_ding_ancillaries	3k_dlc04_ancillary_armour_non_deployable_armour_red_refined	0
1066411495	3k_main_ceo_initial_data_character_historical_chen_yu_ancillaries	3k_main_ancilliary_armour_chen_yu_armour_unique	0
1067467837	3k_main_ceo_initial_data_character_historical_wuyan_ancillaries	3k_main_ancilliary_armour_wuyan_armour_unique	0
1068853970	3k_main_ceo_initial_data_character_historical_yuan_shu_ancillaries	3k_main_ancillary_armour_yuan_shus_armour_unique	0
1071479025	3k_main_ceo_initial_data_character_historical_fan_chou_ancillaries	3k_main_ancilliary_armour_fan_chou_armour_unique	0
107484150	3k_main_ceo_initial_data_character_historical_sun_qian_ancillaries	3k_main_ancilliary_armour_sun_qian_armour_unique	0
1075941163	ep_ceo_initial_data_stage_character_historical_sima_cui_ancillaries	ep_ancillary_armour_medium_armour_metal_unique	0
1078454193	3k_main_ceo_initial_data_character_historical_cai_yan_m_ancillaries	3k_main_ancilliary_armour_cai_yan_m_armour_unique	0
1083067996	3k_main_ceo_initial_data_character_historical_yan_yan_ancillaries	3k_ironic_ancilliary_armour_yan_yan_armour_unique	0
1083777594	3k_main_ceo_initial_data_character_historical_huang_hua_ancillaries	3k_main_ancilliary_armour_huang_hua_armour_unique	0
108751639	3k_main_ceo_initial_data_character_historical_xu_he_ytr_ancillaries	3k_main_ancilliary_armour_xu_he_ytr_armour_unique	0
1089220888	3k_dlc04_ceo_initial_data_character_historical_zhang_jue_ancillaries	3k_dlc04_ancillary_armour_zhang_jues_armour_unique	0
1089838076	ep_ceo_initial_data_character_historical_sima_yue_ancillaries	ep_ancillary_sima_yue_armour_unique	0
1090869106	3k_main_ceo_initial_data_character_historical_guo_jia_ancillaries	3k_cp01_ancillary_armour_guo_jias_armour_unique	0
1091086025	3k_main_ceo_initial_data_character_historical_cao_ren_ancillaries	3k_dlc07_ancillary_armour_cao_ren_armour_unique	0
1091634000	3k_dlc05_ceo_initial_data_character_historical_li_jue_ancillaries	3k_dlc05_ancilliary_armour_li_jue_armour_unique	0
1095497826	3k_main_ceo_initial_data_character_historical_yan_liang_ancillaries	3k_dlc07_ancillary_armour_yan_liang_armour_unique	0
1099943031	3k_main_ceo_initial_data_character_historical_gongsun_yue_ancillaries	3k_main_ancilliary_armour_gongsun_yue_armour_unique	0
1100530	3k_main_ceo_initial_data_character_historical_liu_ba_unique_ironic_ancillaries	3k_main_ancilliary_armour_liu_ba_unique_ironic_armour_unique	0
1109952083	3k_main_ceo_initial_data_character_historical_liu_pan_ancillaries	3k_main_ancilliary_armour_liu_pan_armour_unique	0
1112220022	3k_dlc04_ceo_initial_data_character_historical_non_deployable_duan_gui_ziyin_ancillaries	3k_dlc04_ancillary_armour_non_deployable_armour_red_common	0
1113432693	3k_main_ceo_initial_data_character_historical_ze_yue_ancillaries	3k_main_ancilliary_armour_ze_yue_armour_unique	0
1117242772	3k_main_ceo_initial_data_character_historical_huang_gai_ancillaries	3k_cp01_ancillary_armour_huang_gais_armour_unique	0
1123425823	3k_main_ceo_initial_data_character_historical_zhu_gui_ancillaries	3k_ironic_ancilliary_armour_zhu_gui_armour_unique	0
1123628915	3k_main_ceo_initial_data_character_historical_huo_nu_ancillaries	3k_main_ancilliary_armour_huo_nu_armour_unique	0
1125820338	3k_main_ceo_initial_data_character_historical_ze_bu_ancillaries	3k_main_ancilliary_armour_ze_bu_armour_unique	0
1130514836	3k_main_ceo_initial_data_character_historical_syiyan_ancillaries	3k_main_ancilliary_armour_syiyan_armour_unique	0
1141514586	3k_main_ceo_initial_data_character_historical_xu_huang_ancillaries	3k_main_ancillary_armour_xu_huangs_armour_unique	0
1141893776	3k_dlc06_initial_data_stage_character_ancillaries_historical_nanman_mangyachang	3k_dlc06_ancillary_armour_nanman_mangyachang_unique	0
1144927212	3k_main_ceo_initial_data_character_historical_chen_deng_ancillaries	3k_main_ancilliary_armour_chen_deng_armour_unique	0
1146577315	3k_main_ceo_initial_data_character_historical_lady_zhang_shangxiu_ancillaries	3k_main_ancilliary_armour_lady_zhang_shangxiu_armour_unique	0
1149804835	3k_main_ceo_initial_data_character_historical_gujin_ancillaries	3k_main_ancilliary_armour_gujin_armour_unique	0
