auto_id	initial_data_stage	active_ceo	starting_points_delta
#ceo_initial_data_active_ceos_tables;0;ceo_db/ceo_initial_data_active_ceos_tables/data__			
1005752155	3k_main_ceo_initial_data_stage_character_traits_historical_xu_chu	3k_main_ceo_class_wood	0
1005765789	3k_main_ceo_initial_data_stage_character_traits_historical_xianyu_fu	3k_main_ceo_class_fire	0
1005971400	3k_main_ceo_initial_data_stage_character_traits_historical_liu_bao	3k_main_ceo_class_earth	0
1007483527	3k_ytr_ceo_initial_data_stage_character_traits_generated_villager_wood	3k_ytr_ceo_class_heaven	0
1009748027	3k_main_ceo_initial_data_stage_character_traits_historical_yan_gang	3k_main_ceo_class_fire	0
1013900823	3k_dlc04_ceo_initial_data_stage_character_traits_historical_ying_shao_zhongyuan	3k_main_ceo_class_fire	0
1016688600	3k_main_ceo_initial_data_stage_character_traits_historical_Budugen	3k_main_ceo_class_metal	0
101707	3k_main_ceo_initial_data_stage_character_traits_historical_wu_can_ironic	3k_main_ceo_class_wood	0
10180427	3k_main_ceo_initial_data_stage_character_traits_historical_jiang_wan_unique	3k_main_ceo_class_earth	0
1018757213	3k_main_ceo_initial_data_stage_character_traits_historical_wu_ju	3k_main_ceo_class_earth	0
1019090657	3k_main_ceo_initial_data_stage_character_traits_historical_wen_pin	3k_main_ceo_class_wood	0
102126	3k_main_ceo_initial_data_stage_character_traits_historical_fu_xun	3k_main_ceo_class_water	0
1022257677	3k_main_ceo_initial_data_stage_character_traits_historical_wang_feng	3k_main_ceo_class_water	0
1023574938	3k_dlc04_ceo_initial_data_stage_character_traits_historical_huang_yan	3k_main_ceo_class_water	0
1023806313	3k_main_ceo_initial_data_stage_character_traits_historical_sui_gu	3k_main_ceo_class_metal	0
1025772891	3k_dlc05_ceo_initial_data_stage_character_traits_generated_saboteur_metal	3k_main_ceo_class_metal	0
1026244819	3k_main_ceo_initial_data_stage_character_traits_historical_yang_qianwan	3k_main_ceo_class_wood	0
10316688	3k_main_ceo_initial_data_stage_character_traits_historical_zu_si_title_ironic	3k_main_ceo_class_earth	0
1031867036	3k_main_ceo_initial_data_stage_character_traits_historical_chen_gui	3k_main_ceo_class_water	0
1032967953	3k_dlc04_ceo_initial_data_stage_character_traits_historical_zhou_ang	3k_main_ceo_class_earth	0
1039269538	ep_ceo_initial_data_stage_character_traits_historical_pei_wei	3k_main_ceo_class_earth	0
104201	3k_main_ceo_initial_data_stage_character_traits_historical_xu_sheng_ironic	3k_main_ceo_class_earth	0
1043342662	3k_main_ceo_initial_data_stage_character_traits_historical_han_tong	3k_main_ceo_class_wood	0
10435156	3k_main_ceo_initial_data_stage_character_traits_historical_ma_qin_title	3k_main_ceo_class_metal	0
1051783124	3k_dlc05_ceo_initial_data_stage_character_traits_generated_demagogue_earth	3k_main_ceo_class_earth	0
1053299646	3k_main_ceo_initial_data_stage_character_traits_historical_sun_jian	3k_main_ceo_class_metal	0
1053797865	3k_dlc06_ceo_initial_data_equipment_permissions_unique_nanman	3k_main_ceo_equipment_permissions_weapons_all	0
10544541	3k_main_ceo_initial_data_stage_character_traits_historical_zhuo_xiangyun_title	3k_main_ceo_class_earth	0
105780595	3k_main_ceo_initial_data_stage_character_traits_historical_cao_biao	3k_main_ceo_class_earth	0
1058136232	3k_dlc04_ceo_initial_data_stage_character_traits_historical_xue_zhou	3k_main_ceo_class_wood	0
1060097097	3k_main_ceo_initial_data_stage_character_traits_historical_liu_shang	3k_main_ceo_class_metal	0
1063287100	3k_main_ceo_initial_data_stage_character_traits_historical_chogo	3k_main_ceo_class_earth	0
106408	3k_main_ceo_initial_data_stage_character_traits_historical_zuo_xian_ironic	3k_main_ceo_class_water	0
1064144937	3k_main_initial_data_stage_character_traits_historical_shi_wu	3k_main_ceo_class_fire	0
10645589	3k_main_ceo_initial_data_stage_character_traits_historical_chen_shi_title_ironic	3k_main_ceo_class_metal	0
1064733349	3k_main_ceo_initial_data_stage_character_traits_generated_envoy_metal	3k_main_ceo_class_metal	0
106691	3k_main_ceo_initial_data_stage_character_traits_historical_yang_kui	3k_main_ceo_class_earth	0
1067680227	3k_dlc04_ceo_initial_data_stage_character_traits_historical_deng_sheng_boneng	3k_dlc04_political_support_party01	6
1068339715	3k_dlc04_ceo_initial_data_stage_character_traits_historical_lu_jun	3k_main_ceo_class_earth	0
1070140269	3k_main_ceo_initial_data_stage_character_traits_historical_liu_pan	3k_main_ceo_class_earth	0
1073520677	3k_main_ceo_initial_data_equipment_permissions_unique_wood	3k_main_ceo_equipment_permissions_weapons_wood	0
1077297430	3k_main_ceo_initial_data_stage_character_traits_historical_gan_ning	3k_main_ceo_class_fire	0
1079104140	3k_main_ceo_initial_data_stage_character_traits_generated_governor_metal	3k_main_ceo_class_metal	0
1080644193	3k_main_ceo_initial_data_stage_character_traits_historical_lu_shang	3k_main_ceo_class_fire	0
108092	3k_main_ceo_initial_data_stage_character_traits_historical_wu_xi_ironic	3k_main_ceo_class_metal	0
1081674062	3k_main_ceo_initial_data_stage_character_traits_historical_Song_Xian	3k_main_ceo_class_metal	0
1087833392	3k_main_ceo_initial_data_stage_character_traits_historical_cang_qinting	3k_main_ceo_class_earth	0
1090934877	3k_dlc06_initial_data_stage_character_traits_generic_nanman_rare_wood	3k_dlc06_ceo_class_nanman	0
1091157771	3k_dlc04_ceo_initial_data_stage_character_traits_historical_ying_feng_shishu	3k_main_ceo_class_earth	0
1096284539	3k_main_ceo_initial_data_stage_character_traits_historical_huangfu_song	3k_main_ceo_class_metal	0
