auto_id	initial_data_stage	active_ceo	starting_points_delta
#ceo_initial_data_active_ceos_tables;0;ceo_db/ceo_initial_data_active_ceos_tables/liu_chong			
1076879344	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_spear_inf_common_locked	0
1259497838	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_shock_cav_unique_locked	0
126310511	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_unique_locked	0
1273968215	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_spear_inf_refined_locked	0
12765945	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_refined_locked	0
1756409778	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_ranged_unique_locked	0
1760047853	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_siege_refined_locked	0
1772422648	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_common_locked	0
336329270	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_heroes_unique_locked	0
43058533	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_common_locked	0
560661257	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_siege_common_locked	0
616703158	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_refined_locked	0
643871945	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_people_unique_locked	0
663433782	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_shock_cav_refined_locked	0
745534587	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_shock_cav_common_locked	0
760104319	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_spear_inf_unique_locked	0
802817102	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_siege_unique_locked	0
864364286	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_ranged_common_locked	0
928948086	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_unique_locked	0
935801158	3k_dlc04_ceo_initial_data_faction_liu_chong_stage1	3k_dlc04_ceo_factional_trophy_cabinet_ranged_refined_locked	0
