auto_id	initial_data_stage	active_ceo	starting_points_delta
#ceo_initial_data_active_ceos_tables;0;ceo_db/ceo_initial_data_active_ceos_tables/lu_zhi			
1020885685	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_cunning_common_locked	0
105168699	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_instinct_exceptional_locked	0
1107251663	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_cunning_exceptional_locked	0
1190542336	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_authority_exceptional_locked	0
1190902883	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_instinct_refined_locked	0
1202331127	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_authority_unique_locked	0
129225256	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_authority_exceptional_locked	0
1388051805	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_cunning_refined_locked	0
1412296664	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_expertise_common_locked	0
1430223166	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_authority_refined_locked	0
1449339011	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_resolve_refined_locked	0
1477775970	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_resolve_exceptional_locked	0
1484883225	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_expertise_common_locked	0
1484942126	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_resolve_unique_locked	0
1553618238	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_cunning_exceptional_locked	0
1560241083	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_resolve_unique_locked	0
1631328122	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_cunning_unique_locked	0
1732235433	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_resolve_common_locked	0
180821330	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_expertise_refined_locked	0
1809338444	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_authority_refined_locked	0
1869575730	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_expertise_exceptional_locked	0
1898894041	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_expertise_unique_locked	0
1920444495	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_authority_unique_locked	0
1948704518	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_instinct_exceptional_locked	0
1964878205	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_instinct_unique_locked	0
2056929815	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_resolve_exceptional_locked	0
2106459305	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_instinct_unique_locked	0
266549507	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_expertise_refined_locked	0
349164328	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_authority_common_locked	0
371384201	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_instinct_common_locked	0
375173427	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_cunning_refined_locked	0
402563086	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_instinct_common_locked	0
40696787	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_cunning_unique_locked	0
422532906	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_expertise_unique_locked	0
530626635	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_cunning_common_locked	0
54854700	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_resolve_refined_locked	0
63572280	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_expertise_exceptional_locked	0
890228902	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_authority_common_locked	0
907168886	3k_dlc04_ceo_initial_data_faction_lu_zhi_stage1	3k_dlc04_ceo_factional_great_library_instinct_refined_locked	0
980954560	3k_dlc04_ceo_initial_data_faction_ying_shao_stage1	3k_dlc04_ceo_factional_great_library_resolve_common_locked	0
