auto_id	initial_data_stage	active_ceo	starting_points_delta
#ceo_initial_data_active_ceos_tables;0;ceo_db/ceo_initial_data_active_ceos_tables/sun_ce			
104747661	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_jianye_capital	0
1086437857	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_old_metal	0
110058583	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_changsha_trade_port	0
1219221565	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_female_earth_wood	0
1229848456	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_jiangling_capital	0
1301387260	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_grandmasters_earth	0
1330593538	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_young_metal_fire	0
137260351	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_grandmasters_metal	0
1400107541	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_kuaiji_livestock	0
1407001686	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_kuaiji_rice_paddy	0
1412778566	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_jianye_salt_mine	0
1423465552	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_poyang_capital	0
1487520752	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_female_metal_fire	0
1505587827	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_achieve_artery_of_the_world	0
1526229240	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_grandmasters_water	0
1579613105	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_poyang_iron_mine	0
1617193848	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_jianye_copper_mine	0
1663308437	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_xiangyang_toolmaker	0
1697228766	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_high_level_sun_ce	0
1793883118	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_xindu_fishing_port	0
1893888353	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_high_level_sun_quan	0
190268846	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_achieve_unbeatable	0
190550398	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_changsha_capital	0
1937437342	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_official_water	0
1955350526	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_high_level_zhou_yu	0
199168679	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_young_earth_wood	0
2027301396	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_young_water	0
2037572639	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_grandmasters_wood	0
2079443501	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_old_fire	0
2120238350	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_kuaiji_capital	0
2144446170	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_grandmasters_fire	0
24249085	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_official_earth	0
25301688	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_old_wood	0
270463842	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_achieve_sun_familiy_rises_again	0
480651621	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_changsha_armour_craftsmen	0
561649639	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_poyang_weapon_craftsmen	0
634551323	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_xindu_capital	0
677497784	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_xindu_lumber_yard	0
683845883	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_achieve_new_centrum	0
735676159	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_secure_changsha_teahouse	0
755644765	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_achieve_independence	0
765495553	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_achieve_tiny_conqueror	0
783720980	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_achieve_wolf_cub_roars	0
816241975	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_achieve_defeat_the_white_tiger	0
872883179	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1	3k_dlc05_ceo_sun_ce_ambition_recruit_high_level_lady_sun	0
