auto_id	initial_data_stage	active_ceo	starting_points_delta
#ceo_initial_data_active_ceos_tables;0;ceo_db/ceo_initial_data_active_ceos_tables/weapons			
1001174735	3k_main_ceo_initial_data_character_historical_cai_zhong_ancillaries	3k_main_ancillary_weapon_hook_sickle_sabre_common	0
1001441388	3k_main_ceo_initial_data_character_historical_cao_hong_ancillaries	3k_main_ancillary_weapon_two_handed_spear_refined	0
1001573147	3k_main_ceo_initial_data_character_historical_huang_gai_ancillaries	3k_main_ancillary_weapon_hook_sickle_sabre_common	0
10021494	3k_main_ceo_initial_data_character_historical_wang_lei_unique_ancillaries	3k_main_ancillary_weapon_dual_swords_common	0
1003950907	3k_main_ceo_initial_data_character_historical_lady_cai_ancillaries	3k_main_ancillary_weapon_sword_and_shield_common	0
1005005929	3k_main_ceo_initial_data_character_historical_huche_er_ancillaries	3k_main_ancillary_weapon_two_handed_spear_common	0
100504025	3k_main_ceo_initial_data_character_historical_xu_huang_ancillaries	3k_main_ancillary_weapon_one_handed_axe_common	0
10058854	3k_main_ceo_initial_data_character_historical_yong_kai_unique_ancillaries	3k_main_ancillary_weapon_halberd_common	0
1005904845	3k_main_ceo_initial_data_character_historical_zhao_yun_ancillaries	3k_main_ancillary_weapon_one_handed_axe_common	0
1006937511	3k_main_ceo_initial_data_character_historical_cheng_pu_ancillaries	3k_main_ancillary_weapon_sword_and_shield_common	0
1007223179	3k_main_ceo_initial_data_character_historical_fan_chou_ancillaries	3k_main_ancillary_weapon_two_handed_axe_common	0
1007643013	3k_main_ceo_initial_data_character_historical_zhuge_xuan_ancillaries	3k_main_ancillary_weapon_halberd_common	0
1007787085	3k_main_ceo_initial_data_character_historical_sun_shao_ancillaries	3k_main_ancillary_weapon_single_edged_sword_common	0
1007943726	3k_main_ceo_initial_data_character_historical_miao_wanwan_ancillaries	3k_main_ancillary_weapon_dual_swords_common	0
1009169295	3k_main_ceo_initial_data_character_generic_fire_ancillaries_02	3k_main_ancillary_weapon_two_handed_axe_common	0
1009398464	3k_main_ceo_initial_data_character_historical_cheng_yin_ancillaries	3k_main_ancillary_weapon_sword_and_shield_common	0
1010445781	3k_main_ceo_initial_data_character_historical_huang_ang_ancillaries	3k_main_ancillary_weapon_halberd_common	0
1010817000	3k_main_ceo_initial_data_character_historical_cao_xi_ancillaries	3k_main_ancillary_weapon_two_handed_spear_common	0
101082001	3k_ytr_ceo_initial_data_character_historical_huang_shao_ancillaries	3k_main_ancillary_weapon_dual_swords_common	0
1013637730	3k_main_ceo_initial_data_character_historical_ling_tong_ancillaries	3k_main_ancillary_weapon_two_handed_spear_common	0
1014946845	3k_main_ceo_initial_data_character_historical_guo_nuwang_ancillaries	3k_main_ancillary_weapon_dual_swords_common	0
1015444116	3k_main_ceo_initial_data_character_historical_quan_rou_ancillaries	3k_main_ancillary_weapon_two_handed_spear_common	0
1017228753	3k_main_ceo_initial_data_character_historical_lady_lu_yang_ancillaries	3k_main_ancillary_weapon_dual_swords_common	0
1017545502	3k_mtu_ceo_initial_data_character_historical_lady_guan_yinping_anicillaries	3k_main_ancillary_weapon_hook_sickle_sabre_common	0
101799	3k_main_ceo_initial_data_character_historical_you_tu_ancillaries	3k_main_ancillary_weapon_halberd_common	0
1019211789	3k_main_ceo_initial_data_character_historical_zhang_xian_ancillaries	3k_main_ancillary_weapon_double_edged_sword_common	0
1019274168	3k_main_ceo_initial_data_character_historical_congqian_ancillaries	3k_main_ancillary_weapon_single_edged_sword_common	0
1019689161	3k_mtu_ceo_initial_data_character_historical_lady_zhang_jinglan_ancillaries	3k_main_ancillary_weapon_single_edged_sword_common	0
