ceo_initial_data	stage	initial_data_stage
#ceo_initial_data_to_stages_tables;0;ceo_db/ceo_initial_data_to_stages_tables/data__		
3k_dlc04_ceo_initial_data_character_historical_bao_dan	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_bao_dan	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_bao_dan
3k_dlc04_ceo_initial_data_character_historical_bao_dan	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_bao_dan	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_bao_dan	15	3k_main_ceo_initial_data_stage_character_wealth_medium
3k_dlc04_ceo_initial_data_character_historical_bao_dan	17	3k_main_ceo_initial_data_stage_character_childhood_water
3k_dlc04_ceo_initial_data_character_historical_bao_dan	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_bao_dan	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_bao_dan	21	3k_dlc04_ceo_initial_data_character_give_political_support_01
3k_dlc04_ceo_initial_data_character_historical_bao_dan	3	3k_main_ceo_initial_data_character_generic_water_ancillaries_01
3k_dlc04_ceo_initial_data_character_historical_bao_dan	4	3k_main_ceo_initial_data_equipment_permissions_unique_water
3k_dlc04_ceo_initial_data_character_historical_beigong_boyu	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_beigong_boyu	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_beigong_boyu
3k_dlc04_ceo_initial_data_character_historical_beigong_boyu	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_beigong_boyu	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_beigong_boyu	15	3k_main_ceo_initial_data_stage_character_wealth_low
3k_dlc04_ceo_initial_data_character_historical_beigong_boyu	17	3k_main_ceo_initial_data_stage_character_childhood_fire
3k_dlc04_ceo_initial_data_character_historical_beigong_boyu	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_beigong_boyu	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_beigong_boyu	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc04_ceo_initial_data_character_historical_beigong_boyu	3	3k_main_ceo_initial_data_character_generic_fire_ancillaries_01
3k_dlc04_ceo_initial_data_character_historical_beigong_boyu	4	3k_main_ceo_initial_data_equipment_permissions_generic_fire
3k_dlc04_ceo_initial_data_character_historical_bian_zhang	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_bian_zhang	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_bian_zhang
3k_dlc04_ceo_initial_data_character_historical_bian_zhang	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_bian_zhang	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_bian_zhang	15	3k_main_ceo_initial_data_stage_character_wealth_low
3k_dlc04_ceo_initial_data_character_historical_bian_zhang	17	3k_main_ceo_initial_data_stage_character_childhood_metal
3k_dlc04_ceo_initial_data_character_historical_bian_zhang	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_bian_zhang	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_bian_zhang	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc04_ceo_initial_data_character_historical_bian_zhang	3	3k_main_ceo_initial_data_character_generic_metal_ancillaries_02
3k_dlc04_ceo_initial_data_character_historical_bian_zhang	4	3k_main_ceo_initial_data_equipment_permissions_generic_metal
3k_dlc04_ceo_initial_data_character_historical_bo_cai	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_bo_cai	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_bo_cai
3k_dlc04_ceo_initial_data_character_historical_bo_cai	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_bo_cai	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_bo_cai	16	3k_ytr_ceo_initial_data_stage_character_learning_student
3k_dlc04_ceo_initial_data_character_historical_bo_cai	17	3k_main_ceo_initial_data_stage_character_childhood_wood
3k_dlc04_ceo_initial_data_character_historical_bo_cai	2	3k_ytr_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_bo_cai	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_bo_cai	3	3k_ytr_ceo_initial_data_character_generic_wood_ancillaries
3k_dlc04_ceo_initial_data_character_historical_bo_cai	4	3k_ytr_ceo_initial_data_equipment_permissions_generic_wood
3k_dlc04_ceo_initial_data_character_historical_bu_si	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_bu_si	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_bu_si
3k_dlc04_ceo_initial_data_character_historical_bu_si	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_bu_si	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_bu_si	16	3k_ytr_ceo_initial_data_stage_character_learning_student
3k_dlc04_ceo_initial_data_character_historical_bu_si	17	3k_main_ceo_initial_data_stage_character_childhood_metal
3k_dlc04_ceo_initial_data_character_historical_bu_si	2	3k_ytr_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_bu_si	3	3k_ytr_ceo_initial_data_character_generic_metal_ancillaries
3k_dlc04_ceo_initial_data_character_historical_bu_si	4	3k_ytr_ceo_initial_data_equipment_permissions_generic_metal
3k_dlc04_ceo_initial_data_character_historical_cai_yong_bojie	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_cai_yong_bojie	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_cai_yong_bojie
3k_dlc04_ceo_initial_data_character_historical_cai_yong_bojie	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_cai_yong_bojie	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_cai_yong_bojie	15	3k_main_ceo_initial_data_stage_character_wealth_low
3k_dlc04_ceo_initial_data_character_historical_cai_yong_bojie	17	3k_main_ceo_initial_data_stage_character_childhood_water
3k_dlc04_ceo_initial_data_character_historical_cai_yong_bojie	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_cai_yong_bojie	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc04_ceo_initial_data_character_historical_cai_yong_bojie	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc04_ceo_initial_data_character_historical_cai_yong_bojie	3	3k_main_ceo_initial_data_character_generic_water_ancillaries_01
3k_dlc04_ceo_initial_data_character_historical_cai_yong_bojie	4	3k_main_ceo_initial_data_equipment_permissions_generic_water
3k_dlc04_ceo_initial_data_character_historical_cao_de	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc04_ceo_initial_data_character_historical_cao_de	11	3k_dlc04_ceo_initial_data_stage_character_traits_historical_cao_de
3k_dlc04_ceo_initial_data_character_historical_cao_de	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc04_ceo_initial_data_character_historical_cao_de	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc04_ceo_initial_data_character_historical_cao_de	15	3k_main_ceo_initial_data_stage_character_wealth_low
3k_dlc04_ceo_initial_data_character_historical_cao_de	17	3k_main_ceo_initial_data_stage_character_childhood_earth
3k_dlc04_ceo_initial_data_character_historical_cao_de	2	3k_main_initial_data_character_ancillaries_global
3k_dlc04_ceo_initial_data_character_historical_cao_de	20	3k_main_ceo_initial_data_stage_character_potential_legendary
