key	ceo_effect_list	point_change_per_turn_if_active	title	description	icon_path	opinion_topic_modifier
#ceo_nodes_tables;0;ceo_db/ceo_nodes_tables/chen_wen						
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_chen_gui	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_chen_gui	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_liang_rebels	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_liang_rebels	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_lu_zhi	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_lu_zhi	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_prince_liu_chong	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_prince_liu_chong	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_zhang_bao	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_zhang_bao	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_zhang_jue	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_zhang_jue	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_zhang_liang	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_zhang_liang	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_hua_xin	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_hua_xin	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_lu_bu	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_lu_bu	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_sheng_xian	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_sheng_xian	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_sun_ce	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_sun_ce	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_white_tiger_yan	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_white_tiger_yan	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_wu_jing	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_wu_jing	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_yang_feng	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_yang_feng	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_main_faction_cao_cao	ironic_ceo_factional_chen_wen_unit_unlock_3k_main_faction_cao_cao	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_main_faction_dong_zhuo	ironic_ceo_factional_chen_wen_unit_unlock_3k_main_faction_dong_zhuo	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_main_faction_gao_gan	ironic_ceo_factional_chen_wen_unit_unlock_3k_main_faction_gao_gan	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
ironic_ceo_factional_chen_wen_unit_unlock_3k_main_faction_gongsun_du	ironic_ceo_factional_chen_wen_unit_unlock_3k_main_faction_gongsun_du	0	placeholder	placeholder	UI/Campaign UI/traits/icon_wise_good.png	
