key	ceo_effect_list	point_change_per_turn_if_active	title	description	icon_path	opinion_topic_modifier
#ceo_nodes_tables;0;ceo_db/ceo_nodes_tables/data__						
3k_cp01_ceo_node_guo_jias_armour_unique_01	3k_cp01_ceo_node_guo_jias_armour_unique_01	0	Guo Jia's Armour	The perfect weight and fit, tailored for this warrior of class and distinction.	armours/3k_main_ancillary_guo_jia_armour_unique.png	
3k_cp01_ceo_node_huang_gais_armour_unique_01	3k_cp01_ceo_node_huang_gais_armour_unique_01	0	Huang Gai's Armour	The perfect weight and fit, tailored for this warrior of class and distinction.	armours/3k_main_ancillary_huang_gai_armour_unique.png	
3k_cp01_ceo_node_jia_xus_armour_unique_01	3k_cp01_ceo_node_jia_xus_armour_unique_01	0	Jia Xu's Armour	The perfect weight and fit, tailored for this warrior of class and distinction.	armours/3k_main_ancillary_jia_xu_armour_unique.png	
3k_cp01_ceo_node_pang_tongs_armour_unique_01	3k_cp01_ceo_node_pang_tongs_armour_unique_01	0	Pang Tong's Armour	The perfect weight and fit, tailored for this warrior of class and distinction.	armours/3k_main_ancillary_pang_tong_armour_unique.png	
3k_dlc04_ancillary_accessory_calligraphy_set_unique	3k_dlc04_ancillary_accessory_calligraphy_set_unique	0	Calligraphy Set	Well-formed prose has a beauty all its own and confers authority upon its author.	accessories/3k_dlc04_ancillary_accessory_calligraphy_set_unique.png	
3k_dlc04_ancillary_accessory_nushe_bifa_unique	3k_dlc04_ancillary_accessory_nushe_bifa_unique	0	Nushe Bifa	"The whole assembly is called ji, for it is just as ingenious as the loom."	accessories/3k_dlc04_ancillary_accessory_nushe_bifa_unique.png	
3k_dlc04_ancillary_accessory_religious_bell_unique	3k_dlc04_ancillary_accessory_religious_bell_unique	0	Religious Bell	The bell calls the faithful to peaceful contemplation of the world and their place in it.	accessories/3k_dlc04_ancillary_accessory_religious_bell_unique.png	
3k_dlc04_ancillary_accessory_zhang_liang_unique	3k_dlc04_ancillary_accessory_zhang_liang_unique	0	Zhang Liang's Garland	These beads are used to count recitations and breaths, that their wearer may find harmony in the Way.	accessories/3k_dlc04_ancillary_accessory_zhang_liang_unique.png	
3k_dlc04_ancillary_apprentice_crafter	3k_dlc04_ancillary_follower_apprentice_crafter	0	Apprentice Crafter	Though yet to gain the benefits that storied experience brings, he nevertheless is skilled in constructing battlefield defences, and can pass that knowledge on to others.	followers/3k_dlc04_ancillary_apprentice_crafter.png	
3k_dlc04_ancillary_armour_diao_chans_armour_unique_01	3k_dlc04_ancillary_armour_diao_chans_armour_unique	0	Diao Chan's Armour	The perfect weight and fit, tailored for this warrior of class and distinction.	armours/3k_dlc04_ancillary_armour_diao_chan_armour_unique.png	
3k_dlc04_ancillary_armour_emperor_ling_armour_unique	3k_dlc04_ancillary_armour_emperor_ling_armour_unique	0	The Emperor's Robes	These grand robes were made with consummate skill, befitting the one who bears the burden of Heaven's Mandate.	armours/3k_dlc04_ancillary_armour_emperor_ling_armour_unique.png	
