key	ceo_effect_list	point_change_per_turn_if_active	title	description	icon_path	opinion_topic_modifier
#ceo_nodes_tables;0;ceo_db/ceo_nodes_tables/liu_bei						
ironic_ceo_ptu_gongsun_zan_s1_00	empty_effects	0	{{tr:ironic_ptu_req_gongsun_zan_s1_title}}	{{tr:ironic_ptu_req_gongsun_zan_s1}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_achieve_rank_gongsun_zan.png	
ironic_ceo_ptu_gongsun_zan_s1_01	ironic_ceo_ptu_gongsun_zan_s1	0	{{tr:ironic_ptu_req_gongsun_zan_s1_title}}	{{tr:ironic_ptu_req_gongsun_zan_s1}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_achieve_rank_gongsun_zan.png	
ironic_ceo_ptu_gongsun_zan_s2_00	empty_effects	0	{{tr:ironic_ptu_req_gongsun_zan_s2_title}}	{{tr:ironic_ptu_req_gongsun_zan_s2}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
ironic_ceo_ptu_gongsun_zan_s2_01	ironic_ceo_ptu_gongsun_zan_s2	0	{{tr:ironic_ptu_req_gongsun_zan_s2_title}}	{{tr:ironic_ptu_req_gongsun_zan_s2}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
ironic_ceo_ptu_gongsun_zan_s3_00	empty_effects	0	{{tr:ironic_ptu_req_gongsun_zan_s3_title}}	{{tr:ironic_ptu_req_gongsun_zan_s3}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_achieve_rank_zhao_yun.png	
ironic_ceo_ptu_gongsun_zan_s3_01	ironic_ceo_ptu_gongsun_zan_s3	0	{{tr:ironic_ptu_req_gongsun_zan_s3_title}}	{{tr:ironic_ptu_req_gongsun_zan_s3}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_achieve_rank_zhao_yun.png	
ironic_ceo_ptu_gongsun_zan_s4_00	empty_effects	0	{{tr:ironic_ptu_req_gongsun_zan_s4_title}}	{{tr:ironic_ptu_req_gongsun_zan_s4}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_achieve_rank_liu_bei.png	
ironic_ceo_ptu_gongsun_zan_s4_01	ironic_ceo_ptu_gongsun_zan_s4	0	{{tr:ironic_ptu_req_gongsun_zan_s4_title}}	{{tr:ironic_ptu_req_gongsun_zan_s4}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_achieve_rank_liu_bei.png	
ironic_ceo_ptu_gongsun_zan_s5_00	empty_effects	0	{{tr:ironic_ptu_req_gongsun_zan_s5_title}}	{{tr:ironic_ptu_req_gongsun_zan_s5}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_achieve_rank_lu_zhi.png	
ironic_ceo_ptu_gongsun_zan_s5_01	ironic_ceo_ptu_gongsun_zan_s5	0	{{tr:ironic_ptu_req_gongsun_zan_s5_title}}	{{tr:ironic_ptu_req_gongsun_zan_s5}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_achieve_rank_lu_zhi.png	
ironic_ceo_ptu_kong_rong_s1_00	empty_effects	0	{{tr:ironic_ptu_req_kong_rong_s1_title}}	{{tr:ironic_ptu_req_kong_rong_s1}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_4.png	
ironic_ceo_ptu_kong_rong_s1_01	ironic_ceo_ptu_kong_rong_s1	0	{{tr:ironic_ptu_req_kong_rong_s1_title}}	{{tr:ironic_ptu_req_kong_rong_s1}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_4.png	
ironic_ceo_ptu_kong_rong_s2_00	empty_effects	0	{{tr:ironic_ptu_req_kong_rong_s2_title}}	{{tr:ironic_ptu_req_kong_rong_s2}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_temple.png	
ironic_ceo_ptu_kong_rong_s2_01	ironic_ceo_ptu_kong_rong_s2	0	{{tr:ironic_ptu_req_kong_rong_s2_title}}	{{tr:ironic_ptu_req_kong_rong_s2}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_temple.png	
ironic_ceo_ptu_kong_rong_s3_00	empty_effects	0	{{tr:ironic_ptu_req_kong_rong_s3_title}}	{{tr:ironic_ptu_req_kong_rong_s3}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_achieve_liu_bei_settlement.png	
ironic_ceo_ptu_kong_rong_s3_01	ironic_ceo_ptu_kong_rong_s3	0	{{tr:ironic_ptu_req_kong_rong_s3_title}}	{{tr:ironic_ptu_req_kong_rong_s3}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_achieve_liu_bei_settlement.png	
ironic_ceo_ptu_kong_rong_s4_00	empty_effects	0	{{tr:ironic_ptu_req_kong_rong_s4_title}}	{{tr:ironic_ptu_req_kong_rong_s4}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_jade.png	
ironic_ceo_ptu_kong_rong_s4_01	ironic_ceo_ptu_kong_rong_s4	0	{{tr:ironic_ptu_req_kong_rong_s4_title}}	{{tr:ironic_ptu_req_kong_rong_s4}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_jade.png	
ironic_ceo_ptu_kong_rong_s5_00	empty_effects	0	{{tr:ironic_ptu_req_kong_rong_s5_title}}	{{tr:ironic_ptu_req_kong_rong_s5}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_achieve_rank_liu_bei.png	
ironic_ceo_ptu_kong_rong_s5_01	ironic_ceo_ptu_kong_rong_s5	0	{{tr:ironic_ptu_req_kong_rong_s5_title}}	{{tr:ironic_ptu_req_kong_rong_s5}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_achieve_rank_liu_bei.png	
ironic_ceo_ptu_tao_qian_s1_00	empty_effects	0	{{tr:ironic_ptu_req_tao_qian_s1_title}}	{{tr:ironic_ptu_req_tao_qian_s1}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_9.png	
ironic_ceo_ptu_tao_qian_s1_01	ironic_ceo_ptu_tao_qian_s1	0	{{tr:ironic_ptu_req_tao_qian_s1_title}}	{{tr:ironic_ptu_req_tao_qian_s1}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_9.png	
ironic_ceo_ptu_tao_qian_s2_00	empty_effects	0	{{tr:ironic_ptu_req_tao_qian_s2_title}}	{{tr:ironic_ptu_req_tao_qian_s2}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_trade_port.png	
ironic_ceo_ptu_tao_qian_s2_01	ironic_ceo_ptu_tao_qian_s2	0	{{tr:ironic_ptu_req_tao_qian_s2_title}}	{{tr:ironic_ptu_req_tao_qian_s2}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_trade_port.png	
ironic_ceo_ptu_tao_qian_s3_00	empty_effects	0	{{tr:ironic_ptu_req_tao_qian_s3_title}}	{{tr:ironic_ptu_req_tao_qian_s3}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_achieve_rank_lady_mi.png	
ironic_ceo_ptu_tao_qian_s3_01	ironic_ceo_ptu_tao_qian_s3	0	{{tr:ironic_ptu_req_tao_qian_s3_title}}	{{tr:ironic_ptu_req_tao_qian_s3}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_achieve_rank_lady_mi.png	
ironic_ceo_ptu_tao_qian_s4_00	empty_effects	0	{{tr:ironic_ptu_req_tao_qian_s4_title}}	{{tr:ironic_ptu_req_tao_qian_s4}}	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_achieve_rank_lady_mi.png	
