key	ceo_effect_list	point_change_per_turn_if_active	title	description	icon_path	opinion_topic_modifier
#ceo_nodes_tables;0;ceo_db/ceo_nodes_tables/liu_yu						
3k_main_ceo_liu_yu_00_han_capital_changan	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
3k_main_ceo_liu_yu_00_han_capital_luoyang	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
3k_main_ceo_liu_yu_00_han_capital_penchang	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
3k_main_ceo_liu_yu_00_han_capital_weijun	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
3k_main_ceo_liu_yu_00_han_capital_yingchuan	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
3k_main_ceo_liu_yu_00_han_character_liu_he	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
3k_main_ceo_liu_yu_00_han_character_liu_xie	empty_effects	0	placeholder	placeholder	ui/ancillaries/armours/3k_dlc07_ancillary_armour_emperor_xian_armour_unique.png	
3k_main_ceo_liu_yu_00_han_character_liu_yu_00	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
3k_main_ceo_liu_yu_00_han_character_tian_chou	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
3k_main_ceo_liu_yu_00_han_character_wei_you	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
3k_main_ceo_liu_yu_00_han_character_xianyu_fu	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
3k_main_ceo_liu_yu_00_han_character_xianyu_yin	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
3k_main_ceo_liu_yu_00_tribal_character_huchuquan	empty_effects	0	placeholder	placeholder	ui/ancillaries/armours/3k_puzzle_ancillary_high_skies.png	
3k_main_ceo_liu_yu_00_tribal_character_liu_bao	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
3k_main_ceo_liu_yu_00_tribal_character_qubei	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
3k_main_ceo_liu_yu_00_tribal_character_recruit_nanlou	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
3k_main_ceo_liu_yu_00_tribal_character_recruit_qiulijiu	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
3k_main_ceo_liu_yu_00_tribal_character_recruit_supuyuan	empty_effects	0	placeholder	placeholder	UI/ancillaries/path_to_unity/liu_bei_faction_feature_custom_ceo_icon_city_2.png	
