key	ceo_effect_list	point_change_per_turn_if_active	title	description	icon_path	opinion_topic_modifier
#ceo_nodes_tables;0;ceo_db/ceo_nodes_tables/yuan_shao						
3k_dlc07_ceo_factional_yuan_shao_captain_quest_combat_01	3k_dlc07_ceo_factional_yuan_shao_captain_quest_combat_01	0	Pursuit: Manoeuvre 01	In battle, achieve 100 kills with your captains.\n\n {{tr:3k_dlc07_yuan_shao_captain_quest_combat_flavour}}	UI/skins/default/3k_dlc07_button_context_list_missions_captains_manoeuvre_1.png	
3k_dlc07_ceo_factional_yuan_shao_captain_quest_combat_02	3k_dlc07_ceo_factional_yuan_shao_captain_quest_combat_02	0	Pursuit: Manoeuvre 02	In battle, achieve 300 kills with your captains.\n\n {{tr:3k_dlc07_yuan_shao_captain_quest_combat_flavour}}	UI/skins/default/3k_dlc07_button_context_list_missions_captains_manoeuvre_2.png	
3k_dlc07_ceo_factional_yuan_shao_captain_quest_combat_03	3k_dlc07_ceo_factional_yuan_shao_captain_quest_combat_03	0	Pursuit: Manoeuvre 03	In battle, achieve 500 kills with your captains.\n\n {{tr:3k_dlc07_yuan_shao_captain_quest_combat_flavour}}	UI/skins/default/3k_dlc07_button_context_list_missions_captains_manoeuvre_3.png	
3k_dlc07_ceo_factional_yuan_shao_captain_quest_recruitment_01	3k_dlc07_ceo_factional_yuan_shao_captain_quest_recruitment_01	0	Pursuit: Enlistment 01	Recruit new captain retinues 3 times.\n\n {{tr:3k_dlc07_yuan_shao_captain_quest_recruitment_flavour}}	UI/skins/default/3k_dlc07_button_context_list_missions_captains_enlistment_1.png	
3k_dlc07_ceo_factional_yuan_shao_captain_quest_recruitment_02	3k_dlc07_ceo_factional_yuan_shao_captain_quest_recruitment_02	0	Pursuit: Enlistment 02	Recruit new captain retinues 5 times.\n\n {{tr:3k_dlc07_yuan_shao_captain_quest_recruitment_flavour}}	UI/skins/default/3k_dlc07_button_context_list_missions_captains_enlistment_2.png	
3k_dlc07_ceo_factional_yuan_shao_captain_quest_recruitment_03	3k_dlc07_ceo_factional_yuan_shao_captain_quest_recruitment_03	0	Pursuit: Enlistment 03	Recruit new captain retinues 7 times.\n\n {{tr:3k_dlc07_yuan_shao_captain_quest_recruitment_flavour}}	UI/skins/default/3k_dlc07_button_context_list_missions_captains_enlistment_3.png	
3k_dlc07_ceo_factional_yuan_shao_captain_quest_victory_01	3k_dlc07_ceo_factional_yuan_shao_captain_quest_victory_01	0	Pursuit: Triumph 01	Win 3 battles with captains in your army.\n\n {{tr:3k_dlc07_yuan_shao_captain_quest_victory_flavour}}	UI/skins/default/3k_dlc07_button_context_list_missions_captains_triumph_1.png	
3k_dlc07_ceo_factional_yuan_shao_captain_quest_victory_02	3k_dlc07_ceo_factional_yuan_shao_captain_quest_victory_02	0	Pursuit: Triumph 02	Win 5 battles with captains in your army.\n\n {{tr:3k_dlc07_yuan_shao_captain_quest_victory_flavour}}	UI/skins/default/3k_dlc07_button_context_list_missions_captains_triumph_2.png	
3k_dlc07_ceo_factional_yuan_shao_captain_quest_victory_03	3k_dlc07_ceo_factional_yuan_shao_captain_quest_victory_03	0	Pursuit: Triumph 03	Win 7 battles with captains in your army.\n\n {{tr:3k_dlc07_yuan_shao_captain_quest_victory_flavour}}	UI/skins/default/3k_dlc07_button_context_list_missions_captains_triumph_3.png	
