auto_id	ceo_threshold	ceo_node	points_threshold_to_activate_node	can_downgrade_to_previous_node
#ceo_threshold_nodes_tables;0;ceo_db/ceo_threshold_nodes_tables/liu_yu				
1017656054	3k_main_ceo_threshold_liu_yu_tribal_character_recruit_supuyuan	3k_main_ceo_liu_yu_tribal_character_recruit_supuyuan	2	false
1028797215	3k_main_ceo_liu_yu_tribal_character_li_jue	3k_main_ceo_liu_yu_tribal_character_li_jue	2	false
1031569344	3k_main_ceo_liu_yu_tribal_character_zhang_ji	3k_main_ceo_liu_yu_tribal_00_character_zhang_ji	1	true
1034121921	3k_main_ceo_threshold_liu_yu_han_capital_yingchuan	3k_main_ceo_liu_yu_han_capital_yingchuan	2	false
1041112563	3k_main_ceo_threshold_liu_yu_tribal_region_youbeiping_trade_port	3k_main_ceo_liu_yu_tribal_region_youbeiping_trade_port	2	false
1071265385	3k_main_ceo_threshold_liu_yu_han_character_liu_xie	3k_main_ceo_liu_yu_00_han_character_liu_xie	1	false
1090655891	3k_main_ceo_threshold_liu_yu_tribal_character_recruit_supuyuan	3k_main_ceo_liu_yu_00_tribal_character_recruit_supuyuan	1	false
1096139433	3k_main_ceo_threshold_liu_yu_tribal_character_recruit_qiulijiu	3k_main_ceo_liu_yu_tribal_character_recruit_qiulijiu	2	false
1101873308	3k_main_ceo_liu_yu_tribal_region_daijun_horse	3k_main_ceo_liu_yu_tribal_region_daijun_horse	2	false
1117418658	3k_main_ceo_liu_yu_tribal_character_qianman	3k_main_ceo_liu_yu_tribal_character_qianman	2	false
1122889126	3k_main_ceo_threshold_liu_yu_han_character_wei_you	3k_main_ceo_liu_yu_han_character_wei_you	2	false
113437837	3k_main_ceo_liu_yu_tribal_region_yinping	3k_main_ceo_liu_yu_tribal_region_yinping	2	false
1155138943	3k_main_ceo_threshold_liu_yu_han_character_xianyu_fu	3k_main_ceo_liu_yu_han_character_xianyu_fu	2	false
1167260641	3k_main_ceo_liu_yu_tribal_region_shanggui	3k_main_ceo_liu_yu_tribal_region_shanggui	2	false
119016457	3k_main_ceo_liu_yu_tribal_character_ma_chao	3k_main_ceo_liu_yu_tribal_00_character_ma_chao	1	true
120140229	3k_main_ceo_liu_yu_tribal_region_nanzheng	3k_main_ceo_liu_yu_tribal_region_nanzheng	2	false
1209588204	3k_main_ceo_threshold_liu_yu_han_capital_luoyang	3k_main_ceo_liu_yu_han_capital_luoyang	2	false
1228331021	3k_main_ceo_liu_yu_tribal_region_wuyuan_capital	3k_main_ceo_liu_yu_tribal_region_wuyuan_capital	2	false
1254535146	3k_main_ceo_liu_yu_tribal_region_guzang	3k_main_ceo_liu_yu_00_tribal_region_guzang	1	false
1293850603	3k_main_ceo_threshold_liu_yu_tribal_region_youbeiping_trade_port	3k_main_ceo_liu_yu_00_tribal_region_youbeiping_trade_port	1	false
1308028113	3k_main_ceo_liu_yu_tribal_region_shanggui	3k_main_ceo_liu_yu_00_tribal_region_shanggui	1	false
1312456997	3k_main_ceo_liu_yu_tribal_character_dou_mao	3k_main_ceo_liu_yu_tribal_character_dou_mao	2	false
1323579492	3k_main_ceo_liu_yu_tribal_region_zhanyin	3k_main_ceo_liu_yu_00_tribal_region_zhanyin	1	false
1326370017	3k_main_ceo_threshold_liu_yu_tribal_character_qubei	3k_main_ceo_liu_yu_00_tribal_character_qubei	1	false
