auto_id	ceo_threshold	ceo_node	points_threshold_to_activate_node	can_downgrade_to_previous_node
#ceo_threshold_nodes_tables;0;ceo_db/ceo_threshold_nodes_tables/lu_bu				
197842787	3k_dlc05_ceo_factional_warrior_defeated_gongsun_du	3k_dlc05_ceo_factional_warrior_defeated_gongsun_du_02	2	false
953237967	3k_dlc05_ceo_factional_warrior_defeated_gongsun_du	3k_dlc05_ceo_factional_warrior_defeated_gongsun_du_01	1	false
178423573	3k_dlc05_ceo_factional_warrior_defeated_liu_pi	3k_dlc05_ceo_factional_warrior_defeated_liu_pi_02	2	false
924805855	3k_dlc05_ceo_factional_warrior_defeated_liu_pi	3k_dlc05_ceo_factional_warrior_defeated_liu_pi_01	1	false
2120355979	3k_dlc05_ceo_factional_warrior_defeated_song_jian	3k_dlc05_ceo_factional_warrior_defeated_song_jian_02	2	false
914366695	3k_dlc05_ceo_factional_warrior_defeated_song_jian	3k_dlc05_ceo_factional_warrior_defeated_song_jian_01	1	false
153949281	3k_dlc05_ceo_factional_warrior_defeated_wu_huan	3k_dlc05_ceo_factional_warrior_defeated_wu_huan_02	2	false
679699692	3k_dlc05_ceo_factional_warrior_defeated_wu_huan	3k_dlc05_ceo_factional_warrior_defeated_wu_huan_01	1	false
1718773175	3k_dlc05_ceo_factional_warrior_defeated_yuan_shang	3k_dlc05_ceo_factional_warrior_defeated_yuan_shang_02	2	false
719727984	3k_dlc05_ceo_factional_warrior_defeated_yuan_shang	3k_dlc05_ceo_factional_warrior_defeated_yuan_shang_01	1	false
106779253	3k_dlc05_ceo_factional_warrior_defeated_yuan_tan	3k_dlc05_ceo_factional_warrior_defeated_yuan_tan_01	1	false
2070543297	3k_dlc05_ceo_factional_warrior_defeated_yuan_tan	3k_dlc05_ceo_factional_warrior_defeated_yuan_tan_02	2	false
2138484735	3k_dlc05_ceo_factional_warrior_defeated_yuan_yao	3k_dlc05_ceo_factional_warrior_defeated_yuan_yao_02	2	false
718114606	3k_dlc05_ceo_factional_warrior_defeated_yuan_yao	3k_dlc05_ceo_factional_warrior_defeated_yuan_yao_01	1	false
1810482712	3k_dlc05_ceo_threshold_factional_warrior_defeated_cao_cao	3k_dlc05_ceo_node_factional_warrior_defeated_cao_cao_02	2	false
284833601	3k_dlc05_ceo_threshold_factional_warrior_defeated_cao_cao	3k_dlc05_ceo_node_factional_warrior_defeated_cao_cao_01	1	false
1415671810	3k_dlc05_ceo_threshold_factional_warrior_defeated_chen_gong	3k_dlc05_ceo_node_factional_warrior_defeated_chen_gong_02	2	false
224490093	3k_dlc05_ceo_threshold_factional_warrior_defeated_chen_gong	3k_dlc05_ceo_node_factional_warrior_defeated_chen_gong_01	1	false
1305427640	3k_dlc05_ceo_threshold_factional_warrior_defeated_dian_wei	3k_dlc05_ceo_node_factional_warrior_defeated_dian_wei_02	2	false
1457780187	3k_dlc05_ceo_threshold_factional_warrior_defeated_dian_wei	3k_dlc05_ceo_node_factional_warrior_defeated_dian_wei_01	1	false
429864211	3k_dlc05_ceo_threshold_factional_warrior_defeated_diaochan	3k_dlc05_ceo_node_factional_warrior_defeated_diaochan_01	1	false
742146053	3k_dlc05_ceo_threshold_factional_warrior_defeated_diaochan	3k_dlc05_ceo_node_factional_warrior_defeated_diaochan_02	2	false
239261012	3k_dlc05_ceo_threshold_factional_warrior_defeated_ding_yuan	3k_dlc05_ceo_node_factional_warrior_defeated_ding_yuan_01	1	false
470138281	3k_dlc05_ceo_threshold_factional_warrior_defeated_dong_zhuo	3k_dlc05_ceo_node_factional_warrior_defeated_dong_zhuo_01	1	false
470138282	3k_dlc05_ceo_threshold_factional_warrior_defeated_dong_zhuo	3k_dlc05_ceo_node_factional_warrior_defeated_dong_zhuo_02	2	false
416288073	3k_dlc05_ceo_threshold_factional_warrior_defeated_gan_ning	3k_dlc05_ceo_node_factional_warrior_defeated_gan_ning_01	1	false
717739610	3k_dlc05_ceo_threshold_factional_warrior_defeated_gan_ning	3k_dlc05_ceo_node_factional_warrior_defeated_gan_ning_02	2	false
1255196876	3k_dlc05_ceo_threshold_factional_warrior_defeated_gao_shun	3k_dlc05_ceo_node_factional_warrior_defeated_gao_shun_01	1	false
935212231	3k_dlc05_ceo_threshold_factional_warrior_defeated_gao_shun	3k_dlc05_ceo_node_factional_warrior_defeated_gao_shun_02	2	false
16123502	3k_dlc05_ceo_threshold_factional_warrior_defeated_gong_du	3k_dlc05_ceo_node_factional_warrior_defeated_gong_du_02	2	false
373973268	3k_dlc05_ceo_threshold_factional_warrior_defeated_gong_du	3k_dlc05_ceo_node_factional_warrior_defeated_gong_du_01	1	false
316185114	3k_dlc05_ceo_threshold_factional_warrior_defeated_gongsun_zan	3k_dlc05_ceo_node_factional_warrior_defeated_gongsun_zan_01	1	false
494717271	3k_dlc05_ceo_threshold_factional_warrior_defeated_gongsun_zan	3k_dlc05_ceo_node_factional_warrior_defeated_gongsun_zan_02	2	false
401293022	3k_dlc05_ceo_threshold_factional_warrior_defeated_guan_yu	3k_dlc05_ceo_node_factional_warrior_defeated_guan_yu_01	1	false
687153250	3k_dlc05_ceo_threshold_factional_warrior_defeated_guan_yu	3k_dlc05_ceo_node_factional_warrior_defeated_guan_yu_02	2	false
1806143365	3k_dlc05_ceo_threshold_factional_warrior_defeated_guo_jia	3k_dlc05_ceo_node_factional_warrior_defeated_guo_jia_01	1	false
588352778	3k_dlc05_ceo_threshold_factional_warrior_defeated_guo_jia	3k_dlc05_ceo_node_factional_warrior_defeated_guo_jia_02	2	false
1409566573	3k_dlc05_ceo_threshold_factional_warrior_defeated_guo_si	3k_dlc05_ceo_node_factional_warrior_defeated_guo_si_02	2	false
838914918	3k_dlc05_ceo_threshold_factional_warrior_defeated_guo_si	3k_dlc05_ceo_node_factional_warrior_defeated_guo_si_01	1	false
127638694	3k_dlc05_ceo_threshold_factional_warrior_defeated_han_sui	3k_dlc05_ceo_node_factional_warrior_defeated_han_sui_01	1	false
1709496397	3k_dlc05_ceo_threshold_factional_warrior_defeated_han_sui	3k_dlc05_ceo_node_factional_warrior_defeated_han_sui_02	2	false
166770829	3k_dlc05_ceo_threshold_factional_warrior_defeated_he_yi	3k_dlc05_ceo_node_factional_warrior_defeated_he_yi_02	2	false
1767519648	3k_dlc05_ceo_threshold_factional_warrior_defeated_he_yi	3k_dlc05_ceo_node_factional_warrior_defeated_he_yi_01	1	false
1301690707	3k_dlc05_ceo_threshold_factional_warrior_defeated_huang_gai	3k_dlc05_ceo_node_factional_warrior_defeated_huang_gai_01	1	false
2062087755	3k_dlc05_ceo_threshold_factional_warrior_defeated_huang_gai	3k_dlc05_ceo_node_factional_warrior_defeated_huang_gai_02	2	false
104327242	3k_dlc05_ceo_threshold_factional_warrior_defeated_huang_shao	3k_dlc05_ceo_node_factional_warrior_defeated_huang_shao_02	2	false
1366329159	3k_dlc05_ceo_threshold_factional_warrior_defeated_huang_shao	3k_dlc05_ceo_node_factional_warrior_defeated_huang_shao_01	1	false
608978321	3k_dlc05_ceo_threshold_factional_warrior_defeated_huang_zhong	3k_dlc05_ceo_node_factional_warrior_defeated_huang_zhong_01	1	false
985159089	3k_dlc05_ceo_threshold_factional_warrior_defeated_huang_zhong	3k_dlc05_ceo_node_factional_warrior_defeated_huang_zhong_02	2	false
1510530876	3k_dlc05_ceo_threshold_factional_warrior_defeated_jia_xu	3k_dlc05_ceo_node_factional_warrior_defeated_jia_xu_01	1	false
246121750	3k_dlc05_ceo_threshold_factional_warrior_defeated_jia_xu	3k_dlc05_ceo_node_factional_warrior_defeated_jia_xu_02	2	false
1967591783	3k_dlc05_ceo_threshold_factional_warrior_defeated_kong_rong	3k_dlc05_ceo_node_factional_warrior_defeated_kong_rong_01	1	false
385534498	3k_dlc05_ceo_threshold_factional_warrior_defeated_kong_rong	3k_dlc05_ceo_node_factional_warrior_defeated_kong_rong_02	2	false
794781296	3k_dlc05_ceo_threshold_factional_warrior_defeated_li_jue	3k_dlc05_ceo_node_factional_warrior_defeated_li_jue_01	1	false
80705699	3k_dlc05_ceo_threshold_factional_warrior_defeated_li_jue	3k_dlc05_ceo_node_factional_warrior_defeated_li_jue_02	2	false
1638323091	3k_dlc05_ceo_threshold_factional_warrior_defeated_liu_bei	3k_dlc05_ceo_node_factional_warrior_defeated_liu_bei_01	1	false
578184868	3k_dlc05_ceo_threshold_factional_warrior_defeated_liu_bei	3k_dlc05_ceo_node_factional_warrior_defeated_liu_bei_02	2	false
1874561531	3k_dlc05_ceo_threshold_factional_warrior_defeated_liu_biao	3k_dlc05_ceo_node_factional_warrior_defeated_liu_biao_02	2	false
790241292	3k_dlc05_ceo_threshold_factional_warrior_defeated_liu_biao	3k_dlc05_ceo_node_factional_warrior_defeated_liu_biao_01	1	false
1152405686	3k_dlc05_ceo_threshold_factional_warrior_defeated_ma_chao	3k_dlc05_ceo_node_factional_warrior_defeated_ma_chao_01	1	false
343984646	3k_dlc05_ceo_threshold_factional_warrior_defeated_ma_chao	3k_dlc05_ceo_node_factional_warrior_defeated_ma_chao_02	2	false
1066722268	3k_dlc05_ceo_threshold_factional_warrior_defeated_ma_teng	3k_dlc05_ceo_node_factional_warrior_defeated_ma_teng_02	2	false
710391576	3k_dlc05_ceo_threshold_factional_warrior_defeated_ma_teng	3k_dlc05_ceo_node_factional_warrior_defeated_ma_teng_01	1	false
231923900	3k_dlc05_ceo_threshold_factional_warrior_defeated_pang_tong	3k_dlc05_ceo_node_factional_warrior_defeated_pang_tong_01	1	false
