auto_id	ceo_threshold	ceo_node	points_threshold_to_activate_node	can_downgrade_to_previous_node
#ceo_threshold_nodes_tables;0;ceo_db/ceo_threshold_nodes_tables/lu_zhi				
1143805981	3k_dlc04_ceo_factional_great_library_resolve_exceptional_locked	3k_dlc04_ceo_factional_great_library_resolve_exceptional_00	1	false
1218680630	3k_dlc04_ceo_factional_great_library_resolve_unique_locked	3k_dlc04_ceo_factional_great_library_resolve_unique_00	1	false
1235938686	3k_dlc04_ceo_factional_great_library_authority_common_locked	3k_dlc04_ceo_factional_great_library_authority_common_00	1	false
1257611573	3k_dlc04_ceo_factional_great_library_expertise_unique	3k_dlc04_ceo_factional_great_library_expertise_unique_01	1	false
1270501499	3k_dlc04_ceo_factional_great_library_expertise_exceptional_locked	3k_dlc04_ceo_factional_great_library_expertise_exceptional_00	1	false
1318950176	3k_dlc04_ceo_factional_great_library_resolve_refined_locked	3k_dlc04_ceo_factional_great_library_resolve_refined_00	1	false
1326310334	3k_dlc04_ceo_factional_great_library_expertise_exceptional	3k_dlc04_ceo_factional_great_library_expertise_exceptional_01	1	false
1385845598	3k_dlc04_ceo_factional_great_library_cunning_common	3k_dlc04_ceo_factional_great_library_cunning_common_01	1	false
1467498217	3k_dlc04_ceo_factional_great_library_resolve_common_locked	3k_dlc04_ceo_factional_great_library_resolve_common_00	1	false
1471087567	3k_dlc04_ceo_factional_great_library_resolve_refined	3k_dlc04_ceo_factional_great_library_resolve_refined_01	1	false
1483587443	3k_dlc04_ceo_factional_great_library_cunning_exceptional_locked	3k_dlc04_ceo_factional_great_library_cunning_exceptional_00	1	false
152666755	3k_dlc04_ceo_factional_great_library_instinct_exceptional	3k_dlc04_ceo_factional_great_library_instinct_exceptional_01	1	false
1559645748	3k_dlc04_ceo_factional_great_library_resolve_common	3k_dlc04_ceo_factional_great_library_resolve_common_01	1	false
1562739198	3k_dlc04_ceo_factional_great_library_authority_common	3k_dlc04_ceo_factional_great_library_authority_common_01	1	false
15926723	3k_dlc04_ceo_factional_great_library_instinct_unique_locked	3k_dlc04_ceo_factional_great_library_instinct_unique_00	1	false
1593460823	3k_dlc04_ceo_factional_great_library_expertise_common	3k_dlc04_ceo_factional_great_library_expertise_common_01	1	false
1688758650	3k_dlc04_ceo_factional_great_library_expertise_unique_locked	3k_dlc04_ceo_factional_great_library_expertise_unique_00	1	false
1699532003	3k_dlc04_ceo_factional_great_library_instinct_common_locked	3k_dlc04_ceo_factional_great_library_instinct_common_00	1	false
1728397136	3k_dlc04_ceo_factional_great_library_expertise_refined_locked	3k_dlc04_ceo_factional_great_library_expertise_refined_00	1	false
1781339137	3k_dlc04_ceo_factional_great_library_instinct_refined	3k_dlc04_ceo_factional_great_library_instinct_refined_01	1	false
1873536798	3k_dlc04_ceo_factional_great_library_cunning_unique	3k_dlc04_ceo_factional_great_library_cunning_unique_01	1	false
1874989130	3k_dlc04_ceo_factional_great_library_authority_refined_locked	3k_dlc04_ceo_factional_great_library_authority_refined_00	1	false
1931702105	3k_dlc04_ceo_factional_great_library_cunning_refined_locked	3k_dlc04_ceo_factional_great_library_cunning_refined_00	1	false
1987379716	3k_dlc04_ceo_factional_great_library_authority_exceptional_locked	3k_dlc04_ceo_factional_great_library_authority_exceptional_00	1	false
2027570392	3k_dlc04_ceo_factional_great_library_resolve_exceptional	3k_dlc04_ceo_factional_great_library_resolve_exceptional_01	1	false
2084857527	3k_dlc04_ceo_factional_great_library_cunning_refined	3k_dlc04_ceo_factional_great_library_cunning_refined_01	1	false
21947068	3k_dlc04_ceo_factional_great_library_instinct_common	3k_dlc04_ceo_factional_great_library_instinct_common_01	1	false
259762480	3k_dlc04_ceo_factional_great_library_cunning_exceptional	3k_dlc04_ceo_factional_great_library_cunning_exceptional_01	1	false
287600075	3k_dlc04_ceo_factional_great_library_expertise_refined	3k_dlc04_ceo_factional_great_library_expertise_refined_01	1	false
453342044	3k_dlc04_ceo_factional_great_library_expertise_common_locked	3k_dlc04_ceo_factional_great_library_expertise_common_00	1	false
482900500	3k_dlc04_ceo_factional_great_library_resolve_unique	3k_dlc04_ceo_factional_great_library_resolve_unique_01	1	false
498657077	3k_dlc04_ceo_factional_great_library_instinct_unique	3k_dlc04_ceo_factional_great_library_instinct_unique_01	1	false
542575197	3k_dlc04_ceo_factional_great_library_authority_unique	3k_dlc04_ceo_factional_great_library_authority_unique_01	1	false
640795004	3k_dlc04_ceo_factional_great_library_cunning_unique_locked	3k_dlc04_ceo_factional_great_library_cunning_unique_00	1	false
648301669	3k_dlc04_ceo_factional_great_library_authority_refined	3k_dlc04_ceo_factional_great_library_authority_refined_01	1	false
717421940	3k_dlc04_ceo_factional_great_library_instinct_refined_locked	3k_dlc04_ceo_factional_great_library_instinct_refined_00	1	false
82900787	3k_dlc04_ceo_factional_great_library_cunning_common_locked	3k_dlc04_ceo_factional_great_library_cunning_common_00	1	false
865600083	3k_dlc04_ceo_factional_great_library_authority_unique_locked	3k_dlc04_ceo_factional_great_library_authority_unique_00	1	false
893528753	3k_dlc04_ceo_factional_great_library_authority_exceptional	3k_dlc04_ceo_factional_great_library_authority_exceptional_01	1	false
895004875	3k_dlc04_ceo_factional_great_library_instinct_exceptional_locked	3k_dlc04_ceo_factional_great_library_instinct_exceptional_00	1	false
