auto_id	ceo_threshold	ceo_node	points_threshold_to_activate_node	can_downgrade_to_previous_node
#ceo_threshold_nodes_tables;0;ceo_db/ceo_threshold_nodes_tables/nanman				
1026254390	3k_dlc06_ceo_factional_nanman_fealty_king_mulu	3k_dlc06_ceo_factional_nanman_fealty_major_king_mulu_01	1	true
1048701500	3k_dlc06_ceo_factional_nanman_fealty_king_shamoke	3k_dlc06_ceo_factional_nanman_fealty_major_king_shamoke_01	1	true
1097134159	3k_dlc06_ceo_factional_nanman_fealty_zangke	3k_dlc06_ceo_factional_nanman_fealty_minor_zangke_01	1	true
1109207348	3k_dlc06_ceo_factional_nanman_king_mulu_rituals_ox	3k_dlc06_ceo_factional_nanman_king_mulu_rituals_ox_01	1	false
1166087901	3k_dlc06_ceo_character_nanman_skills_butcher	3k_dlc06_ceo_character_nanman_skills_butcher_1	301	false
1181667302	3k_dlc06_ceo_character_nanman_skills_tireless_soul	3k_dlc06_ceo_character_nanman_skills_tireless_soul_1	11	false
1207353365	3k_dlc06_ceo_character_nanman_skills_shaman_rites	3k_dlc06_ceo_character_nanman_skills_shaman_rites_3	16	false
1233397034	3k_dlc06_ceo_factional_nanman_fealty_king_wutugu	3k_dlc06_ceo_factional_nanman_fealty_major_king_wutugu_01	1	true
1307610912	3k_dlc06_ceo_character_nanman_skills_infantry_chief	3k_dlc06_ceo_character_nanman_skills_infantry_chief_1	31	false
1380697342	3k_dlc06_ceo_factional_nanman_fealty_ahuinan	3k_dlc06_ceo_factional_nanman_fealty_minor_ahuinan_01	1	true
1395242322	3k_dlc06_ceo_character_nanman_skills_shaman_rites	3k_dlc06_ceo_character_nanman_skills_shaman_rites_1	6	false
1411959316	3k_dlc06_ceo_character_nanman_skills_cave_defender	3k_dlc06_ceo_character_nanman_skills_cave_defender_0	1	false
1527460242	3k_dlc06_ceo_character_nanman_skills_missile_chief	3k_dlc06_ceo_character_nanman_skills_missile_chief_1	26	false
1558676512	3k_dlc06_ceo_factional_nanman_king_mulu_rituals_goat	3k_dlc06_ceo_factional_nanman_king_mulu_rituals_goat_01	1	false
1572316970	3k_dlc06_ceo_factional_nanman_king_mulu_rituals_dragon	3k_dlc06_ceo_factional_nanman_king_mulu_rituals_dragon_01	1	false
1584176797	3k_dlc06_ceo_character_nanman_skills_butcher	3k_dlc06_ceo_character_nanman_skills_butcher_3	901	false
1611042409	3k_dlc06_ceo_factional_nanman_fealty_yang_feng	3k_dlc06_ceo_factional_nanman_fealty_major_yang_feng_01	1	true
1617786317	3k_dlc06_ceo_factional_nanman_fealty_king_duosi	3k_dlc06_ceo_factional_nanman_fealty_major_king_duosi_01	1	true
1677446986	3k_dlc06_ceo_character_nanman_skills_flurry	3k_dlc06_ceo_character_nanman_skills_flurry_1	21	false
1716897557	3k_dlc06_ceo_character_nanman_skills_cavalry_chief	3k_dlc06_ceo_character_nanman_skills_cavalry_chief_0	1	false
1753086263	3k_dlc06_ceo_character_nanman_skills_cave_defender	3k_dlc06_ceo_character_nanman_skills_cave_defender_1	11	false
1763890026	3k_dlc06_ceo_factional_nanman_fealty_jiangyang	3k_dlc06_ceo_factional_nanman_fealty_minor_jiangyang_01	1	true
1835816733	3k_dlc06_ceo_character_nanman_skills_stalker	3k_dlc06_ceo_character_nanman_skills_stalker_1	4	false
1860731157	3k_dlc06_ceo_factional_nanman_fealty_jiaozhi	3k_dlc06_ceo_factional_nanman_fealty_minor_jiaozhi_01	1	true
1884252874	3k_dlc06_ceo_factional_nanman_fealty_king_meng_huo	3k_dlc06_ceo_factional_nanman_fealty_major_king_meng_huo_01	1	true
1944075131	3k_dlc06_ceo_character_nanman_skills_hit_and_run	3k_dlc06_ceo_character_nanman_skills_hit_and_run_0	1	false
1953944075	3k_dlc06_ceo_factional_nanman_king_mulu_rituals_eagle	3k_dlc06_ceo_factional_nanman_king_mulu_rituals_eagle_01	1	false
2013607544	3k_dlc06_ceo_factional_nanman_fealty_yongchang	3k_dlc06_ceo_factional_nanman_fealty_minor_yongchang_01	1	true
2015307642	3k_dlc06_ceo_factional_nanman_king_mulu_rituals_monkey	3k_dlc06_ceo_factional_nanman_king_mulu_rituals_monkey_01	1	false
