auto_id	ceo_threshold	ceo_node	points_threshold_to_activate_node	can_downgrade_to_previous_node
#ceo_threshold_nodes_tables;0;ceo_db/ceo_threshold_nodes_tables/titles				
1016537798	3k_dlc05_threshold_ancillary_title_yellow_dragon	3k_dlc05_ancillary_title_yellow_dragon_01	6	false
1065727275	3k_dlc05_threshold_ancillary_title_coiled_dragon	3k_dlc05_ancillary_title_coiled_dragon_locked_00	1	false
1093247476	3k_dlc05_threshold_ancillary_title_director_of_astronomy	3k_dlc05_ancillary_title_director_of_astronomy_locked_00	1	false
1142610646	3k_dlc05_threshold_ancillary_title_gold_coin_spotted_leopard	3k_dlc05_ancillary_title_gold_coin_spotted_leopard_01	15001	false
115966964	3k_dlc05_threshold_ancillary_title_protector_of_righteousness	3k_dlc05_ancillary_title_protector_of_righteousness_locked_00	1	false
1164624109	3k_dlc05_ancillary_title_attendant	3k_dlc05_ancillary_title_attendant_01	2	false
1176384134	3k_dlc05_threshold_ancillary_title_general_of_the_left	3k_dlc05_ancillary_title_general_of_the_left_locked_00	1	false
1197062148	3k_dlc05_threshold_ancillary_title_steward_of_the_changle_palace	3k_dlc05_ancillary_title_steward_of_the_changle_palace_01	2	false
124440868	3k_dlc05_threshold_ancillary_title_general_of_the_standard	3k_dlc05_ancillary_title_general_of_the_standard_locked_00	1	false
1315862781	3k_dlc05_threshold_ancillary_title_director_of_astronomy	3k_dlc05_ancillary_title_director_of_astronomy_01	4	false
1323527220	3k_dlc05_threshold_ancillary_title_general_who_stands_his_ground	3k_dlc05_ancillary_title_general_who_stands_his_ground_01	2	false
1367432723	3k_dlc05_threshold_ancillary_title_general_who_smashes_the_caitiffs	3k_dlc05_ancillary_title_general_who_smashes_the_caitiffs_01	11	false
1377126615	3k_dlc05_threshold_ancillary_title_general_whom_expands_the_centre	3k_dlc05_ancillary_title_general_whom_expands_the_centre_locked_00	1	false
1404531117	3k_dlc05_threshold_ancillary_title_divine_mathematician	3k_dlc05_ancillary_title_divine_mathematician_locked_00	1	false
1421512921	3k_dlc05_threshold_ancillary_title_general_in_chief	3k_dlc05_ancillary_title_general_in_chief_01	2	false
1440109165	3k_dlc05_threshold_ancillary_title_steward_of_the_changle_palace	3k_dlc05_ancillary_title_steward_of_the_changle_palace_locked_00	1	false
1449755511	3k_dlc05_threshold_ancillary_title_general_who_calms_the_waves	3k_dlc05_ancillary_title_general_who_calms_the_waves_locked_00	1	false
153294675	3k_dlc05_threshold_ancillary_title_general_of_the_right	3k_dlc05_ancillary_title_general_of_the_right_locked_00	1	false
1557814593	3k_dlc05_threshold_ancillary_title_general_who_supports_the_han	3k_dlc05_ancillary_title_general_who_supports_the_han_01	11	false
1579156212	3k_dlc05_threshold_ancillary_title_master_of_writing	3k_dlc05_ancillary_title_master_of_writing_01	2	false
1589197834	3k_dlc05_threshold_ancillary_title_senior_officer	3k_dlc05_ancillary_title_senior_officer_01	2	false
1604028731	3k_dlc05_threshold_ancillary_title_general_of_a_hundred_victories	3k_dlc05_ancillary_title_general_of_a_hundred_victories_locked_00	1	false
1658167669	3k_dlc05_threshold_ancillary_title_pacifier_of_the_han	3k_dlc05_ancillary_title_grand_design_to_pacify_the_han_locked_00	1	false
1693088268	3k_dlc05_threshold_ancillary_title_iron_general	3k_dlc05_ancillary_title_iron_general_locked_00	1	false
1728201221	3k_dlc05_threshold_ancillary_title_general_of_chariots_and_cavalry	3k_dlc05_ancillary_title_general_of_chariots_and_cavalry_locked_00	1	false
1765891163	3k_dlc05_threshold_ancillary_title_general_of_flying_cavalry	3k_dlc05_ancillary_title_general_of_flying_cavalry_01	2	false
1798970659	3k_dlc05_threshold_ancillary_title_general_of_the_left	3k_dlc05_ancillary_title_general_of_the_left_01	2	false
1801310907	3k_dlc05_threshold_ancillary_title_master_of_the_hunt	3k_dlc05_ancillary_title_master_of_the_hunt_01	2	false
1843961788	3k_dlc05_threshold_ancillary_title_general_of_the_front	3k_dlc05_ancillary_title_general_of_the_front_locked_00	1	false
1867672923	3k_dlc05_threshold_ancillary_title_lord_of_thunder	3k_dlc05_ancillary_title_lord_of_thunder_01	2	false
187492301	3k_dlc05_threshold_ancillary_title_guardian_of_three_mountains	3k_dlc05_ancillary_title_guardian_of_three_mountains_locked_00	1	false
188236118	3k_dlc05_threshold_ancillary_title_general_whom_expands_the_centre	3k_dlc05_ancillary_title_general_whom_expands_the_centre_01	6	false
1889328608	3k_dlc05_threshold_ancillary_title_divine_physician	3k_dlc05_ancillary_title_divine_physician_01	6	false
1890363494	3k_dlc05_threshold_ancillary_title_iron_general	3k_dlc05_ancillary_title_iron_general_01	2	false
1895955794	3k_dlc05_threshold_ancillary_title_earth_dragon	3k_dlc05_ancillary_title_earth_dragon_locked_00	1	false
1921378715	3k_dlc05_threshold_ancillary_title_gold_coin_spotted_leopard	3k_dlc05_ancillary_title_gold_coin_spotted_leopard_locked_00	1	false
1936059417	3k_dlc05_threshold_ancillary_title_general_of_heavenly_vision	3k_dlc05_ancillary_title_general_of_heavenly_vision_01	11	false
1988485889	3k_dlc05_threshold_ancillary_title_general_who_pacifies_the_south	3k_dlc05_ancillary_title_general_who_pacifies_the_south_locked_00	1	false
199239740	3k_dlc05_threshold_ancillary_title_general_of_the_guards	3k_dlc05_ancillary_title_general_of_the_guards_locked_00	1	false
2043548716	3k_dlc05_threshold_ancillary_title_general_of_the_right	3k_dlc05_ancillary_title_general_of_the_right_01	2	false
2050208982	3k_dlc05_threshold_ancillary_title_ox_horn_general	3k_dlc05_ancillary_title_ox_horn_general_01	11	false
2068220530	3k_dlc05_threshold_ancillary_title_coiled_dragon	3k_dlc05_ancillary_title_coiled_dragon_01	2	false
2093006591	3k_dlc05_threshold_ancillary_title_blood_dragon	3k_dlc05_ancillary_title_blood_dragon_01	2	false
2122016143	3k_dlc05_threshold_ancillary_title_general_who_calms_the_waves	3k_dlc05_ancillary_title_general_who_calms_the_waves_01	2	false
214443865	3k_dlc05_threshold_ancillary_title_lord_of_thunder	3k_dlc05_ancillary_title_lord_of_thunder_locked_00	1	false
244178635	3k_dlc05_threshold_ancillary_title_blood_dragon	3k_dlc05_ancillary_title_blood_dragon_locked_00	1	false
245545011	3k_dlc05_threshold_ancillary_title_general_of_the_guards	3k_dlc05_ancillary_title_general_of_the_guards_01	11	false
256724441	3k_dlc05_threshold_ancillary_title_master_of_writing	3k_dlc05_ancillary_title_master_of_writing_locked_00	1	false
26711463	3k_dlc05_threshold_ancillary_title_flying_swallow_general	3k_dlc05_ancillary_title_flying_swallow_general_01	2	false
272804441	3k_dlc05_threshold_ancillary_title_general_of_heavenly_vision	3k_dlc05_ancillary_title_general_of_heavenly_vision_locked_00	1	false
281696552	3k_dlc05_threshold_ancillary_title_general_of_the_front	3k_dlc05_ancillary_title_general_of_the_front_01	2	false
323417294	3k_dlc05_threshold_ancillary_title_general_who_pacifies_the_south	3k_dlc05_ancillary_title_general_who_pacifies_the_south_01	6	false
33481411	3k_dlc05_threshold_ancillary_title_pacifier_of_the_han	3k_dlc05_ancillary_title_grand_design_to_pacify_the_han_01	21	false
363405217	3k_dlc05_threshold_ancillary_title_divine_physician	3k_dlc05_ancillary_title_divine_physician_locked_00	1	false
410137140	3k_dlc05_threshold_ancillary_title_general_of_a_hundred_victories	3k_dlc05_ancillary_title_general_of_a_hundred_victories_01	101	false
411661269	3k_dlc05_threshold_ancillary_title_director_of_retainers_who_scales_the_city_wall	3k_dlc05_ancillary_title_director_of_retainers_who_scales_the_city_wall_01	11	false
456197277	3k_dlc05_threshold_ancillary_title_general_of_the_standard	3k_dlc05_ancillary_title_general_of_the_standard_01	11	false
483369786	3k_dlc05_threshold_ancillary_title_general_who_brings_tranquillity_to_the_north	3k_dlc05_ancillary_title_general_who_brings_tranquillity_to_the_north_01	6	false
