auto_id	ceo_threshold	ceo_node	points_threshold_to_activate_node	can_downgrade_to_previous_node
#ceo_threshold_nodes_tables;0;ceo_db/ceo_threshold_nodes_tables/yuan_shao				
1604994577	3k_dlc07_ceo_factional_yuan_shao_captain_quest_victory	3k_dlc07_ceo_factional_yuan_shao_captain_quest_victory_02	6	false
1616434905	3k_dlc07_ceo_factional_yuan_shao_captain_quest_victory	3k_dlc07_ceo_factional_yuan_shao_captain_quest_victory_03	8	false
1970374467	3k_dlc07_ceo_factional_yuan_shao_captain_quest_recruitment	3k_dlc07_ceo_factional_yuan_shao_captain_quest_recruitment_01	4	false
2063862581	3k_dlc07_ceo_factional_yuan_shao_captain_quest_recruitment	3k_dlc07_ceo_factional_yuan_shao_captain_quest_recruitment_03	8	false
251766068	3k_dlc07_ceo_factional_yuan_shao_captain_quest_combat	3k_dlc07_ceo_factional_yuan_shao_captain_quest_combat_01	101	false
338290901	3k_dlc07_ceo_factional_yuan_shao_captain_quest_combat	3k_dlc07_ceo_factional_yuan_shao_captain_quest_combat_02	301	false
441371515	3k_dlc07_ceo_factional_yuan_shao_captain_quest_recruitment	3k_dlc07_ceo_factional_yuan_shao_captain_quest_recruitment_02	6	false
56994662	3k_dlc07_ceo_factional_yuan_shao_captain_quest_combat	3k_dlc07_ceo_factional_yuan_shao_captain_quest_combat_03	501	false
639199339	3k_dlc07_ceo_factional_yuan_shao_captain_quest_victory	3k_dlc07_ceo_factional_yuan_shao_captain_quest_victory_01	4	false
