key	ceo	point_threshold_to_activate	point_theshold_to_destroy	starting_points	max_points	resets_to_starting_points_when_deactivated
#ceo_thresholds_tables;0;ceo_db/ceo_thresholds_tables/career						
3k_dlc04_ceo_career_historical_bao_dan	3k_dlc04_ceo_career_historical_bao_dan	1	0	1	1	false
3k_dlc04_ceo_career_historical_bi_lan	3k_dlc04_ceo_career_historical_bi_lan	1	0	1	1	false
3k_dlc04_ceo_career_historical_duan_gui_ziyin	3k_dlc04_ceo_career_historical_duan_gui_ziyin	1	0	1	1	false
3k_dlc04_ceo_career_historical_feng_fang	3k_dlc04_ceo_career_historical_feng_fang	1	0	1	1	false
3k_dlc04_ceo_career_historical_gao_wang	3k_dlc04_ceo_career_historical_gao_wang	1	0	1	1	false
3k_dlc04_ceo_career_historical_guo_sheng	3k_dlc04_ceo_career_historical_guo_sheng	1	0	1	1	false
3k_dlc04_ceo_career_historical_jiu_dan	3k_dlc04_ceo_career_historical_jiu_dan	1	0	1	1	false
3k_dlc04_ceo_career_historical_qiao_xuan_gongzu	3k_dlc04_ceo_career_historical_qiao_xuan_gongzu	1	0	1	1	false
3k_dlc04_ceo_career_historical_song_dian	3k_dlc04_ceo_career_historical_song_dian	1	0	1	1	false
3k_dlc04_ceo_career_historical_xia_yun	3k_dlc04_ceo_career_historical_xia_yun	1	0	1	1	false
3k_dlc04_ceo_career_historical_xun_shuang_ciming	3k_dlc04_ceo_career_historical_xun_shuang_ciming	1	0	1	1	false
3k_dlc04_ceo_career_historical_zhang_rang	3k_dlc04_ceo_career_historical_zhang_rang	1	0	1	1	false
3k_dlc04_ceo_career_historical_zhao_zhong	3k_dlc04_ceo_career_historical_zhao_zhong	1	0	1	1	false
3k_dlc04_ceo_threshold_career_historical_beigong_boyu	3k_dlc04_ceo_career_historical_beigong_boyu	1	0	1	1	false
3k_dlc04_ceo_threshold_career_historical_bian_zhang	3k_dlc04_ceo_career_historical_bian_zhang	1	0	1	1	false
3k_dlc04_ceo_threshold_career_historical_bo_cai	3k_dlc04_ceo_career_historical_bo_cai	1	0	1	1	false
3k_dlc04_ceo_threshold_career_historical_cai_yong_bojie	3k_dlc04_ceo_career_historical_cai_yong_bojie	1	0	1	1	false
3k_dlc04_ceo_threshold_career_historical_cao_de	3k_dlc04_ceo_career_historical_cao_de	1	0	1	1	false
3k_dlc04_ceo_threshold_career_historical_cao_song_jugao	3k_dlc04_ceo_career_historical_cao_song_jugao	1	0	1	1	false
3k_dlc04_ceo_threshold_career_historical_chen_deng_yuanlong	3k_dlc04_ceo_career_historical_chen_deng_yuanlong	1	0	1	1	false
3k_dlc04_ceo_threshold_career_historical_chen_gui_hanyu	3k_dlc04_ceo_career_historical_chen_gui_hanyu	1	0	1	1	false
3k_dlc04_ceo_threshold_career_historical_chen_su	3k_dlc04_ceo_career_historical_chen_su	1	0	1	1	false
3k_dlc04_ceo_threshold_career_historical_cheng_qiu	3k_dlc04_ceo_career_historical_cheng_qiu	1	0	1	1	false
3k_dlc04_ceo_threshold_career_historical_diao_chan	3k_dlc04_ceo_career_historical_diao_chan	1	0	1	1	false
3k_dlc04_ceo_threshold_career_historical_ding_yuan_jianyang	3k_dlc04_ceo_career_historical_ding_yuan_jianyang	1	0	1	1	false
3k_dlc04_ceo_threshold_career_historical_dong_he_youzai	3k_dlc04_ceo_career_historical_dong_he_youzai	1	0	1	1	false
3k_dlc04_ceo_threshold_career_historical_du_ji_bohou	3k_dlc04_ceo_career_historical_du_ji_bohou	1	0	1	1	false
3k_dlc04_ceo_threshold_career_historical_emperor_ling	3k_dlc04_ceo_career_historical_emperor_ling	1	0	1	2	false
