key	ceo	point_threshold_to_activate	point_theshold_to_destroy	starting_points	max_points	resets_to_starting_points_when_deactivated
#ceo_thresholds_tables;0;ceo_db/ceo_thresholds_tables/chen_wen						
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_chen_gui	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_chen_gui	1	0	1	1	false
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_liang_rebels	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_liang_rebels	1	0	1	1	false
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_lu_zhi	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_lu_zhi	1	0	1	1	false
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_prince_liu_chong	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_prince_liu_chong	1	0	1	1	false
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_zhang_bao	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_zhang_bao	1	0	1	1	false
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_zhang_jue	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_zhang_jue	1	0	1	1	false
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_zhang_liang	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_zhang_liang	1	0	1	1	false
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_hua_xin	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_hua_xin	1	0	1	1	false
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_lu_bu	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_lu_bu	1	0	1	1	false
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_sheng_xian	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_sheng_xian	1	0	1	1	false
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_sun_ce	ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_sun_ce	1	0	1	1	false
