key	ceo	point_threshold_to_activate	point_theshold_to_destroy	starting_points	max_points	resets_to_starting_points_when_deactivated
#ceo_thresholds_tables;0;ceo_db/ceo_thresholds_tables/data__						
3k_cp01_threshold_ancillary_guo_jias_armour_unique	3k_cp01_ancillary_armour_guo_jias_armour_unique	1	0	1	1	false
3k_cp01_threshold_ancillary_huang_gais_armour_unique	3k_cp01_ancillary_armour_huang_gais_armour_unique	1	0	1	1	false
3k_cp01_threshold_ancillary_jia_xus_armour_unique	3k_cp01_ancillary_armour_jia_xus_armour_unique	1	0	1	1	false
3k_cp01_threshold_ancillary_pang_tongs_armour_unique	3k_cp01_ancillary_armour_pang_tongs_armour_unique	1	0	1	1	false
3k_dlc04_ancillary_armour_non_deployable_armour_red_common	3k_dlc04_ancillary_armour_non_deployable_armour_red_common	1	0	1	1	false
3k_dlc04_ancillary_armour_non_deployable_armour_red_refined	3k_dlc04_ancillary_armour_non_deployable_armour_red_refined	1	0	1	1	false
3k_dlc04_ancillary_armour_non_deployable_armour_yellow_common	3k_dlc04_ancillary_armour_non_deployable_armour_yellow_common	1	0	1	1	false
3k_dlc04_ceo_career_historical_bao_dan	3k_dlc04_ceo_career_historical_bao_dan	1	0	1	1	false
3k_dlc04_ceo_career_historical_bi_lan	3k_dlc04_ceo_career_historical_bi_lan	1	0	1	1	false
3k_dlc04_ceo_career_historical_duan_gui_ziyin	3k_dlc04_ceo_career_historical_duan_gui_ziyin	1	0	1	1	false
3k_dlc04_ceo_career_historical_feng_fang	3k_dlc04_ceo_career_historical_feng_fang	1	0	1	1	false
3k_dlc04_ceo_career_historical_gao_wang	3k_dlc04_ceo_career_historical_gao_wang	1	0	1	1	false
3k_dlc04_ceo_career_historical_guo_sheng	3k_dlc04_ceo_career_historical_guo_sheng	1	0	1	1	false
3k_dlc04_ceo_career_historical_jiu_dan	3k_dlc04_ceo_career_historical_jiu_dan	1	0	1	1	false
3k_dlc04_ceo_career_historical_qiao_xuan_gongzu	3k_dlc04_ceo_career_historical_qiao_xuan_gongzu	1	0	1	1	false
3k_dlc04_ceo_career_historical_song_dian	3k_dlc04_ceo_career_historical_song_dian	1	0	1	1	false
3k_dlc04_ceo_career_historical_xia_yun	3k_dlc04_ceo_career_historical_xia_yun	1	0	1	1	false
3k_dlc04_ceo_career_historical_xun_shuang_ciming	3k_dlc04_ceo_career_historical_xun_shuang_ciming	1	0	1	1	false
3k_dlc04_ceo_career_historical_zhang_rang	3k_dlc04_ceo_career_historical_zhang_rang	1	0	1	1	false
3k_dlc04_ceo_career_historical_zhao_zhong	3k_dlc04_ceo_career_historical_zhao_zhong	1	0	1	1	false
3k_dlc04_ceo_factional_great_library_authority_common	3k_dlc04_ceo_factional_great_library_authority_common	1	0	1	2	false
3k_dlc04_ceo_factional_great_library_authority_common_locked	3k_dlc04_ceo_factional_great_library_authority_common_locked	1	0	1	2	false
3k_dlc04_ceo_factional_great_library_authority_exceptional	3k_dlc04_ceo_factional_great_library_authority_exceptional	1	0	1	11	false
3k_dlc04_ceo_factional_great_library_authority_exceptional_locked	3k_dlc04_ceo_factional_great_library_authority_exceptional_locked	1	0	1	11	false
3k_dlc04_ceo_factional_great_library_authority_refined	3k_dlc04_ceo_factional_great_library_authority_refined	1	0	1	2	false
3k_dlc04_ceo_factional_great_library_authority_refined_locked	3k_dlc04_ceo_factional_great_library_authority_refined_locked	1	0	1	2	false
3k_dlc04_ceo_factional_great_library_authority_unique	3k_dlc04_ceo_factional_great_library_authority_unique	1	0	1	11	false
3k_dlc04_ceo_factional_great_library_authority_unique_locked	3k_dlc04_ceo_factional_great_library_authority_unique_locked	1	0	1	11	false
3k_dlc04_ceo_factional_great_library_cunning_common	3k_dlc04_ceo_factional_great_library_cunning_common	1	0	1	2	false
3k_dlc04_ceo_factional_great_library_cunning_common_locked	3k_dlc04_ceo_factional_great_library_cunning_common_locked	1	0	1	2	false
3k_dlc04_ceo_factional_great_library_cunning_exceptional	3k_dlc04_ceo_factional_great_library_cunning_exceptional	1	0	1	3001	false
3k_dlc04_ceo_factional_great_library_cunning_exceptional_locked	3k_dlc04_ceo_factional_great_library_cunning_exceptional_locked	1	0	1	3001	false
3k_dlc04_ceo_factional_great_library_cunning_refined	3k_dlc04_ceo_factional_great_library_cunning_refined	1	0	1	6	false
3k_dlc04_ceo_factional_great_library_cunning_refined_locked	3k_dlc04_ceo_factional_great_library_cunning_refined_locked	1	0	1	6	false
3k_dlc04_ceo_factional_great_library_cunning_unique	3k_dlc04_ceo_factional_great_library_cunning_unique	1	0	1	2	false
3k_dlc04_ceo_factional_great_library_cunning_unique_locked	3k_dlc04_ceo_factional_great_library_cunning_unique_locked	1	0	1	2	false
3k_dlc04_ceo_factional_great_library_expertise_common	3k_dlc04_ceo_factional_great_library_expertise_common	1	0	1	2	false
3k_dlc04_ceo_factional_great_library_expertise_common_locked	3k_dlc04_ceo_factional_great_library_expertise_common_locked	1	0	1	2	false
3k_dlc04_ceo_factional_great_library_expertise_exceptional	3k_dlc04_ceo_factional_great_library_expertise_exceptional	1	0	1	11	false
3k_dlc04_ceo_factional_great_library_expertise_exceptional_locked	3k_dlc04_ceo_factional_great_library_expertise_exceptional_locked	1	0	1	11	false
