key	ceo	point_threshold_to_activate	point_theshold_to_destroy	starting_points	max_points	resets_to_starting_points_when_deactivated
#ceo_thresholds_tables;0;ceo_db/ceo_thresholds_tables/sun_ce						
3k_dlc05_ceo_threshold_ambition_achieve_artery_of_the_world	3k_dlc05_ceo_sun_ce_ambition_achieve_artery_of_the_world	1	0	1	11	false
3k_dlc05_ceo_threshold_ambition_achieve_defeat_huang_zu	3k_dlc05_ceo_sun_ce_ambition_achieve_defeat_huang_zu	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_achieve_defeat_the_white_tiger	3k_dlc05_ceo_sun_ce_ambition_achieve_defeat_the_white_tiger	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_achieve_independence	3k_dlc05_ceo_sun_ce_ambition_achieve_independence	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_achieve_new_centrum	3k_dlc05_ceo_sun_ce_ambition_achieve_new_centrum	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_achieve_sun_familiy_rises_again	3k_dlc05_ceo_sun_ce_ambition_achieve_sun_familiy_rises_again	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_achieve_tiny_conquerer	3k_dlc05_ceo_sun_ce_ambition_achieve_tiny_conqueror	1	0	1	6	false
3k_dlc05_ceo_threshold_ambition_achieve_unbeatable	3k_dlc05_ceo_sun_ce_ambition_achieve_unbeatable	1	0	1	6	false
3k_dlc05_ceo_threshold_ambition_achieve_wolf_cub_roars	3k_dlc05_ceo_sun_ce_ambition_achieve_wolf_cub_roars	1	0	1	26	false
3k_dlc05_ceo_threshold_ambition_recruit_female_earth_wood	3k_dlc05_ceo_sun_ce_ambition_recruit_female_earth_wood	1	0	1	3	false
3k_dlc05_ceo_threshold_ambition_recruit_female_metal_fire	3k_dlc05_ceo_sun_ce_ambition_recruit_female_metal_fire	1	0	1	3	false
3k_dlc05_ceo_threshold_ambition_recruit_grandmasters_earth	3k_dlc05_ceo_sun_ce_ambition_recruit_grandmasters_earth	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_recruit_grandmasters_fire	3k_dlc05_ceo_sun_ce_ambition_recruit_grandmasters_fire	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_recruit_grandmasters_metal	3k_dlc05_ceo_sun_ce_ambition_recruit_grandmasters_metal	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_recruit_grandmasters_water	3k_dlc05_ceo_sun_ce_ambition_recruit_grandmasters_water	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_recruit_grandmasters_wood	3k_dlc05_ceo_sun_ce_ambition_recruit_grandmasters_wood	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_recruit_high_level_lady_sun	3k_dlc05_ceo_sun_ce_ambition_recruit_high_level_lady_sun	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_recruit_high_level_sun_ce	3k_dlc05_ceo_sun_ce_ambition_recruit_high_level_sun_ce	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_recruit_high_level_sun_quan	3k_dlc05_ceo_sun_ce_ambition_recruit_high_level_sun_quan	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_recruit_high_level_zhou_yu	3k_dlc05_ceo_sun_ce_ambition_recruit_high_level_zhou_yu	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_recruit_official_earth	3k_dlc05_ceo_sun_ce_ambition_recruit_official_earth	1	0	1	3	false
3k_dlc05_ceo_threshold_ambition_recruit_official_water	3k_dlc05_ceo_sun_ce_ambition_recruit_official_water	1	0	1	3	false
3k_dlc05_ceo_threshold_ambition_recruit_old_fire	3k_dlc05_ceo_sun_ce_ambition_recruit_old_fire	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_recruit_old_metal	3k_dlc05_ceo_sun_ce_ambition_recruit_old_metal	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_recruit_old_wood	3k_dlc05_ceo_sun_ce_ambition_recruit_old_wood	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_recruit_young_earth_wood	3k_dlc05_ceo_sun_ce_ambition_recruit_young_earth_wood	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_recruit_young_metal_fire	3k_dlc05_ceo_sun_ce_ambition_recruit_young_metal_fire	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_recruit_young_water	3k_dlc05_ceo_sun_ce_ambition_recruit_young_water	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_changsha_armour_craftsmen	3k_dlc05_ceo_sun_ce_ambition_secure_changsha_armour_craftsmen	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_changsha_capital	3k_dlc05_ceo_sun_ce_ambition_secure_changsha_capital	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_changsha_teahouse	3k_dlc05_ceo_sun_ce_ambition_secure_changsha_teahouse	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_changsha_trade_port	3k_dlc05_ceo_sun_ce_ambition_secure_changsha_trade_port	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_jiangling_capital	3k_dlc05_ceo_sun_ce_ambition_secure_jiangling_capital	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_jiangling_livestock	3k_dlc05_ceo_sun_ce_ambition_secure_jiangling_livestock	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_jianyue_capital	3k_dlc05_ceo_sun_ce_ambition_secure_jianye_capital	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_jianyue_copper_mine	3k_dlc05_ceo_sun_ce_ambition_secure_jianye_copper_mine	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_jianyue_salt_mine	3k_dlc05_ceo_sun_ce_ambition_secure_jianye_salt_mine	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_kuaiji_capital	3k_dlc05_ceo_sun_ce_ambition_secure_kuaiji_capital	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_kuaiji_livestock	3k_dlc05_ceo_sun_ce_ambition_secure_kuaiji_livestock	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_kuaiji_rice_paddy	3k_dlc05_ceo_sun_ce_ambition_secure_kuaiji_rice_paddy	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_poyang_capital	3k_dlc05_ceo_sun_ce_ambition_secure_poyang_capital	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_poyang_copper_mine	3k_dlc05_ceo_sun_ce_ambition_secure_poyang_copper_mine	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_poyang_iron_mine	3k_dlc05_ceo_sun_ce_ambition_secure_poyang_iron_mine	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_poyang_weapon_craftsmen	3k_dlc05_ceo_sun_ce_ambition_secure_poyang_weapon_craftsmen	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_xiangyang_capital	3k_dlc05_ceo_sun_ce_ambition_secure_xiangyang_capital	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_xiangyang_toolmaker	3k_dlc05_ceo_sun_ce_ambition_secure_xiangyang_toolmaker	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_xindu_capital	3k_dlc05_ceo_sun_ce_ambition_secure_xindu_capital	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_xindu_fishing_port	3k_dlc05_ceo_sun_ce_ambition_secure_xindu_fishing_port	1	0	1	2	false
3k_dlc05_ceo_threshold_ambition_secure_xindu_lumber_yard	3k_dlc05_ceo_sun_ce_ambition_secure_xindu_lumber_yard	1	0	1	2	false
