key	exists_in_location	category	priority	turns_to_expire	point_change_per_turn_if_inactive	point_change_per_turn_while_active	provides_scripted_permissions_on_spawn	can_be_looted_post_battle	inheritance_chance	can_be_traded_in_diplomacy	can_be_stolen	rarity	can_be_unequipped	can_be_transferred_if_equipped	cannot_reequip_until_next_round_if_unequipped	equipped_in_location	point_change_per_turn_while_equipped
#ceos_tables;0;ceo_db/ceos_tables/accessory																	
3k_dlc04_ancillary_accessory_calligraphy_set_unique	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_dlc04_ancillary_accessory_nushe_bifa_unique	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_dlc04_ancillary_accessory_religious_bell_unique	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_dlc04_ancillary_accessory_zhang_liang_unique	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_dlc04_ancillary_weapon_bow_huangfu_song_unique	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	0
3k_dlc04_ancillary_weapon_crossbow_prince_liu_chong_unique	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	0
3k_dlc06_ancillary_accessory_flying_daggers	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_dlc06_ancillary_accessory_malaria_cure	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_dlc06_ancillary_accessory_mulus_bell_unique	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_dlc06_ancillary_accessory_tribute_chest_diplomacy_extraordinary	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		false	0	true	false	refined	false	false	true	character_equipment	-1
3k_dlc06_ancillary_accessory_tribute_chest_diplomacy_simple	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		false	0	true	false	refined	false	false	true	character_equipment	-1
3k_dlc06_ancillary_accessory_tribute_chest_personal_extraordinary	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		true	0	true	false	refined	false	false	true	character_equipment	-1
3k_dlc06_ancillary_accessory_tribute_chest_personal_simple	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		true	0	true	false	refined	false	false	true	character_equipment	-1
3k_dlc06_ancillary_accessory_tribute_chest_regional_extraordinary	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		true	0	true	false	refined	false	false	true	character_equipment	-1
3k_dlc06_ancillary_accessory_tribute_chest_regional_simple	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		true	0	true	false	refined	false	false	true	character_equipment	-1
3k_dlc06_ancillary_weapon_bow_king_shamoke_unique	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		false	0	true	false	unique	true	true	true	character_equipment	0
3k_dlc07_ancillary_weapon_honour_manifested	faction_ceo_manager	3k_main_ceo_category_ancillary_accessory	1	0	0	0		false	0	true	false	unique	false	true	true	character_equipment	0
