key	exists_in_location	category	priority	turns_to_expire	point_change_per_turn_if_inactive	point_change_per_turn_while_active	provides_scripted_permissions_on_spawn	can_be_looted_post_battle	inheritance_chance	can_be_traded_in_diplomacy	can_be_stolen	rarity	can_be_unequipped	can_be_transferred_if_equipped	cannot_reequip_until_next_round_if_unequipped	equipped_in_location	point_change_per_turn_while_equipped
#ceos_tables;0;ceo_db/ceos_tables/chen_wen																	
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_chen_gui	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_liang_rebels	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_lu_kang	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_lu_zhi	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_prince_liu_chong	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_ying_shao	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_zhang_bao	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_zhang_jue	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc04_faction_zhang_liang	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_hua_xin	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_lu_bu	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_sheng_xian	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_sun_ce	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_white_tiger_yan	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_wu_jing	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_dlc05_faction_yang_feng	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_main_faction_cao_cao	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_main_faction_dong_zhuo	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_main_faction_gao_gan	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_main_faction_gongsun_du	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_main_faction_gongsun_zan	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_main_faction_han_fu	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
ironic_ceo_factional_chen_wen_unit_unlock_3k_main_faction_han_sui	faction_ceo_manager	ironic_ceo_category_factional_chen_wen_members	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
