key	exists_in_location	category	priority	turns_to_expire	point_change_per_turn_if_inactive	point_change_per_turn_while_active	provides_scripted_permissions_on_spawn	can_be_looted_post_battle	inheritance_chance	can_be_traded_in_diplomacy	can_be_stolen	rarity	can_be_unequipped	can_be_transferred_if_equipped	cannot_reequip_until_next_round_if_unequipped	equipped_in_location	point_change_per_turn_while_equipped
#ceos_tables;0;ceo_db/ceos_tables/followers																	
3k_dlc04_ancillary_follower_apprentice_crafter	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	common	true	true	true	character_equipment	0
3k_dlc04_ancillary_follower_master_crafter	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_dlc06_ancillary_follower_shaman	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_dlc06_ancillary_follower_translator	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_dlc07_ancillary_follower_northern_army_captain	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	false	false	unique	false	false	true	character_equipment	0
3k_gsz_ancillary_follower_bandit_earth	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_bandit_fire	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_bandit_metal	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_bandit_water	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_bandit_wood	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_barbarian_earth	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_barbarian_fire	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_barbarian_metal	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_barbarian_water	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_barbarian_wood	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_han_earth	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_han_fire	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_han_metal	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_han_water	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_han_wood	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_korea_earth	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_korea_fire	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_korea_metal	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_korea_water	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_korea_wood	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_nanman_animal	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_gsz_ancillary_follower_nanman_infantry	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	false	true	true	character_equipment	-1
3k_ironic_ancillary_follower_xiliang_commander	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	false	false	unique	false	false	true	character_equipment	0
3k_main_ancillary_follower_adept	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_main_ancillary_follower_architect	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_main_ancillary_follower_artisan	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_main_ancillary_follower_astronomer	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_main_ancillary_follower_bodyguard	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_main_ancillary_follower_builder	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	common	true	true	true	character_equipment	0
3k_main_ancillary_follower_concubine	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_main_ancillary_follower_confucian_sage	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_main_ancillary_follower_craftsman	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	common	true	true	true	character_equipment	0
3k_main_ancillary_follower_cryptographer	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_main_ancillary_follower_devious_attendant	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	common	true	true	true	character_equipment	0
3k_main_ancillary_follower_diviner	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_main_ancillary_follower_eavesdropper	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	common	true	true	true	character_equipment	0
3k_main_ancillary_follower_elite_trainer	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_main_ancillary_follower_engineer	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_main_ancillary_follower_eunuch	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_main_ancillary_follower_farm_manager	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_main_ancillary_follower_farmer	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_main_ancillary_follower_foreman	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_main_ancillary_follower_forge_master	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_main_ancillary_follower_guard	faction_ceo_manager	3k_main_ceo_category_ancillary_follower	1	0	0	0		true	0	true	true	common	true	true	true	character_equipment	0
