key	exists_in_location	category	priority	turns_to_expire	point_change_per_turn_if_inactive	point_change_per_turn_while_active	provides_scripted_permissions_on_spawn	can_be_looted_post_battle	inheritance_chance	can_be_traded_in_diplomacy	can_be_stolen	rarity	can_be_unequipped	can_be_transferred_if_equipped	cannot_reequip_until_next_round_if_unequipped	equipped_in_location	point_change_per_turn_while_equipped
#ceos_tables;0;ceo_db/ceos_tables/liu_chong																	
3k_dlc04_ceo_factional_trophy_cabinet_heroes_unique	faction_ceo_manager	3k_dlc04_ceo_category_factional_liu_chong	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_trophy_cabinet_heroes_unique_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_liu_chong	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_common	faction_ceo_manager	3k_dlc04_ceo_category_factional_liu_chong	1	0	0	0		false	0	false	false	common	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_common_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_liu_chong	1	0	0	0		false	0	false	false	common	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_refined	faction_ceo_manager	3k_dlc04_ceo_category_factional_liu_chong	1	0	0	0		false	0	false	false	refined	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_refined_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_liu_chong	1	0	0	0		false	0	false	false	refined	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_unique	faction_ceo_manager	3k_dlc04_ceo_category_factional_liu_chong	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_trophy_cabinet_melee_cav_unique_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_liu_chong	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_common	faction_ceo_manager	3k_dlc04_ceo_category_factional_liu_chong	1	0	0	0		false	0	false	false	common	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_trophy_cabinet_melee_inf_common_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_liu_chong	1	0	0	0		false	0	false	false	common	true	false	true	faction_equipment	0
