key	exists_in_location	category	priority	turns_to_expire	point_change_per_turn_if_inactive	point_change_per_turn_while_active	provides_scripted_permissions_on_spawn	can_be_looted_post_battle	inheritance_chance	can_be_traded_in_diplomacy	can_be_stolen	rarity	can_be_unequipped	can_be_transferred_if_equipped	cannot_reequip_until_next_round_if_unequipped	equipped_in_location	point_change_per_turn_while_equipped
#ceos_tables;0;ceo_db/ceos_tables/lu_zhi																	
3k_dlc04_ceo_factional_great_library_authority_common	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	common	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_authority_common_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	common	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_authority_exceptional	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	exceptional	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_authority_exceptional_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	exceptional	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_authority_refined	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	refined	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_authority_refined_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	refined	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_authority_unique	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_authority_unique_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_cunning_common	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	common	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_cunning_common_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	common	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_cunning_exceptional	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	exceptional	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_cunning_exceptional_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	exceptional	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_cunning_refined	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	refined	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_cunning_refined_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	refined	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_cunning_unique	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_cunning_unique_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_expertise_common	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	common	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_expertise_common_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	common	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_expertise_exceptional	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	exceptional	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_expertise_exceptional_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	exceptional	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_expertise_refined	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	refined	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_expertise_refined_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	refined	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_expertise_unique	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_expertise_unique_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_instinct_common	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	common	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_instinct_common_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	common	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_instinct_exceptional	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	exceptional	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_instinct_exceptional_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	exceptional	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_instinct_refined	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	refined	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_instinct_refined_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	refined	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_instinct_unique	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_instinct_unique_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_resolve_common	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	common	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_resolve_common_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	common	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_resolve_exceptional	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	exceptional	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_resolve_exceptional_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	exceptional	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_resolve_refined	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	refined	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_resolve_refined_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	refined	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_resolve_unique	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
3k_dlc04_ceo_factional_great_library_resolve_unique_locked	faction_ceo_manager	3k_dlc04_ceo_category_factional_lu_zhi	1	0	0	0		false	0	false	false	unique	true	false	true	faction_equipment	0
