key	exists_in_location	category	priority	turns_to_expire	point_change_per_turn_if_inactive	point_change_per_turn_while_active	provides_scripted_permissions_on_spawn	can_be_looted_post_battle	inheritance_chance	can_be_traded_in_diplomacy	can_be_stolen	rarity	can_be_unequipped	can_be_transferred_if_equipped	cannot_reequip_until_next_round_if_unequipped	equipped_in_location	point_change_per_turn_while_equipped
#ceos_tables;0;ceo_db/ceos_tables/mounts																	
3k_dlc04_ancillary_mount_liu_chong	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_dlc06_ancillary_mount_elephant_common	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	common	true	true	true	character_equipment	0
3k_dlc06_ancillary_mount_elephant_exceptional	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_dlc06_ancillary_mount_elephant_refined	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_dlc06_ancillary_mount_elephant_unique	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_main_ancillary_mount_black_elite	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_main_ancillary_mount_black_horse	character_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		false	0	false	false	common	true	true	true	character_equipment	0
3k_main_ancillary_mount_black_stallion	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_main_ancillary_mount_black_thoroughbred	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_main_ancillary_mount_brown_elite	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_main_ancillary_mount_brown_horse	character_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		false	0	false	false	common	true	true	true	character_equipment	0
3k_main_ancillary_mount_brown_stallion	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_main_ancillary_mount_brown_thoroughbred	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_main_ancillary_mount_dilu	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_main_ancillary_mount_grey_elite	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_main_ancillary_mount_grey_horse	character_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		false	0	false	false	common	true	true	true	character_equipment	0
3k_main_ancillary_mount_grey_stallion	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_main_ancillary_mount_grey_thoroughbred	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_main_ancillary_mount_heavenly_fire	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_main_ancillary_mount_red_elite	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_main_ancillary_mount_red_hare	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_main_ancillary_mount_red_horse	character_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		false	0	false	false	common	true	true	true	character_equipment	0
3k_main_ancillary_mount_red_stallion	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_main_ancillary_mount_red_thoroughbred	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_main_ancillary_mount_shadow_runner	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_main_ancillary_mount_white_elite	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_main_ancillary_mount_white_horse	character_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		false	0	false	false	common	true	true	true	character_equipment	0
3k_main_ancillary_mount_white_stallion	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_main_ancillary_mount_white_thoroughbred	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	refined	true	true	true	character_equipment	0
3k_main_ancillary_mount_wuhuan_horse	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_main_ancillary_mount_xianbei_horse	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_main_ancillary_mount_xiongnu_horse	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	exceptional	true	true	true	character_equipment	0
3k_main_ancillary_mount_yellow_hoofed_thunder	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_mtu_ancillary_mount_lady_trieus_elephant_unique	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
3k_mtu_ancillary_mount_white_horse_unique	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
ep_dyn_ancillary_mount_black_elite	character_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		false	0	false	false	unique	true	false	true	character_equipment	0
ep_dyn_ancillary_mount_brown_elite	character_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		false	0	false	false	unique	true	false	true	character_equipment	0
ep_dyn_ancillary_mount_grey_elite	character_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		false	0	false	false	unique	true	false	true	character_equipment	0
ep_dyn_ancillary_mount_red_elite	character_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		false	0	false	false	unique	true	false	true	character_equipment	0
ep_dyn_ancillary_mount_red_hare	character_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		false	0	false	false	unique	true	false	true	character_equipment	0
ep_dyn_ancillary_mount_shadow_runner	character_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		false	0	false	false	unique	true	false	true	character_equipment	0
ep_dyn_ancillary_mount_white_elite	character_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		false	0	false	false	unique	true	false	true	character_equipment	0
ironic_ancillary_mount_tiger	faction_ceo_manager	3k_main_ceo_category_ancillary_mount	1	0	0	0		true	0	true	true	unique	true	true	true	character_equipment	0
