key	exists_in_location	category	priority	turns_to_expire	point_change_per_turn_if_inactive	point_change_per_turn_while_active	provides_scripted_permissions_on_spawn	can_be_looted_post_battle	inheritance_chance	can_be_traded_in_diplomacy	can_be_stolen	rarity	can_be_unequipped	can_be_transferred_if_equipped	cannot_reequip_until_next_round_if_unequipped	equipped_in_location	point_change_per_turn_while_equipped
#ceos_tables;0;ceo_db/ceos_tables/nanman																	
3k_dlc06_ceo_character_nanman_skills_earth_authority_cavalry_chief	character_ceo_manager	3k_dlc06_ceo_category_nanman_skills	1	0	0	0		false	0	false	false	common	false	false	true	character_equipment	0
3k_dlc06_ceo_character_nanman_skills_earth_authority_hit_and_run	character_ceo_manager	3k_dlc06_ceo_category_nanman_skills	1	0	0	0		false	0	false	false	common	false	false	true	character_equipment	0
3k_dlc06_ceo_character_nanman_skills_earth_authority_tireless_soul	character_ceo_manager	3k_dlc06_ceo_category_nanman_skills	1	0	0	0		false	0	false	false	common	false	false	true	character_equipment	0
3k_dlc06_ceo_character_nanman_skills_fire_instinct_butcher	character_ceo_manager	3k_dlc06_ceo_category_nanman_skills	1	0	0	0		false	0	false	false	common	false	false	true	character_equipment	0
3k_dlc06_ceo_character_nanman_skills_fire_instinct_prudence	character_ceo_manager	3k_dlc06_ceo_category_nanman_skills	1	0	0	0		false	0	false	false	common	false	false	true	character_equipment	0
3k_dlc06_ceo_character_nanman_skills_fire_instinct_warmonger	character_ceo_manager	3k_dlc06_ceo_category_nanman_skills	1	0	0	0		false	0	false	false	common	false	false	true	character_equipment	0
3k_dlc06_ceo_character_nanman_skills_metal_expertise_cave_defender	character_ceo_manager	3k_dlc06_ceo_category_nanman_skills	1	0	0	0		false	0	false	false	common	false	false	true	character_equipment	0
3k_dlc06_ceo_character_nanman_skills_metal_expertise_flurry	character_ceo_manager	3k_dlc06_ceo_category_nanman_skills	1	0	0	0		false	0	false	false	common	false	false	true	character_equipment	0
3k_dlc06_ceo_character_nanman_skills_metal_expertise_tribal_hero	character_ceo_manager	3k_dlc06_ceo_category_nanman_skills	1	0	0	0		false	0	false	false	common	false	false	true	character_equipment	0
3k_dlc06_ceo_character_nanman_skills_water_cunning_missile_chief	character_ceo_manager	3k_dlc06_ceo_category_nanman_skills	1	0	0	0		false	0	false	false	common	false	false	true	character_equipment	0
3k_dlc06_ceo_character_nanman_skills_water_cunning_shaman_rites	character_ceo_manager	3k_dlc06_ceo_category_nanman_skills	1	0	0	0		false	0	false	false	common	false	false	true	character_equipment	0
3k_dlc06_ceo_character_nanman_skills_water_cunning_stalker	character_ceo_manager	3k_dlc06_ceo_category_nanman_skills	1	0	0	0		false	0	false	false	common	false	false	true	character_equipment	0
3k_dlc06_ceo_character_nanman_skills_wood_resolve_infantry_chief	character_ceo_manager	3k_dlc06_ceo_category_nanman_skills	1	0	0	0		false	0	false	false	common	false	false	true	character_equipment	0
3k_dlc06_ceo_character_nanman_skills_wood_resolve_marshal	character_ceo_manager	3k_dlc06_ceo_category_nanman_skills	1	0	0	0		false	0	false	false	common	false	false	true	character_equipment	0
3k_dlc06_ceo_character_nanman_skills_wood_resolve_role_model	character_ceo_manager	3k_dlc06_ceo_category_nanman_skills	1	0	0	0		false	0	false	false	common	false	false	true	character_equipment	0
3k_dlc06_ceo_factional_nanman_fealty_major_king_duosi	faction_ceo_manager	3k_dlc06_ceo_category_factional_nanman_fealty	1	0	0	0		false	0	false	false	unique	false	false	true	faction_equipment	0
3k_dlc06_ceo_factional_nanman_fealty_major_king_meng_huo	faction_ceo_manager	3k_dlc06_ceo_category_factional_nanman_fealty	1	0	0	0		false	0	false	false	unique	false	false	true	faction_equipment	0
3k_dlc06_ceo_factional_nanman_fealty_major_king_mulu	faction_ceo_manager	3k_dlc06_ceo_category_factional_nanman_fealty	1	0	0	0		false	0	false	false	unique	false	false	true	faction_equipment	0
3k_dlc06_ceo_factional_nanman_fealty_major_king_shamoke	faction_ceo_manager	3k_dlc06_ceo_category_factional_nanman_fealty	1	0	0	0		false	0	false	false	unique	false	false	true	faction_equipment	0
3k_dlc06_ceo_factional_nanman_fealty_major_king_wutugu	faction_ceo_manager	3k_dlc06_ceo_category_factional_nanman_fealty	1	0	0	0		false	0	false	false	unique	false	false	true	faction_equipment	0
3k_dlc06_ceo_factional_nanman_fealty_major_lady_zhurong	faction_ceo_manager	3k_dlc06_ceo_category_factional_nanman_fealty	1	0	0	0		false	0	false	false	unique	false	false	true	faction_equipment	0
3k_dlc06_ceo_factional_nanman_fealty_major_yang_feng	faction_ceo_manager	3k_dlc06_ceo_category_factional_nanman_fealty	1	0	0	0		false	0	false	false	unique	false	false	true	faction_equipment	0
3k_dlc06_ceo_factional_nanman_fealty_minor_ahuinan	faction_ceo_manager	3k_dlc06_ceo_category_factional_nanman_fealty	1	0	0	0		false	0	false	false	unique	false	false	true	faction_equipment	0
3k_dlc06_ceo_factional_nanman_fealty_minor_dongtuna	faction_ceo_manager	3k_dlc06_ceo_category_factional_nanman_fealty	1	0	0	0		false	0	false	false	unique	false	false	true	faction_equipment	0
3k_dlc06_ceo_factional_nanman_fealty_minor_jiangyang	faction_ceo_manager	3k_dlc06_ceo_category_factional_nanman_fealty	1	0	0	0		false	0	false	false	unique	false	false	true	faction_equipment	0
3k_dlc06_ceo_factional_nanman_fealty_minor_jianning	faction_ceo_manager	3k_dlc06_ceo_category_factional_nanman_fealty	1	0	0	0		false	0	false	false	unique	false	false	true	faction_equipment	0
3k_dlc06_ceo_factional_nanman_fealty_minor_jiaozhi	faction_ceo_manager	3k_dlc06_ceo_category_factional_nanman_fealty	1	0	0	0		false	0	false	false	unique	false	false	true	faction_equipment	0
3k_dlc06_ceo_factional_nanman_fealty_minor_jinhuansanjie	faction_ceo_manager	3k_dlc06_ceo_category_factional_nanman_fealty	1	0	0	0		false	0	false	false	unique	false	false	true	faction_equipment	0
