character_generation_template	game_mode	death_distribution_curve	initial_ceos	retinue	min_rank	max_rank	experience_rank_effects	attribute_set	skill_set_override	initial_lives	undercover_character_chance_multiplier	is_deployable
#character_generation_template_game_mode_details_tables;9;db/character_generation_template_game_mode_details_tables/_mtu_characters												
3k_mtu_template_ancestral_ma		3k_standard_death_distribution	3k_main_ceo_initial_data_character_generic_m_earth_governor	3k_main_general_generic_earth	0	0		3k_main_attribute_set_general_earth_romance	3k_main_skillset_generic_governor_earth	1	1.0000	true
3k_mtu_template_historical_chen_jiu_hero_wood	historical	3k_standard_death_distribution_no_infant_mortality	3k_mtu_ceo_initial_data_character_historical_chen_jiu	3k_main_general_wood_pang_de	0	0	3k_main_rank_effect_set_records_base	3k_main_attribute_set_general_wood_records	3k_main_skillset_historical_pang_de	1	1.0000	true
3k_mtu_template_historical_chen_jiu_hero_wood	romance	3k_romance_death_distribution	3k_mtu_ceo_initial_data_character_historical_chen_jiu	3k_main_hero_wood_pang_de	0	0	3k_main_rank_effect_set_romance_base	3k_main_attribute_set_general_wood_romance	3k_main_skillset_historical_pang_de	1	1.0000	true
3k_mtu_template_historical_dong_min_hero_earth	historical	3k_standard_death_distribution_no_infant_mortality	3k_mtu_ceo_initial_data_character_historical_dong_min	3k_main_general_generic_earth	0	0	3k_main_rank_effect_set_records_earth_commander	3k_main_attribute_set_general_earth_records	3k_main_skillset_historical_dong_min	1	1.0000	true
3k_mtu_template_historical_dong_min_hero_earth	romance	3k_romance_death_distribution	3k_mtu_ceo_initial_data_character_historical_dong_min	3k_main_hero_generic_earth	0	0	3k_main_rank_effect_set_romance_earth_commander	3k_main_attribute_set_general_earth_romance	3k_main_skillset_historical_dong_min	1	1.0000	true
3k_mtu_template_historical_jian_yong_hero_metal	historical	3k_standard_death_distribution_no_infant_mortality	3k_mtu_ceo_initial_data_character_historical_jian_yong	3k_main_general_generic_metal	0	0	3k_main_rank_effect_set_records_base	3k_main_attribute_set_general_metal_records	3k_main_skillset_historical_jian_yong	1	1.0000	true
3k_mtu_template_historical_jian_yong_hero_metal	romance	3k_romance_death_distribution	3k_mtu_ceo_initial_data_character_historical_jian_yong	3k_main_hero_generic_metal	0	0	3k_main_rank_effect_set_romance_base	3k_main_attribute_set_general_metal_romance	3k_main_skillset_historical_jian_yong	1	1.0000	true
3k_main_template_historical_lady_cai_yan_hero_water	historical	3k_standard_death_distribution_no_infant_mortality	3k_dlc04_ceo_initial_data_character_historical_lady_cai_yan_wenji	3k_main_general_generic_water_strategist	3	3	3k_main_rank_effect_set_records_water_strategist	3k_main_attribute_set_general_water_records	3k_main_skillset_historical_lady_cai_yan	1	1.0000	true
3k_main_template_historical_lady_cai_yan_hero_water	romance	3k_romance_death_distribution	3k_dlc04_ceo_initial_data_character_historical_lady_cai_yan_wenji	3k_main_hero_generic_water_strategist	3	3	3k_main_rank_effect_set_romance_water_strategist	3k_main_attribute_set_general_water_romance	3k_main_skillset_historical_lady_cai_yan	1	1.0000	true
