character_generation_template	game_mode	death_distribution_curve	initial_ceos	retinue	min_rank	max_rank	experience_rank_effects	attribute_set	skill_set_override	initial_lives	undercover_character_chance_multiplier	is_deployable
#character_generation_template_game_mode_details_tables;9;db/character_generation_template_game_mode_details_tables/_mtu_characters_vanilla												
3k_main_template_historical_huang_gai_hero_wood	historical	3k_standard_death_distribution_no_infant_mortality	3k_ytr_ceo_initial_data_character_generic_m_wood_agent_legendary	3k_main_general_generic_wood	1	1	3k_main_rank_effect_set_records_base	3k_main_attribute_set_general_wood_records	3k_main_skillset_generic_agent_wood	1	1.0000	true
3k_main_template_historical_huang_gai_hero_wood	romance	3k_romance_death_distribution	3k_ytr_ceo_initial_data_character_generic_m_wood_agent_legendary	3k_main_hero_generic_wood	1	1	3k_main_rank_effect_set_romance_base	3k_main_attribute_set_general_wood_romance	3k_main_skillset_generic_agent_wood	1	1.0000	true
3k_dlc05_template_historical_lu_lingqi_hero_metal	historical	3k_romance_death_distribution	3k_dlc05_ceo_initial_data_character_generic_bandit_f_metal_agent	3k_main_general_generic_metal	0	3	3k_main_rank_effect_set_records_base	3k_main_attribute_set_general_metal_records	3k_main_skillset_generic_general_metal	1	1.0000	true
3k_dlc05_template_historical_lu_lingqi_hero_metal	romance	3k_romance_death_distribution	3k_dlc05_ceo_initial_data_character_generic_bandit_f_metal_agent	3k_main_hero_generic_metal	0	3	3k_main_rank_effect_set_romance_base	3k_main_attribute_set_general_metal_romance	3k_main_skillset_generic_general_metal	1	1.0000	true
3k_main_template_historical_lady_lu_zheng_hero_water	historical	3k_standard_death_distribution_no_infant_mortality	3k_dlc05_ceo_initial_data_character_generic_bandit_f_water_agent_legendary	3k_dlc05_bandit_general_generic_water	1	1	3k_main_rank_effect_set_records_water_strategist	3k_main_attribute_set_general_water_records	3k_dlc05_skillset_generic_bandit_agent_water_strategist	1	1.0000	true
3k_main_template_historical_lady_lu_zheng_hero_water	romance	3k_romance_death_distribution	3k_dlc05_ceo_initial_data_character_generic_bandit_f_water_agent_legendary	3k_dlc05_bandit_hero_generic_water	1	1	3k_main_rank_effect_set_romance_water_strategist	3k_main_attribute_set_general_water_romance	3k_dlc05_skillset_generic_bandit_agent_water_strategist	1	1.0000	true
3k_main_template_historical_lady_wu_minyu_hero_earth	historical	3k_standard_death_distribution_no_infant_mortality	3k_main_ceo_initial_data_character_generic_f_earth_envoy_legendary	3k_main_general_generic_earth	0	0	3k_main_rank_effect_set_records_earth_commander	3k_main_attribute_set_general_earth_records	3k_main_skillset_generic_envoy_earth	1	1.0000	true
3k_main_template_historical_lady_wu_minyu_hero_earth	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_generic_f_earth_envoy_legendary	3k_main_hero_generic_earth	0	0	3k_main_rank_effect_set_romance_earth_commander	3k_main_attribute_set_general_earth_romance	3k_main_skillset_generic_envoy_earth	1	1.0000	true
3k_main_template_historical_xun_yu_hero_water	historical	3k_standard_death_distribution_no_infant_mortality	3k_main_ceo_initial_data_character_historical_xun_yu	3k_dlc05_general_water_xun_yu	1	1	3k_main_rank_effect_set_records_water_strategist	3k_main_attribute_set_general_water_records	3k_main_skillset_historical_xun_yu	1	1.0000	true
3k_main_template_historical_xun_yu_hero_water	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_historical_xun_yu	3k_dlc05_hero_water_xun_yu	1	1	3k_main_rank_effect_set_romance_water_strategist	3k_main_attribute_set_general_water_romance	3k_main_skillset_historical_xun_yu	1	1.0000	true
3k_main_template_historical_pang_de_hero_wood	historical	3k_standard_death_distribution_no_infant_mortality	3k_main_ceo_initial_data_character_generic_m_wood_agent_legendary	3k_main_general_generic_wood	1	1	3k_main_rank_effect_set_records_base	3k_main_attribute_set_general_wood_records	3k_main_skillset_generic_general_wood	1	1.0000	true
3k_main_template_historical_pang_de_hero_wood	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_generic_m_wood_agent_legendary	3k_main_hero_generic_wood	1	1	3k_main_rank_effect_set_romance_base	3k_main_attribute_set_general_wood_romance	3k_main_skillset_generic_general_wood	1	1.0000	true
3k_main_template_historical_qu_gong_hero_wood	historical	3k_standard_death_distribution_no_infant_mortality	3k_dlc05_ceo_initial_data_character_generic_bandit_m_wood_villager	3k_dlc05_bandit_general_generic_wood	0	0	3k_main_rank_effect_set_records_base	3k_main_attribute_set_general_wood_records	3k_dlc05_skillset_generic_bandit_villager_wood	1	1.0000	true
3k_main_template_historical_qu_gong_hero_wood	romance	3k_romance_death_distribution	3k_dlc05_ceo_initial_data_character_generic_bandit_m_wood_villager	3k_dlc05_bandit_hero_generic_wood	0	0	3k_main_rank_effect_set_romance_base	3k_main_attribute_set_general_wood_romance	3k_dlc05_skillset_generic_bandit_villager_wood	1	1.0000	true
