character_generation_template	game_mode	death_distribution_curve	initial_ceos	retinue	min_rank	max_rank	experience_rank_effects	attribute_set	skill_set_override	initial_lives	undercover_character_chance_multiplier	is_deployable
#character_generation_template_game_mode_details_tables;9;db/character_generation_template_game_mode_details_tables/ironic_korea_generics												
3k_korea_template_generic_castellan_f_01	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_transitive	ironic_hero_korea_earth	0	0	3k_main_rank_effect_set_romance_base	3k_main_attribute_set_general_earth_romance		1	1.0000	true
3k_korea_template_generic_castellan_m_01	historical	3k_standard_death_distribution	3k_main_ceo_initial_data_character_transitive	ironic_general_korea_earth	0	0	3k_main_rank_effect_set_records_base	3k_main_attribute_set_general_earth_records		1	1.0000	true
3k_korea_template_generic_castellan_m_01	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_transitive	ironic_hero_korea_earth	0	0	3k_main_rank_effect_set_romance_base	3k_main_attribute_set_general_earth_romance		1	1.0000	true
3k_korea_template_generic_colonel_f_01	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_transitive	ironic_hero_korea_earth	0	0	3k_main_rank_effect_set_romance_base	3k_main_attribute_set_general_earth_romance		1	1.0000	true
3k_korea_template_generic_colonel_m_01	historical	3k_standard_death_distribution	3k_main_ceo_initial_data_character_transitive	ironic_general_korea_earth	0	0	3k_main_rank_effect_set_records_base	3k_main_attribute_set_general_earth_records		1	1.0000	true
3k_korea_template_generic_colonel_m_01	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_transitive	ironic_hero_korea_earth	0	0	3k_main_rank_effect_set_romance_base	3k_main_attribute_set_general_earth_romance		1	1.0000	true
3k_korea_template_generic_earth_agent_legendary_f_hero	historical	3k_romance_death_distribution	3k_main_ceo_initial_data_character_generic_f_earth_agent_legendary	ironic_general_korea_earth	0	3	3k_main_rank_effect_set_records_earth_commander	3k_main_attribute_set_general_earth_records	ironic_skillset_korea_general_earth	1	1.0000	true
3k_korea_template_generic_earth_agent_legendary_f_hero	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_generic_f_earth_agent_legendary	ironic_hero_korea_earth	0	3	3k_main_rank_effect_set_romance_earth_commander	3k_main_attribute_set_general_earth_romance	ironic_skillset_korea_general_earth	1	1.0000	true
3k_korea_template_generic_earth_agent_legendary_m_hero	historical	3k_standard_death_distribution	3k_main_ceo_initial_data_character_generic_m_earth_agent_legendary	ironic_general_korea_earth	0	3	3k_main_rank_effect_set_records_earth_commander	3k_main_attribute_set_general_earth_records	ironic_skillset_korea_general_earth	1	1.0000	true
3k_korea_template_generic_earth_agent_legendary_m_hero	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_generic_m_earth_agent_legendary	ironic_hero_korea_earth	0	3	3k_main_rank_effect_set_romance_earth_commander	3k_main_attribute_set_general_earth_romance	ironic_skillset_korea_general_earth	1	1.0000	true
3k_korea_template_generic_earth_agent_normal_f_hero	historical	3k_romance_death_distribution	3k_main_ceo_initial_data_character_generic_f_earth_agent	ironic_general_korea_earth	0	3	3k_main_rank_effect_set_records_earth_commander	3k_main_attribute_set_general_earth_records	ironic_skillset_korea_general_earth	1	1.0000	true
3k_korea_template_generic_earth_agent_normal_f_hero	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_generic_f_earth_agent	ironic_hero_korea_earth	0	3	3k_main_rank_effect_set_romance_earth_commander	3k_main_attribute_set_general_earth_romance	ironic_skillset_korea_general_earth	1	1.0000	true
3k_korea_template_generic_earth_agent_normal_m_hero	historical	3k_standard_death_distribution	3k_main_ceo_initial_data_character_generic_m_earth_agent	ironic_general_korea_earth	0	3	3k_main_rank_effect_set_records_earth_commander	3k_main_attribute_set_general_earth_records	ironic_skillset_korea_general_earth	1	1.0000	true
3k_korea_template_generic_earth_agent_normal_m_hero	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_generic_m_earth_agent	ironic_hero_korea_earth	0	3	3k_main_rank_effect_set_romance_earth_commander	3k_main_attribute_set_general_earth_romance	ironic_skillset_korea_general_earth	1	1.0000	true
3k_korea_template_generic_earth_envoy_legendary_f_hero	historical	3k_romance_death_distribution	3k_main_ceo_initial_data_character_generic_f_earth_envoy_legendary	ironic_general_korea_earth	0	3	3k_main_rank_effect_set_records_earth_commander	3k_main_attribute_set_general_earth_records	ironic_skillset_korea_minister_earth	1	1.0000	true
3k_korea_template_generic_earth_envoy_legendary_f_hero	romance	3k_romance_death_distribution	3k_main_ceo_initial_data_character_generic_f_earth_envoy_legendary	ironic_hero_korea_earth	0	3	3k_main_rank_effect_set_romance_earth_commander	3k_main_attribute_set_general_earth_romance	ironic_skillset_korea_minister_earth	1	1.0000	true
3k_korea_template_generic_earth_envoy_legendary_m_hero	historical	3k_standard_death_distribution	3k_main_ceo_initial_data_character_generic_m_earth_envoy_legendary	ironic_general_korea_earth	0	3	3k_main_rank_effect_set_records_earth_commander	3k_main_attribute_set_general_earth_records	ironic_skillset_korea_minister_earth	1	1.0000	true
