key	forename	family_name	clan_name	other_name	weight	unique	art_set_override	is_male	voiceover_actor	min_rounds_to_stay_in_a_pool	max_rounds_to_stay_in_a_pool	max_rounds_in_all_pools_before_destroyed	spawn_age_range	min_spawn_round	max_spawn_round	can_be_born	ai_skill_generation	subtype
#character_generation_templates_tables;14;db/character_generation_templates_tables/@_@@_zase_puzzle																		
3k_main_template_historical_cai_he_hero_metal	1860649317	1582273806	0	0	100.0000	true	3k_main_art_set_historical_cai_he_general	true	vo_actor_group_generic_male_metal_general	2	6	40	3k_main_age_fixed_historical_cai_he_hero_metal	0	255	false	default_character_skill_selection_policy	3k_general_metal
3k_main_template_historical_cai_mao_hero_fire	1558332559	1582273806	463943323	0	100.0000	true	3k_main_art_set_historical_cai_mao_general	true	vo_actor_group_generic_male_fire_general	2	6	40	3k_main_age_fixed_historical_cai_mao_hero_fire	0	245	false	default_character_skill_selection_policy	3k_general_fire
3k_main_template_historical_lady_cai_yuxiang_hero_earth	0	285198997	0	0	100.0000	true	3k_main_art_set_historical_cai_yuxiang_general	false	vo_actor_group_generic_female_earth_general	2	6	40	3k_main_age_fixed_historical_lady_cai_yuxiang_hero_earth	0	240	false	default_character_skill_selection_policy	3k_general_earth
3k_main_template_historical_cai_zhong_hero_wood	1084611226	1582273806	0	0	100.0000	true	3k_main_art_set_historical_cai_zhong_general	true	vo_actor_group_generic_male_wood_general	2	6	40	3k_main_age_fixed_historical_cai_zhong_hero_wood	0	250	false	default_character_skill_selection_policy	3k_general_wood
3k_main_template_historical_cao_ang_hero_wood	1868845151	1170641616	479008465	0	100.0000	true	3k_main_art_set_historical_cao_ang_general	true	vo_actor_group_generic_male_wood_general	2	6	40	3k_main_age_fixed_historical_cao_ang_hero_wood	25	335	false	default_character_skill_selection_policy	3k_general_wood
3k_main_template_historical_chenggong_ying_hero_fire	1366008214	2071373870	0	0	100.0000	true	3k_main_art_set_historical_chenggong_ying_general	true	vo_actor_group_generic_male_fire_general	2	6	40	3k_main_age_fixed_historical_chenggong_ying_hero_fire	0	310	false	default_character_skill_selection_policy	3k_general_fire
3k_main_template_historical_chen_jiu_hero_wood	1286051299	1501895880	0	0	100.0000	true	3k_main_art_set_historical_chen_jiu_general	true	vo_actor_group_generic_male_wood_general	2	6	40	3k_main_age_fixed_historical_chen_jiu_hero_wood	0	205	false	default_character_skill_selection_policy	3k_general_wood
3k_main_template_historical_congqian_hero_metal	0	858169286	0	0	100.0000	true	3k_main_art_set_historical_congqian_general	true	vo_actor_group_generic_male_metal_general	3	10	40	3k_main_age_fixed_historical_congqian_hero_metal	0	280	false	default_character_skill_selection_policy	3k_general_metal
3k_main_template_historical_cui_jun_hero_metal	1612205477	869102437	0	0	100.0000	true	3k_main_art_set_historical_cui_jun_general	true	vo_actor_group_generic_male_metal_general	2	6	40	3k_main_age_fixed_historical_cui_jun_hero_metal	0	999999	false	default_character_skill_selection_policy	3k_general_metal
