key	forename	family_name	clan_name	other_name	weight	unique	art_set_override	is_male	voiceover_actor	min_rounds_to_stay_in_a_pool	max_rounds_to_stay_in_a_pool	max_rounds_in_all_pools_before_destroyed	spawn_age_range	min_spawn_round	max_spawn_round	can_be_born	ai_skill_generation	subtype
#character_generation_templates_tables;14;db/character_generation_templates_tables/_mtu_characters_vanilla																		
3k_main_template_historical_jian_yong_hero_metal	315751874	1760199604	445425043	0	100.0000	true	3k_main_art_set_generic_male_23_general_metal	true	vo_actor_group_generic_male_metal_general	2	6	20	3k_main_age_fixed_historical_jian_yong_hero_metal	0	305	false	default_character_skill_selection_policy	3k_general_metal
3k_main_template_historical_lady_cai_yan_hero_water	690871595	2087807450	261360834	0	100.0000	true	3k_main_art_set_generic_female_01_general_water_strategist	false	vo_actor_group_generic_female_water_general	2	6	20	3k_main_age_fixed_historical_lady_cai_yan_hero_water	25	335	false	default_character_skill_selection_policy	3k_general_water
3k_main_template_historical_dong_min_hero_earth	993290721	1064304120	1582964075	0	100.0000	true	3k_main_art_set_generic_male_13_general_earth	true	vo_actor_group_generic_any_male_earth_general	2	6	20	3k_main_age_fixed_historical_dong_min_hero_earth	0	165	false	default_character_skill_selection_policy	3k_general_earth
3k_main_template_historical_lady_dong_peishan_hero_earth	2017449678	1064499296	0	0	100.0000	true	3k_main_art_set_generic_female_04_general_earth	false	vo_actor_group_generic_female_earth_general	2	6	20	3k_main_age_fixed_historical_lady_dong_peishan_hero_earth	0	190	false	default_character_skill_selection_policy	3k_general_earth
3k_main_template_historical_lady_feng_hero_water	743930252	1064797262	0	0	100.0000	true	3k_main_art_set_generic_female_01_general_water_strategist	false	vo_actor_group_generic_female_water_general	2	6	20	3k_main_age_fixed_historical_lady_feng_hero_water	0	310	false	default_character_skill_selection_policy	3k_general_water
3k_main_template_generated_lady_gongsun_jinting_hero_water	431264558	1012591794	0	0	100.0000	true	3k_main_art_set_generic_female_01_general_water_strategist	false	vo_actor_group_generic_female_water_general	2	6	20	3k_main_age_fixed_generated_lady_gongsun_jinting_hero_water	0	220	false	default_character_skill_selection_policy	3k_general_water
3k_dlc05_template_historical_lu_lingqi_hero_metal	117626095	541098467	0	0	100.0000	true	3k_main_art_set_generic_female_01_general_metal	false	vo_actor_group_generic_female_metal_general	2	6	20	3k_main_age_fixed_historical_lu_lingqi_hero_metal	0	225	false	default_character_skill_selection_policy	3k_general_metal
3k_main_template_historical_lady_lu_zheng_hero_water	1348307615	1064859333	0	0	100.0000	true	3k_main_art_set_generic_female_16_general_water_strategist	false	vo_actor_group_generic_female_water_general	2	6	20	3k_main_age_fixed_historical_lady_lu_zheng_hero_water	0	310	false	default_character_skill_selection_policy	3k_general_water
3k_main_template_generated_lady_ma_lanli_hero_metal	1232559876	1067910647	0	0	100.0000	true	3k_main_art_set_generic_female_14_general_metal	false	vo_actor_group_generic_female_metal_general	2	6	20	3k_main_age_fixed_generated_lady_ma_lanli_hero_metal	0	175	false	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generated_lady_wang_liting_hero_metal	1328264097	1068180287	0	0	100.0000	true	3k_main_art_set_generic_female_06_general_metal	false	vo_actor_group_generic_female_water_general	2	6	20	3k_main_age_fixed_generated_lady_wang_liting_hero_metal	0	140	false	default_character_skill_selection_policy	3k_general_metal
3k_main_template_historical_lady_wu_minyu_hero_earth	1269051418	1077886885	0	0	100.0000	true	3k_main_art_set_generic_female_06_general_earth	false	vo_actor_group_generic_female_earth_general	2	6	20	3k_main_age_fixed_historical_lady_wu_minyu_hero_earth	0	245	false	default_character_skill_selection_policy	3k_general_earth
3k_main_template_historical_lady_yuan_anyang_hero_earth	644607996	1082370785	0	0	100.0000	true	3k_main_art_set_generic_female_07_general_earth	false	vo_actor_group_generic_female_earth_general	2	6	20	3k_main_age_fixed_historical_lady_yuan_anyang_hero_earth	0	310	false	default_character_skill_selection_policy	3k_general_earth
3k_dlc04_template_historical_luo_jun_xiaoyuan_wood	492023763	1582843742	0	0	100.0000	true	3k_main_art_set_generic_male_32_general_wood	true	vo_actor_group_generic_any_male_wood_general	2	6	20	3k_dlc04_age_fixed_historical_luo_jun_xiaoyuan_wood	-1	-1	false	default_character_skill_selection_policy	3k_general_wood
3k_main_template_historical_yan_xiang_hero_water	539389794	1157586582	0	0	100.0000	true	3k_main_art_set_generic_male_22_general_water_strategist	true	vo_actor_group_generic_any_male_water_general	2	6	20	3k_main_age_fixed_historical_yan_xiang_hero_water	0	300	false	default_character_skill_selection_policy	3k_general_water
3k_main_template_historical_pang_de_hero_wood	544256164	1760199604	0	0	100.0000	true	3k_main_art_set_generic_male_05_general_wood	true	vo_actor_group_generic_male_wood_general	2	6	40	3k_main_age_fixed_historical_pang_de_hero_wood	0	290	false	default_character_skill_selection_policy	3k_general_wood
3k_main_template_historical_qu_gong_hero_wood	671721176	1067910647	0	0	100.0000	true	3k_main_art_set_generic_male_06_general_wood	true	vo_actor_group_generic_male_wood_general	3	10	40	3k_main_age_fixed_historical_qu_gong_hero_wood	0	265	false	default_character_skill_selection_policy	3k_general_wood
