key	forename	family_name	clan_name	other_name	weight	unique	art_set_override	is_male	voiceover_actor	min_rounds_to_stay_in_a_pool	max_rounds_to_stay_in_a_pool	max_rounds_in_all_pools_before_destroyed	spawn_age_range	min_spawn_round	max_spawn_round	can_be_born	ai_skill_generation	subtype
#character_generation_templates_tables;14;db/character_generation_templates_tables/data__																		
3k_cp01_template_historical_huang_gai_hero_fire	613213322	558065911	102318916	0	100.0000	true	3k_cp01_art_set_historical_huang_gai_general	true	vo_actor_group_generic_male_fire_2_general	2	6	50	3k_main_age_fixed_historical_huang_gai_hero_fire	0	175	false	default_character_skill_selection_policy	3k_general_fire
3k_dlc04_template_ancestral_mi_tuo	1270475006	1426211990	0	0	1.0000	true	3k_main_art_set_generic_male_07_general_earth	true	vo_actor_group_generic_any_male_earth_general	2	6	20	3k_main_template_ancestral_shi_ci	0	255	false	default_character_skill_selection_policy	3k_general_earth
3k_dlc04_template_historical_bao_dan_water	631368656	660839715	0	0	1.0000	true	3k_main_art_set_generic_male_19_general_water_strategist	true	vo_actor_group_generic_any_male_water_general	2	6	20	3k_dlc04_age_fixed_historical_bao_dan_water	-1	-1	false	default_character_skill_selection_policy	3k_general_water
3k_dlc04_template_historical_beigong_boyu_fire	63663999	1607220181	0	0	100.0000	true	3k_main_art_set_generic_male_25_general_fire	true	vo_actor_group_generic_any_male_fire_general	2	6	20	3k_dlc04_age_fixed_historical_beigong_boyu_fire	-1	-1	false	default_character_skill_selection_policy	3k_general_fire
3k_dlc04_template_historical_bi_lan_water	331316928	2063305644	0	0	1.0000	true	3k_dlc04_art_set_historical_eunuchs_bi_lan	true	vo_actor_group_generic_male_water_2_general	2	6	20	3k_dlc04_age_fixed_historical_bi_lan_water	-1	-1	false	default_character_skill_selection_policy	3k_general_water
3k_dlc04_template_historical_bian_zhang_metal	877699909	1051817282	0	0	100.0000	true	3k_main_art_set_generic_male_44_general_metal	true	vo_actor_group_generic_any_male_metal_general	2	6	20	3k_dlc04_age_fixed_historical_bian_zhang_metal	-1	-1	false	default_character_skill_selection_policy	3k_general_metal
3k_dlc04_template_historical_bo_cai_wood	679021251	558747594	0	0	100.0000	true	3k_main_art_set_generic_male_30_general_wood	true	vo_actor_group_generic_any_male_wood_general	2	6	20	3k_dlc04_age_fixed_historical_bo_cai_wood	-1	-1	false	default_character_skill_selection_policy	3k_general_wood
3k_dlc04_template_historical_bu_si_metal	35789459	541098467	0	0	100.0000	true	3k_main_art_set_generic_male_47_general_metal	true	vo_actor_group_generic_any_male_metal_general	2	6	20	3k_dlc04_age_fixed_historical_bu_si_metal	-1	-1	false	default_character_skill_selection_policy	3k_general_metal
3k_dlc04_template_historical_cao_de_earth	544256164	1170641616	0	0	100.0000	true	3k_main_art_set_generic_male_10_general_earth	true	vo_actor_group_generic_any_male_earth_general	2	6	20	3k_dlc04_age_fixed_historical_cao_de_earth	-1	-1	false	default_character_skill_selection_policy	3k_general_earth
3k_dlc04_template_historical_cao_ding_fire	359537100	1170641616	0	0	1.0000	true	3k_dlc04_art_set_generic_non_deployable_01	true	vo_actor_group_generic_any_male_fire_general	2	6	20	3k_dlc04_age_fixed_historical_cao_ding_fire	-1	-1	false	default_character_skill_selection_policy	3k_general_fire
