key	forename	family_name	clan_name	other_name	weight	unique	art_set_override	is_male	voiceover_actor	min_rounds_to_stay_in_a_pool	max_rounds_to_stay_in_a_pool	max_rounds_in_all_pools_before_destroyed	spawn_age_range	min_spawn_round	max_spawn_round	can_be_born	ai_skill_generation	subtype
#character_generation_templates_tables;14;db/character_generation_templates_tables/generic_nomads																		
3k_xianbei_template_generic_castellan_f_01	0	0	0	0	1.0000	false		false	vo_actor_group_generic_female_earth_general	2	6	20	3k_main_age_range_random	0	999999	false	default_character_skill_selection_policy	3k_colonel
3k_xianbei_template_generic_castellan_m_01	0	0	0	0	1.0000	false		true	vo_actor_group_generic_any_male_earth_general	2	6	20	3k_main_age_range_random	0	999999	false	default_character_skill_selection_policy	3k_colonel
3k_xianbei_template_generic_colonel_f_01	0	0	0	0	1.0000	false		false	vo_actor_group_generic_female_earth_general	2	6	20	3k_main_age_range_random	0	999999	false	default_character_skill_selection_policy	3k_colonel
3k_xianbei_template_generic_colonel_m_01	0	0	0	0	1.0000	false		true	vo_actor_group_generic_any_male_earth_general	2	6	20	3k_main_age_range_random	0	999999	false	default_character_skill_selection_policy	3k_colonel
3k_main_template_generic_xianbei_generic_male_lancer	0	0	0	0	3.0000	false		true	vo_actor_group_generic_any_male_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_male_marauder	0	0	0	0	3.0000	false		true	vo_actor_group_generic_any_male_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_male_waymaker	0	0	0	0	3.0000	false		true	vo_actor_group_generic_any_male_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_female_waymaker	0	0	0	0	2.0000	false		false	vo_actor_group_generic_female_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_female_huntress	0	0	0	0	2.0000	false		false	vo_actor_group_generic_female_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_female_swordmaiden	0	0	0	0	2.0000	false		false	vo_actor_group_generic_female_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_male_headsman	0	0	0	0	3.0000	false		true	vo_actor_group_generic_any_male_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_male_exiled_bureaucrat	0	0	0	0	3.0000	false		true	vo_actor_group_generic_any_male_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_male_aristocrat	0	0	0	0	3.0000	false		true	vo_actor_group_generic_any_male_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_female_aristocrat	0	0	0	0	2.0000	false		false	vo_actor_group_generic_female_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_female_matriarch	0	0	0	0	2.0000	false		false	vo_actor_group_generic_female_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_female_soothsayer	0	0	0	0	2.0000	false		false	vo_actor_group_generic_female_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_male_buddhist_convert	0	0	0	0	3.0000	false		true	vo_actor_group_generic_any_male_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_male_frontiersman	0	0	0	0	3.0000	false		true	vo_actor_group_generic_any_male_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_male_metallurgist	0	0	0	0	3.0000	false		true	vo_actor_group_generic_any_male_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_female_metallurgist	0	0	0	0	2.0000	false		false	vo_actor_group_generic_female_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_female_wrangler	0	0	0	0	2.0000	false		false	vo_actor_group_generic_female_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
3k_main_template_generic_xianbei_generic_female_community_leader	0	0	0	0	2.0000	false		false	vo_actor_group_generic_female_metal_general	2	6	20	3k_main_age_range_random	0	999999	true	default_character_skill_selection_policy	3k_general_metal
