key	forename	family_name	clan_name	other_name	weight	unique	art_set_override	is_male	voiceover_actor	min_rounds_to_stay_in_a_pool	max_rounds_to_stay_in_a_pool	max_rounds_in_all_pools_before_destroyed	spawn_age_range	min_spawn_round	max_spawn_round	can_be_born	ai_skill_generation	subtype
#character_generation_templates_tables;14;db/character_generation_templates_tables/ironic_korea_characters																		
ironic_template_historical_gogukcheon_hero_fire	7654410	7654341	0	0	100.0000	true	3k_main_art_set_historical_zhang_bu_general	true	vo_actor_group_generic_any_male_fire_general	2	6	999	3k_mod_age_fixed_historical_gogukcheon_hero_fire	6	50	false	default_character_skill_selection_policy	3k_general_fire
ironic_template_historical_chogo_hero_earth	7654340	7654411	0	0	100.0000	true	3k_main_art_set_historical_tao_huang_general	true	vo_actor_group_generic_male_earth_2_general	2	6	999	3k_mod_age_fixed_historical_chogo_hero_earth	6	50	false	default_character_skill_selection_policy	3k_general_earth
ironic_template_historical_beolhyu_hero_water	7654354	7654412	0	0	100.0000	true	3k_main_art_set_historical_beolhyu_general	true	vo_actor_group_generic_any_male_water_general	2	6	999	3k_mod_age_fixed_historical_beolhyu_hero_water	6	50	false	default_character_skill_selection_policy	3k_general_water
ironic_template_historical_munseong_hero_water	7654413	7654341	0	0	100.0000	true	3k_main_art_set_historical_munseong	true	vo_actor_group_generic_male_water_2_general	2	6	20	3k_mod_age_fixed_historical_munseong_hero_water	6	50	true	default_character_skill_selection_policy	3k_general_water
ironic_template_historical_ganwigeo_hero_fire	7654415	7654414	0	0	100.0000	true	3k_main_art_set_historical_ganwiego	true	vo_actor_group_generic_male_fire_2_general	2	6	20	3k_mod_age_fixed_historical_ganwigeo_hero_fire	6	50	true	default_character_skill_selection_policy	3k_general_fire
ironic_template_historical_kim_suro_hero_earth	7654418	7654416	0	0	100.0000	true	3k_main_art_set_historical_kim_suro	true	vo_actor_group_generic_any_male_earth_general	2	6	20	3k_mod_age_fixed_historical_kim_suro_hero_earth	6	50	true	default_character_skill_selection_policy	3k_general_earth
ironic_template_historical_yeonbul_hero_metal	7654417	7654399	0	0	100.0000	true	3k_main_art_set_historical_yeonbul	true	vo_actor_group_generic_male_metal_2_general	2	6	20	3k_mod_age_fixed_historical_yeonbul_hero_metal	6	50	true	default_character_skill_selection_policy	3k_general_metal
ironic_template_historical_heo_hwangok_hero_water	7654367	7654366	0	0	100.0000	true	3k_main_art_set_historical_heo_hwangok	false	vo_actor_group_generic_female_water_general	2	6	20	3k_mod_age_fixed_historical_heo_hwangok_hero_water	6	50	true	default_character_skill_selection_policy	3k_general_water
ironic_template_historical_kim_geodeung_hero_water	7654365	7654416	0	0	100.0000	true	3k_main_art_set_historical_kim_geodeung	true	vo_actor_group_generic_male_water_2_general	2	6	20	3k_mod_age_fixed_historical_kim_geodeung_hero_water	6	50	true	default_character_skill_selection_policy	3k_general_water
ironic_template_historical_tam_hari_hero_metal	7654393	7654392	0	0	100.0000	true	3k_main_art_set_historical_tam_hari	true	vo_actor_group_generic_male_metal_2_general	2	6	20	3k_mod_age_fixed_historical_tam_hari_hero_metal	6	50	true	default_character_skill_selection_policy	3k_general_metal
ironic_template_historical_hae_mayeo_hero_earth	7654368	7654414	0	0	100.0000	true	3k_mod_art_set_historical_hae_mayeo_general	true	vo_actor_group_generic_male_earth_general	2	6	20	3k_mod_age_fixed_historical_hae_mayeo_hero_earth	6	50	true	default_character_skill_selection_policy	3k_general_earth
ironic_template_historical_woo_wigeo_hero_water	8550864	8550863	0	0	100.0000	true	3k_main_art_set_historical_woo_wigeo	true	vo_actor_group_generic_male_water_2_general	2	6	20	3k_mod_age_fixed_historical_woo_wigeo_hero_water	6	50	true	default_character_skill_selection_policy	3k_general_water
ironic_template_historical_go_seongbang_hero_earth	7654394	7654341	0	0	100.0000	true	3k_mod_art_set_historical_go_seongbang_general	true	vo_actor_group_generic_male_earth_2_general	2	6	20	3k_mod_age_fixed_historical_go_seongbang_hero_earth	6	50	true	default_character_skill_selection_policy	3k_general_earth
ironic_template_historical_go_ik_hero_wood	7654395	7654341	0	0	100.0000	true	3k_mod_art_set_historical_go_ik_general	true	vo_actor_group_generic_male_wood_2_general	2	6	20	3k_mod_age_fixed_historical_go_ik_hero_wood	6	50	true	default_character_skill_selection_policy	3k_general_wood
ironic_template_historical_go_balgi_ironic_hero_fire	7654346	7654341	0	0	100.0000	true	3k_main_art_set_historical_go_balgi	true	vo_actor_group_generic_male_fire_general	2	999	999	3k_mod_age_fixed_historical_go_balgi_ironic_hero_fire	-1	-1	false	default_character_skill_selection_policy	3k_general_fire
ironic_template_historical_go_yeonu_ironic_hero_earth	7654342	7654341	0	0	100.0000	true	3k_main_art_set_historical_go_yeonu	true	vo_actor_group_generic_male_earth_general	2	999	999	3k_mod_age_fixed_historical_go_yeonu_ironic_hero_earth	-1	-1	false	default_character_skill_selection_policy	3k_general_earth
ironic_template_historical_go_gyesu_ironic_hero_wood	7654347	7654341	0	0	100.0000	true	3k_main_art_set_historical_go_gyesu	true	vo_actor_group_generic_male_wood_general	2	999	999	3k_mod_age_fixed_historical_go_gyesu_ironic_hero_wood	-1	-1	false	default_character_skill_selection_policy	3k_general_wood
ironic_template_historical_go_uwugeo_ironic_hero_fire	7654343	7654341	0	0	100.0000	true	3k_main_art_set_historical_go_uwugeo	true	vo_actor_group_generic_male_fire_general	2	999	999	3k_mod_age_fixed_historical_go_uwigeo_ironic_hero_fire	-1	-1	false	default_character_skill_selection_policy	3k_general_fire
ironic_template_historical_go_bakwigeo_ironic_hero_wood	7654403	7654341	0	0	100.0000	true	3k_mod_art_set_historical_go_bakwigeo_general	true	vo_actor_group_generic_male_wood_general	2	999	999	3k_mod_age_fixed_historical_go_bakwigeo_ironic_hero_wood	-1	-1	false	default_character_skill_selection_policy	3k_general_wood
