key	forename	family_name	clan_name	other_name	weight	unique	art_set_override	is_male	voiceover_actor	min_rounds_to_stay_in_a_pool	max_rounds_to_stay_in_a_pool	max_rounds_in_all_pools_before_destroyed	spawn_age_range	min_spawn_round	max_spawn_round	can_be_born	ai_skill_generation	subtype
#character_generation_templates_tables;14;db/character_generation_templates_tables/ironic_south																		
ironic_template_historical_fei_zhan_hero_fire	1366985991	2145774383	0	0	100.0000	true	3k_main_art_set_historical_fei_zhen_general	true	vo_actor_group_generic_male_fire_general	2	999	999	3k_dlc05_age_fixed_historical_hou_cheng_hero_wood	-1	-1	false	default_character_skill_selection_policy	3k_general_fire
ironic_template_historical_nangong_xinyu_hero_water	92537	52275	0	0	100.0000	true	3k_main_art_set_historical_nangong_xinyu	false	vo_actor_group_generic_female_water_general	2	999	999	3k_dlc05_age_fixed_historical_zhou_bo_hero_earth	-1	-1	false	default_character_skill_selection_policy	3k_general_water
ironic_template_historical_fei_yang_hero_earth	1666020113	2145774383	0	0	100.0000	true	3k_main_art_set_generic_male_14_general_earth	true	vo_actor_group_generic_male_earth_general	2	999	999	3k_main_age_fixed_historical_bao_xun_hero_water	-1	-1	false	default_character_skill_selection_policy	3k_general_earth
ironic_template_historical_nangong_zixiao_hero_wood	64201	78689	0	0	100.0000	true	3k_main_art_set_historical_nangong_zixiao	true	vo_actor_group_generic_male_wood_general	2	999	999	3k_dlc05_age_fixed_historical_huanglong_luo_hero_fire	-1	-1	false	default_character_skill_selection_policy	3k_general_wood
ironic_template_historical_fei_yuelan_hero_earth	84899	2145774383	0	0	100.0000	true	3k_main_art_set_generic_female_02_general_earth	false	vo_actor_group_generic_female_earth_general	2	999	999	3k_main_age_fixed_historical_rui_xuan_hero_fire	-1	-1	false	default_character_skill_selection_policy	3k_general_earth
ironic_template_historical_fei_xin_hero_metal	1748938621	2145774383	0	0	100.0000	true	3k_main_art_set_generic_female_02_general_metal	false	vo_actor_group_generic_female_metal_general	2	999	999	3k_main_age_fixed_historical_wen_hui_hero_water	-1	-1	false	default_character_skill_selection_policy	3k_general_metal
ironic_template_historical_zhang_wu_hero_wood	2072000275	441369143	0	0	100.0000	true	3k_main_art_set_generic_male_02_general_wood	true	vo_actor_group_generic_male_wood_general	2	999	999	3k_dlc06_age_fixed_historical_dailaidongzhu_nanman	-1	-1	false	default_character_skill_selection_policy	3k_general_wood
ironic_template_historical_chen_sun_hero_fire	67306	1501895880	0	0	100.0000	true	3k_main_art_set_generic_male_09_general_fire	true	vo_actor_group_generic_male_fire_general	2	999	999	3k_main_age_fixed_historical_mi_heng_hero_water	-1	-1	false	default_character_skill_selection_policy	3k_general_fire
ironic_template_historical_chen_fu_hero_metal	1622301109	1501895880	0	0	100.0000	true	3k_main_art_set_generic_male_15_general_metal	true	vo_actor_group_generic_male_metal_general	2	999	999	3k_dlc05_age_fixed_historical_huanglong_luo_hero_fire	-1	-1	false	default_character_skill_selection_policy	3k_general_metal
