character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/!!ironic_korea_skilltree				
ironic_korea_skill_sanseong	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_korea_skill_sanseong	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	8.0000
ironic_korea_skill_sanseong	3k_main_effect_unit_stats_morale_own_territory	1	character_to_force_own_when_commanding	2.0000
ironic_korea_skill_sanseong	3k_main_effect_replenishment_characters	1	character_to_force_own_when_commanding	5.0000
ironic_korea_skill_byeonhan_iron	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_korea_skill_byeonhan_iron	3k_main_effect_character_attribute_expertise_mod	1	character_to_character_own	8.0000
ironic_korea_skill_byeonhan_iron	3k_main_effect_character_stat_mod_armour	1	character_to_military_force_retinue_own	10.0000
ironic_korea_skill_byeonhan_iron	3k_main_effect_economy_gdp_mod_industry	1	character_to_region_own_provincewide_when_governor	30.0000
ironic_korea_skill_yemaek_hunt	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_korea_skill_yemaek_hunt	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	8.0000
ironic_korea_skill_yemaek_hunt	3k_main_effect_character_stat_mod_missile_damage	1	character_to_military_force_retinue_own	10.0000
ironic_korea_skill_yemaek_hunt	3k_main_effect_skill_ambush_attack_chance	1	character_to_force_own	25.0000
ironic_korea_skill_yemaek_hunt	3k_main_ancillary_ignore_forest_penalties	1	character_to_military_force_retinue_own	1.0000
ironic_korea_skill_lelang_tribute	3k_main_effect_ai_hint_governor	1	character_to_character_own	10.0000
ironic_korea_skill_lelang_tribute	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	8.0000
ironic_korea_skill_lelang_tribute	3k_main_effect_economy_gdp_mod_commerce_and_commodities	1	character_to_region_own_provincewide_when_governor	40.0000
ironic_korea_skill_lelang_tribute	3k_main_effect_economy_gdp_mod_commerce	1	character_to_region_own_factionwide	10.0000
ironic_korea_skill_sodo_rite	3k_main_effect_ai_hint_governor	1	character_to_character_own	10.0000
ironic_korea_skill_sodo_rite	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	8.0000
ironic_korea_skill_sodo_rite	3k_main_effect_province_public_order_from_characters	1	character_to_province_own	2.0000
ironic_korea_skill_sodo_rite	3k_main_effect_province_corruption	1	character_to_province_own	-10.0000
ironic_korea_skill_twelvefold_law	3k_main_effect_ai_hint_minister	1	character_to_character_own	10.0000
ironic_korea_skill_twelvefold_law	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	8.0000
ironic_korea_skill_twelvefold_law	3k_main_effect_province_public_order_base	1	character_minister_to_province_factionwide	4.0000
ironic_korea_skill_twelvefold_law	3k_main_effect_province_corruption	1	character_minister_to_province_factionwide	-5.0000
ironic_korea_skill_five_bu	3k_main_effect_ai_hint_minister	1	character_to_character_own	10.0000
ironic_korea_skill_five_bu	3k_main_effect_character_attribute_expertise_mod	1	character_to_character_own	8.0000
ironic_korea_skill_five_bu	3k_main_effect_politics_assignment_limit	1	character_minister_to_faction	1.0000
ironic_korea_skill_five_bu	3k_main_effect_unit_rank_new_recruits	1	character_minister_to_character_factionwide	1.0000
ironic_korea_skill_ability_jindaebeop	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_korea_skill_ability_jindaebeop	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_jindaebeop	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_jindaebeop	ironic_korea_effect_ability_jindaebeop	1	character_to_character_own	1.0000
ironic_korea_skill_ability_from_the_furrow	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_korea_skill_ability_from_the_furrow	3k_main_effect_character_attribute_expertise_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_from_the_furrow	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_from_the_furrow	ironic_korea_effect_ability_from_the_furrow	1	character_to_character_own	1.0000
ironic_korea_skill_ability_queens_night	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_korea_skill_ability_queens_night	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_queens_night	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_queens_night	ironic_korea_effect_ability_queens_night	1	character_to_character_own	1.0000
ironic_korea_skill_ability_elder_brothers_claim	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_korea_skill_ability_elder_brothers_claim	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_elder_brothers_claim	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_elder_brothers_claim	ironic_korea_effect_ability_elder_brothers_claim	1	character_to_character_own	1.0000
ironic_korea_skill_ability_walls_of_hwando	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_korea_skill_ability_walls_of_hwando	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_walls_of_hwando	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_walls_of_hwando	ironic_korea_effect_ability_walls_of_hwando	1	character_to_character_own	1.0000
ironic_korea_skill_ability_long_feud	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_korea_skill_ability_long_feud	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_long_feud	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_long_feud	ironic_korea_effect_ability_long_feud	1	character_to_character_own	1.0000
ironic_korea_skill_ability_crown_princes_command	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_korea_skill_ability_crown_princes_command	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_crown_princes_command	3k_main_effect_character_attribute_expertise_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_crown_princes_command	ironic_korea_effect_ability_crown_princes_command	1	character_to_character_own	1.0000
ironic_korea_skill_ability_wind_and_cloud	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_korea_skill_ability_wind_and_cloud	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_wind_and_cloud	3k_main_effect_character_attribute_expertise_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_wind_and_cloud	ironic_korea_effect_ability_wind_and_cloud	1	character_to_character_own	1.0000
ironic_korea_skill_ability_relief_to_allies	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_korea_skill_ability_relief_to_allies	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_relief_to_allies	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_relief_to_allies	ironic_korea_effect_ability_relief_to_allies	1	character_to_character_own	1.0000
ironic_korea_skill_ability_iron_sea	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_korea_skill_ability_iron_sea	3k_main_effect_character_attribute_expertise_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_iron_sea	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_iron_sea	ironic_korea_effect_ability_iron_sea	1	character_to_character_own	1.0000
ironic_korea_skill_ability_bride_from_the_sea	3k_main_effect_ai_hint_minister	1	character_to_character_own	10.0000
ironic_korea_skill_ability_bride_from_the_sea	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	4.0000
ironic_korea_skill_ability_bride_from_the_sea	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	4.0000
