character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/data__				
3k_dlc04_custom_battle_loadout_caltrops_smokescreen	3k_dlc04_deployables_caltrops_enable	1	character_to_force_own	1.0000
3k_dlc04_custom_battle_loadout_caltrops_smokescreen	3k_dlc04_deployables_smokescreen_enable	1	character_to_force_own	1.0000
3k_dlc04_custom_battle_loadout_caltrops_smokescreen	3k_dlc04_deployables_caltrops_enable	2	character_to_force_own	1.0000
3k_dlc04_custom_battle_loadout_caltrops_smokescreen	3k_dlc04_deployables_smokescreen_enable	2	character_to_force_own	1.0000
3k_dlc04_custom_battle_loadout_caltrops_smokescreen	3k_dlc04_deployables_caltrops_enable	3	character_to_force_own	1.0000
3k_dlc04_custom_battle_loadout_caltrops_smokescreen	3k_dlc04_deployables_smokescreen_enable	3	character_to_force_own	1.0000
3k_dlc04_skill_healer_tranquillity	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
3k_dlc04_skill_healer_tranquillity	3k_main_effect_ai_hint_governor	1	character_to_character_own	10.0000
3k_dlc04_skill_healer_tranquillity	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	5.0000
3k_dlc04_skill_healer_tranquillity	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	3.0000
3k_dlc04_skill_healer_tranquillity	3k_main_effect_economy_gdp_mod_peasantry	1	character_to_region_own_factionwide	3.0000
3k_dlc04_skill_healer_tranquillity	3k_ytr_effect_campaign_progression_yellow_turbans	1	character_to_faction_unseen	2.0000
3k_dlc04_skill_special_ability_catch_the_blade	3k_dlc04_ability_sacrificial_strike	1	character_to_character_own	0.0000
3k_dlc04_skill_special_ability_catch_the_blade	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_catch_the_blade	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_fire_fire_bomb	3k_dlc04_ability_fire_bomb	1	character_to_character_own	0.0000
3k_dlc04_skill_special_ability_fire_fire_bomb	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
3k_dlc04_skill_special_ability_fire_fire_bomb	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_fire_fire_bomb	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	8.0000
3k_dlc04_skill_special_ability_lord_of_heaven	3k_dlc04_ability_lord_of_heaven	1	character_to_character_own	0.0000
3k_dlc04_skill_special_ability_lord_of_heaven	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_lord_of_heaven	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_lord_of_the_land	3k_dlc04_ability_lord_of_the_land	1	character_to_character_own	0.0000
3k_dlc04_skill_special_ability_lord_of_the_land	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_lord_of_the_land	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_lord_of_the_people	3k_dlc04_ability_lord_of_the_people	1	character_to_character_own	0.0000
3k_dlc04_skill_special_ability_lord_of_the_people	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_lord_of_the_people	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_metal	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
3k_dlc04_skill_special_ability_metal	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	3.0000
3k_dlc04_skill_special_ability_metal	3k_main_effect_character_attribute_expertise_mod	1	character_to_character_own	5.0000
3k_dlc04_skill_special_ability_metal	3k_ytr_effect_campaign_progression_yellow_turbans	1	character_to_faction_unseen	2.0000
3k_dlc04_skill_special_ability_metal_alt_1	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
3k_dlc04_skill_special_ability_metal_alt_1	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	3.0000
3k_dlc04_skill_special_ability_metal_alt_1	3k_main_effect_character_attribute_expertise_mod	1	character_to_character_own	5.0000
3k_dlc04_skill_special_ability_metal_alt_1	3k_ytr_effect_campaign_progression_yellow_turbans	1	character_to_faction_unseen	2.0000
3k_dlc04_skill_special_ability_turning_the_tides	3k_dlc04_ability_turning_the_tide	1	character_to_character_own	0.0000
3k_dlc04_skill_special_ability_turning_the_tides	3k_main_effect_character_attribute_expertise_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_turning_the_tides	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_water_foresight	3k_dlc04_ability_foresight	1	character_to_character_own	0.0000
3k_dlc04_skill_special_ability_water_foresight	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
3k_dlc04_skill_special_ability_water_foresight	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_water_foresight	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_water_from_the_ashes	3k_dlc04_ability_from_the_ashes	1	character_to_character_own	0.0000
3k_dlc04_skill_special_ability_water_from_the_ashes	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
3k_dlc04_skill_special_ability_water_from_the_ashes	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_water_from_the_ashes	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_water_heavenly_grace	3k_dlc04_ability_heavenly_grace	1	character_to_character_own	1.0000
3k_dlc04_skill_special_ability_water_heavenly_grace	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
3k_dlc04_skill_special_ability_water_heavenly_grace	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_water_heavenly_grace	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_water_hidden_strike	3k_dlc04_ability_hidden_strike	1	character_to_character_own	0.0000
3k_dlc04_skill_special_ability_water_hidden_strike	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
3k_dlc04_skill_special_ability_water_hidden_strike	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_water_hidden_strike	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_way_of_great_peace	3k_dlc04_ability_way_of_great_peace	1	character_to_character_own	0.0000
3k_dlc04_skill_special_ability_way_of_great_peace	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_way_of_great_peace	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_way_of_war	3k_dlc04_ability_way_of_war	1	character_to_character_own	0.0000
3k_dlc04_skill_special_ability_way_of_war	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_way_of_war	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_way_of_wind	3k_dlc04_ability_way_of_the_thunder	1	character_to_character_own	0.0000
3k_dlc04_skill_special_ability_way_of_wind	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_way_of_wind	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_why_the_cold_feet	3k_dlc04_ability_show_of_force	1	character_to_character_own	0.0000
3k_dlc04_skill_special_ability_why_the_cold_feet	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_special_ability_why_the_cold_feet	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	4.0000
3k_dlc04_skill_unit_base_mod_imperial	3k_dlc04_effect_character_stat_mod_battle_movement_speed_imperial	1	character_to_military_force_retinue_own	10.0000
3k_dlc05_skill_mastery_earth_1_humanity_mlvl_3	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	8.0000
3k_dlc05_skill_mastery_earth_1_humanity_mlvl_3	3k_main_effect_progression_limit_army	1	character_minister_to_faction	1.0000
3k_dlc05_skill_mastery_earth_1_humanity_mlvl_3	3k_main_effect_unit_stats_ranged_damage_water_units	1	character_to_force_own	10.0000
3k_dlc05_skill_mastery_earth_3_obfuscation_mlvl_3	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	8.0000
3k_dlc05_skill_mastery_earth_3_obfuscation_mlvl_3	3k_main_effect_undercover_character_cover_points_per_turn_mod	1	character_minister_to_character_factionwide	3.0000
3k_dlc05_skill_mastery_earth_3_obfuscation_mlvl_3	3k_main_skill_night_battles	1	character_to_character_own_forcewide	1.0000
3k_dlc05_skill_mastery_earth_4_mutability_mlvl_3	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	8.0000
3k_dlc05_skill_mastery_earth_4_mutability_mlvl_3	3k_main_effect_province_public_order_base	1	character_to_province_own	5.0000
3k_dlc05_skill_mastery_earth_4_mutability_mlvl_3	3k_main_effect_province_public_order_from_characters	1	force_to_province_enemy	-5.0000
3k_dlc05_skill_mastery_earth_5_restlessness_mlvl_3	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	8.0000
3k_dlc05_skill_mastery_earth_5_restlessness_mlvl_3	3k_main_effect_force_all_campaign_movement_range	1	army_to_army_own	10.0000
3k_dlc05_skill_mastery_earth_5_restlessness_mlvl_3	3k_main_skill_run_speed	1	character_to_military_force_retinue_own	10.0000
3k_dlc05_skill_mastery_fire_4_rapacity_mlvl_3	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	8.0000
3k_dlc05_skill_mastery_fire_4_rapacity_mlvl_3	3k_main_effect_force_all_campaign_loot_income	1	character_to_character_own_when_present	25.0000
