character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/ironicskills				
ironic_skill_special_ability_wood_hail_of_arrows	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_skill_special_ability_wood_hail_of_arrows	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	4.0000
ironic_skill_special_ability_wood_hail_of_arrows	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	8.0000
ironic_skill_special_ability_wood_hail_of_arrows	3k_main_skill_hail_of_arrows	1	character_to_character_own	1.0000
ironic_skill_governor_protector_of_home	3k_main_effect_ai_hint_governor	1	character_to_character_own	10.0000
ironic_skill_governor_protector_of_home	3k_main_effect_character_attribute_expertise_mod	1	character_to_character_own	4.0000
ironic_skill_governor_protector_of_home	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	8.0000
ironic_skill_governor_protector_of_home	3k_main_effect_economy_gdp_mod_peasantry	1	character_to_region_own_provincewide_when_governor	40.0000
ironic_skill_roar_of_the_beast	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_skill_roar_of_the_beast	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
ironic_skill_roar_of_the_beast	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	8.0000
ironic_skill_roar_of_the_beast	ironic_special_skill_roar_of_the_suns	1	character_to_character_own	1.0000
ironic_skill_unity_of_family	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	4.0000
ironic_skill_unity_of_family	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	8.0000
ironic_skill_unity_of_family	ironic_special_ability_unity_of_family	1	character_to_character_own	1.0000
ironic_skill_the_eight_warlords	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	8.0000
ironic_skill_the_eight_warlords	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	8.0000
ironic_skill_the_eight_warlords	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	8.0000
ironic_skill_the_eight_warlords	3k_main_effect_character_attribute_expertise_mod	1	character_to_character_own	8.0000
ironic_skill_the_eight_warlords	ironic_special_ability_the_eight_warlords	1	character_to_character_own	1.0000
ironic_special_ability_gao_lan	ironic_special_ability_gao_lan	1	character_to_character_own	1.0000
ironic_special_ability_zhang_lu	ironic_special_ability_zhang_lu	1	character_to_character_own	1.0000
ironic_special_ability_liu_yu	ironic_special_ability_liu_yu	1	character_to_character_own	1.0000
ironic_special_ability_bao_xin	ironic_special_ability_bao_xin	1	character_to_character_own	1.0000
ironic_special_ability_chen_ying	ironic_special_ability_chen_ying	1	character_to_character_own	1.0000
ironic_special_ability_yuan_royalty	ironic_special_ability_yuan_royalty	1	character_to_character_own	1.0000
ironic_special_ability_gao_gan	ironic_special_ability_gao_gan	1	character_to_character_own	1.0000
ironic_special_ability_gongsun_kang	ironic_special_ability_gongsun_kang	1	character_to_character_own	1.0000
ironic_special_ability_qu_yi	ironic_special_ability_qu_yi	1	character_to_character_own	1.0000
ironic_special_ability_gongsun_du	ironic_special_ability_gongsun_du	1	character_to_character_own	1.0000
ironic_special_ability_gao_lan	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	8.0000
ironic_special_ability_gao_lan	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	8.0000
ironic_special_ability_zhang_lu	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	8.0000
ironic_special_ability_zhang_lu	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	8.0000
ironic_special_ability_liu_yu	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	8.0000
ironic_special_ability_liu_yu	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	8.0000
ironic_special_ability_bao_xin	3k_main_effect_character_attribute_expertise_mod	1	character_to_character_own	8.0000
ironic_special_ability_bao_xin	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	8.0000
ironic_special_ability_chen_ying	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	8.0000
ironic_special_ability_chen_ying	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	8.0000
ironic_special_ability_yuan_royalty	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	8.0000
ironic_special_ability_yuan_royalty	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	8.0000
ironic_special_ability_gao_gan	3k_main_effect_character_attribute_expertise_mod	1	character_to_character_own	8.0000
ironic_special_ability_gao_gan	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	8.0000
ironic_special_ability_gongsun_kang	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	8.0000
ironic_special_ability_gongsun_kang	3k_main_effect_character_attribute_cunning_mod	1	character_to_character_own	8.0000
ironic_special_ability_qu_yi	3k_main_effect_character_attribute_authority_mod	1	character_to_character_own	8.0000
