character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/skill_set_jan				
ironic_bu_lianshi	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_bu_lianshi	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	4.0000
ironic_bu_lianshi	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
ironic_bu_lianshi	ironic_bu_lianshi	1	character_to_character_own	1.0000
ironic_cao_biao	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_cao_biao	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	4.0000
ironic_cao_biao	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
ironic_cao_biao	ironic_cao_biao	1	character_to_character_own	1.0000
ironic_cao_pi	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_cao_pi	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	4.0000
ironic_cao_pi	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
ironic_cao_pi	ironic_cao_pi	1	character_to_character_own	1.0000
ironic_cao_pi_2	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_cao_pi_2	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	4.0000
ironic_cao_pi_2	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
ironic_cao_pi_2	ironic_cao_pi_2	1	character_to_character_own	1.0000
ironic_cao_rui	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_cao_rui	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	4.0000
ironic_cao_rui	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
ironic_cao_rui	ironic_cao_rui	1	character_to_character_own	1.0000
ironic_cao_xiu	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_cao_xiu	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	4.0000
ironic_cao_xiu	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
ironic_cao_xiu	ironic_cao_xiu	1	character_to_character_own	1.0000
ironic_cao_zhi	3k_main_effect_ai_hint_general	1	character_to_character_own	10.0000
ironic_cao_zhi	3k_main_effect_character_attribute_instinct_mod	1	character_to_character_own	4.0000
ironic_cao_zhi	3k_main_effect_character_attribute_resolve_mod	1	character_to_character_own	4.0000
ironic_cao_zhi	ironic_cao_zhi	1	character_to_character_own	1.0000
