child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
#character_skill_node_links_tables;3;db/character_skill_node_links_tables/!!ironic_korea_skilltree							
ironic_skillset_korea_general_earth_t0C	ironic_skillset_korea_general_earth_t1C_historical	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t0C	ironic_skillset_korea_general_earth_t1C_romance	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t2C	ironic_skillset_korea_general_earth_t1C_historical	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t2C	ironic_skillset_korea_general_earth_t1C_romance	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t1B	ironic_skillset_korea_general_earth_t1C_historical	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t1B	ironic_skillset_korea_general_earth_t1C_romance	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t1D	ironic_skillset_korea_general_earth_t1C_historical	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t1D	ironic_skillset_korea_general_earth_t1C_romance	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t0B	ironic_skillset_korea_general_earth_t1B	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t1A	ironic_skillset_korea_general_earth_t1B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t2B	ironic_skillset_korea_general_earth_t1B	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t0A_historical	ironic_skillset_korea_general_earth_t0B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t0A_romance	ironic_skillset_korea_general_earth_t0B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t0A_historical	ironic_skillset_korea_general_earth_t1A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t0A_romance	ironic_skillset_korea_general_earth_t1A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t2A	ironic_skillset_korea_general_earth_t1A	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t2A	ironic_skillset_korea_general_earth_t2B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t0D	ironic_skillset_korea_general_earth_t1D	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t1E	ironic_skillset_korea_general_earth_t1D	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t2D	ironic_skillset_korea_general_earth_t1D	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t0E	ironic_skillset_korea_general_earth_t0D	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t1E	ironic_skillset_korea_general_earth_t0E	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t2E_historical	ironic_skillset_korea_general_earth_t1E	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t2E_romance	ironic_skillset_korea_general_earth_t1E	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t2E_historical	ironic_skillset_korea_general_earth_t2D	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_earth_t2E_romance	ironic_skillset_korea_general_earth_t2D	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t0C	ironic_skillset_korea_general_fire_t1C_historical	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t0C	ironic_skillset_korea_general_fire_t1C_romance	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t2C	ironic_skillset_korea_general_fire_t1C_historical	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t2C	ironic_skillset_korea_general_fire_t1C_romance	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t1B	ironic_skillset_korea_general_fire_t1C_historical	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t1B	ironic_skillset_korea_general_fire_t1C_romance	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t1D	ironic_skillset_korea_general_fire_t1C_historical	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t1D	ironic_skillset_korea_general_fire_t1C_romance	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t0B	ironic_skillset_korea_general_fire_t1B	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t1A	ironic_skillset_korea_general_fire_t1B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t2B	ironic_skillset_korea_general_fire_t1B	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t0A_historical	ironic_skillset_korea_general_fire_t0B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t0A_romance	ironic_skillset_korea_general_fire_t0B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t0A_historical	ironic_skillset_korea_general_fire_t1A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t0A_romance	ironic_skillset_korea_general_fire_t1A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t2A	ironic_skillset_korea_general_fire_t1A	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t2A	ironic_skillset_korea_general_fire_t2B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t0D	ironic_skillset_korea_general_fire_t1D	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t1E	ironic_skillset_korea_general_fire_t1D	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t2D	ironic_skillset_korea_general_fire_t1D	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t0E	ironic_skillset_korea_general_fire_t0D	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t1E	ironic_skillset_korea_general_fire_t0E	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t2E_historical	ironic_skillset_korea_general_fire_t1E	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t2E_romance	ironic_skillset_korea_general_fire_t1E	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
ironic_skillset_korea_general_fire_t2E_historical	ironic_skillset_korea_general_fire_t2D	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
