child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
#character_skill_node_links_tables;3;db/character_skill_node_links_tables/_mtu_characters_skills							
3k_main_skillset_historical_lady_lu_zheng_0B	3k_main_skillset_historical_lady_lu_zheng_0A	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_0C	3k_main_skillset_historical_lady_lu_zheng_0B	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_0D	3k_main_skillset_historical_lady_lu_zheng_0C	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_0E	3k_main_skillset_historical_lady_lu_zheng_0D	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_1A	3k_main_skillset_historical_lady_lu_zheng_2A_historical	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_1A	3k_main_skillset_historical_lady_lu_zheng_2A_romance	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_1B	3k_main_skillset_historical_lady_lu_zheng_1A	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_1C	3k_main_skillset_historical_lady_lu_zheng_1B	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_1D	3k_main_skillset_historical_lady_lu_zheng_1C	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_1E	3k_main_skillset_historical_lady_lu_zheng_1D	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_2A_historical	3k_main_skillset_historical_lady_lu_zheng_0A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_2A_romance	3k_main_skillset_historical_lady_lu_zheng_0A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_2B	3k_main_skillset_historical_lady_lu_zheng_0B	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_2B	3k_main_skillset_historical_lady_lu_zheng_1B	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_2C_historical	3k_main_skillset_historical_lady_lu_zheng_0C	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_2C_historical	3k_main_skillset_historical_lady_lu_zheng_1C	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_2C_romance	3k_main_skillset_historical_lady_lu_zheng_0C	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_2C_romance	3k_main_skillset_historical_lady_lu_zheng_1C	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_2D	3k_main_skillset_historical_lady_lu_zheng_0D	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_2D	3k_main_skillset_historical_lady_lu_zheng_1D	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_2E_historical	3k_main_skillset_historical_lady_lu_zheng_0E	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_2E_historical	3k_main_skillset_historical_lady_lu_zheng_1E	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_2E_romance	3k_main_skillset_historical_lady_lu_zheng_0E	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_lady_lu_zheng_2E_romance	3k_main_skillset_historical_lady_lu_zheng_1E	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_0A	3k_main_skillset_historical_xun_yu_0B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_0B	3k_main_skillset_historical_xun_yu_0C	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_0D	3k_main_skillset_historical_xun_yu_0C	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_0E	3k_main_skillset_historical_xun_yu_0D	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_1A	3k_main_skillset_historical_xun_yu_1B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_1B	3k_main_skillset_historical_xun_yu_1C	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_1C	3k_main_skillset_historical_xun_yu_2C_historical	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_1C	3k_main_skillset_historical_xun_yu_2C_romance	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_1D	3k_main_skillset_historical_xun_yu_1C	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_1E	3k_main_skillset_historical_xun_yu_1D	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_2A_historical	3k_main_skillset_historical_xun_yu_0A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_2A_historical	3k_main_skillset_historical_xun_yu_1A	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_2A_romance	3k_main_skillset_historical_xun_yu_0A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_2A_romance	3k_main_skillset_historical_xun_yu_1A	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_2B	3k_main_skillset_historical_xun_yu_0B	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_2B	3k_main_skillset_historical_xun_yu_1B	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_2C_historical	3k_main_skillset_historical_xun_yu_0C	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_2C_romance	3k_main_skillset_historical_xun_yu_0C	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_2D	3k_main_skillset_historical_xun_yu_0D	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_2D	3k_main_skillset_historical_xun_yu_1D	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_2E_historical	3k_main_skillset_historical_xun_yu_0E	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_2E_historical	3k_main_skillset_historical_xun_yu_1E	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_2E_romance	3k_main_skillset_historical_xun_yu_0E	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_xun_yu_2E_romance	3k_main_skillset_historical_xun_yu_1E	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_dong_min_0A	3k_main_skillset_historical_dong_min_2A_historical	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_dong_min_0A	3k_main_skillset_historical_dong_min_2A_romance	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_dong_min_0B	3k_main_skillset_historical_dong_min_0A	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_dong_min_0C	3k_main_skillset_historical_dong_min_0B	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_dong_min_0D	3k_main_skillset_historical_dong_min_0C	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_dong_min_0E	3k_main_skillset_historical_dong_min_0D	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_historical_dong_min_1B	3k_main_skillset_historical_dong_min_1A	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
