child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
#character_skill_node_links_tables;3;db/character_skill_node_links_tables/chen_wu							
3k_main_skillset_chen_wu_general_metal_2A_historical	3k_main_skillset_chen_wu_general_metal_0A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_2A_romance	3k_main_skillset_chen_wu_general_metal_0A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_0A	3k_main_skillset_chen_wu_general_metal_0B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_2B	3k_main_skillset_chen_wu_general_metal_0B	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_0B	3k_main_skillset_chen_wu_general_metal_0C	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_2C_historical	3k_main_skillset_chen_wu_general_metal_0C	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_2C_romance	3k_main_skillset_chen_wu_general_metal_0C	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_0C	3k_main_skillset_chen_wu_general_metal_0D	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_2D	3k_main_skillset_chen_wu_general_metal_0D	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_0D	3k_main_skillset_chen_wu_general_metal_0E	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_2E_historical	3k_main_skillset_chen_wu_general_metal_0E	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_2E_romance	3k_main_skillset_chen_wu_general_metal_0E	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_2A_historical	3k_main_skillset_chen_wu_general_metal_1A	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_2A_romance	3k_main_skillset_chen_wu_general_metal_1A	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_1A	3k_main_skillset_chen_wu_general_metal_1B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_2B	3k_main_skillset_chen_wu_general_metal_1B	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_1B	3k_main_skillset_chen_wu_general_metal_1C	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_2C_historical	3k_main_skillset_chen_wu_general_metal_1C	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_2C_romance	3k_main_skillset_chen_wu_general_metal_1C	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_1C	3k_main_skillset_chen_wu_general_metal_1D	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_2D	3k_main_skillset_chen_wu_general_metal_1D	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_1D	3k_main_skillset_chen_wu_general_metal_1E	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_1E	3k_main_skillset_chen_wu_general_metal_2E_historical	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_chen_wu_general_metal_1E	3k_main_skillset_chen_wu_general_metal_2E_romance	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_main_skillset_ding_feng_general_wood_2A_historical	3k_main_skillset_ding_feng_general_wood_0A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
