child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
#character_skill_node_links_tables;3;db/character_skill_node_links_tables/data__							
3k_dlc04_skillset_historical_diao_chan_2A_historical	3k_dlc04_skillset_historical_diao_chan_0A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_2A_romance	3k_dlc04_skillset_historical_diao_chan_0A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_0A	3k_dlc04_skillset_historical_diao_chan_0B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_2B	3k_dlc04_skillset_historical_diao_chan_0B	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_0B	3k_dlc04_skillset_historical_diao_chan_0C	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_2C_historical	3k_dlc04_skillset_historical_diao_chan_0C	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_2C_romance	3k_dlc04_skillset_historical_diao_chan_0C	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_0C	3k_dlc04_skillset_historical_diao_chan_0D	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_2D	3k_dlc04_skillset_historical_diao_chan_0D	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_0D	3k_dlc04_skillset_historical_diao_chan_0E	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_2E_historical	3k_dlc04_skillset_historical_diao_chan_0E	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_2E_romance	3k_dlc04_skillset_historical_diao_chan_0E	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_2A_historical	3k_dlc04_skillset_historical_diao_chan_1A	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_2A_romance	3k_dlc04_skillset_historical_diao_chan_1A	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_1A	3k_dlc04_skillset_historical_diao_chan_1B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_2B	3k_dlc04_skillset_historical_diao_chan_1B	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_1B	3k_dlc04_skillset_historical_diao_chan_1C	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_2C_historical	3k_dlc04_skillset_historical_diao_chan_1C	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_2C_romance	3k_dlc04_skillset_historical_diao_chan_1C	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_1C	3k_dlc04_skillset_historical_diao_chan_1D	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_2D	3k_dlc04_skillset_historical_diao_chan_1D	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_1D	3k_dlc04_skillset_historical_diao_chan_1E	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_1E	3k_dlc04_skillset_historical_diao_chan_2E_historical	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_diao_chan_1E	3k_dlc04_skillset_historical_diao_chan_2E_romance	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_2A_historical	3k_dlc04_skillset_historical_empress_he_0A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_2A_romance	3k_dlc04_skillset_historical_empress_he_0A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_0A	3k_dlc04_skillset_historical_empress_he_0B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_2B	3k_dlc04_skillset_historical_empress_he_0B	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_0B	3k_dlc04_skillset_historical_empress_he_0C	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_0D	3k_dlc04_skillset_historical_empress_he_0C	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_0E	3k_dlc04_skillset_historical_empress_he_0D	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_2D	3k_dlc04_skillset_historical_empress_he_0D	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_2E_historical	3k_dlc04_skillset_historical_empress_he_0E	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_2E_romance	3k_dlc04_skillset_historical_empress_he_0E	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_2A_historical	3k_dlc04_skillset_historical_empress_he_1A	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_2A_romance	3k_dlc04_skillset_historical_empress_he_1A	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_1A	3k_dlc04_skillset_historical_empress_he_1B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_2B	3k_dlc04_skillset_historical_empress_he_1B	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_1B	3k_dlc04_skillset_historical_empress_he_1C	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_1D	3k_dlc04_skillset_historical_empress_he_1C	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_2C_historical	3k_dlc04_skillset_historical_empress_he_1C	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_2C_romance	3k_dlc04_skillset_historical_empress_he_1C	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_1E	3k_dlc04_skillset_historical_empress_he_1D	0	2	4	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_2D	3k_dlc04_skillset_historical_empress_he_1D	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_2E_historical	3k_dlc04_skillset_historical_empress_he_1E	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_2E_romance	3k_dlc04_skillset_historical_empress_he_1E	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_0C	3k_dlc04_skillset_historical_empress_he_2C_historical	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_empress_he_0C	3k_dlc04_skillset_historical_empress_he_2C_romance	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_2A_historical	3k_dlc04_skillset_historical_guo_jia_0A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_2A_romance	3k_dlc04_skillset_historical_guo_jia_0A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_0A	3k_dlc04_skillset_historical_guo_jia_0B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_2B	3k_dlc04_skillset_historical_guo_jia_0B	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_0B	3k_dlc04_skillset_historical_guo_jia_0C	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_2C_historical	3k_dlc04_skillset_historical_guo_jia_0C	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_2C_romance	3k_dlc04_skillset_historical_guo_jia_0C	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_0C	3k_dlc04_skillset_historical_guo_jia_0D	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_2D	3k_dlc04_skillset_historical_guo_jia_0D	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_0D	3k_dlc04_skillset_historical_guo_jia_0E	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_2E_historical	3k_dlc04_skillset_historical_guo_jia_0E	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_2E_romance	3k_dlc04_skillset_historical_guo_jia_0E	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_2A_historical	3k_dlc04_skillset_historical_guo_jia_1A	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_2A_romance	3k_dlc04_skillset_historical_guo_jia_1A	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_1A	3k_dlc04_skillset_historical_guo_jia_1B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_2B	3k_dlc04_skillset_historical_guo_jia_1B	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_1B	3k_dlc04_skillset_historical_guo_jia_1C	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_2C_historical	3k_dlc04_skillset_historical_guo_jia_1C	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_2C_romance	3k_dlc04_skillset_historical_guo_jia_1C	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_1C	3k_dlc04_skillset_historical_guo_jia_1D	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_2D	3k_dlc04_skillset_historical_guo_jia_1D	0	3	1	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_1D	3k_dlc04_skillset_historical_guo_jia_1E	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_1E	3k_dlc04_skillset_historical_guo_jia_2E_historical	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_guo_jia_1E	3k_dlc04_skillset_historical_guo_jia_2E_romance	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_he_jin_2A_historical	3k_dlc04_skillset_historical_he_jin_0A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_he_jin_2A_romance	3k_dlc04_skillset_historical_he_jin_0A	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_he_jin_0A	3k_dlc04_skillset_historical_he_jin_0B	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_he_jin_2B	3k_dlc04_skillset_historical_he_jin_0B	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_he_jin_0B	3k_dlc04_skillset_historical_he_jin_0C	0	4	2	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_he_jin_2C_historical	3k_dlc04_skillset_historical_he_jin_0C	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
3k_dlc04_skillset_historical_he_jin_2C_romance	3k_dlc04_skillset_historical_he_jin_0C	0	1	3	0.0000	0.0000	SUBSET_REQUIRED
