key	campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui	game_mode	can_meet_parent_requirment_with_children
#character_skill_nodes_tables;7;db/character_skill_nodes_tables/mtu_movement												
3k_main_skillset_cao_zhang_minister_wood_0A		3k_main_skill_mastery_wood_2_abundance_mlvl_3	3k_main_skillset_cao_zhang_minister_wood		0.1000	2.0000		0	1	true		true
3k_main_skillset_cao_zhang_minister_wood_0B		3k_main_skill_mastery_water_strategist_4_wisdom_mlvl_3	3k_main_skillset_cao_zhang_minister_wood		0.8000	2.0000		0	1	true		true
3k_main_skillset_cao_zhang_minister_wood_0C		3k_main_skill_mastery_wood_4_trust_mlvl_3	3k_main_skillset_cao_zhang_minister_wood		1.5000	2.0000		0	1	true		true
3k_main_skillset_cao_zhang_minister_wood_0D		3k_main_skill_mastery_water_archer_5_reach_mlvl_3	3k_main_skillset_cao_zhang_minister_wood		2.2000	2.0000		0	1	true		true
3k_main_skillset_cao_zhang_minister_wood_0E		3k_main_skill_mastery_water_archer_2_flexibility_mlvl_3	3k_main_skillset_cao_zhang_minister_wood		2.9000	2.0000		0	1	true		true
3k_main_skillset_cao_zhang_minister_wood_1A		3k_main_skill_mastery_wood_3_patience_mlvl_3	3k_main_skillset_cao_zhang_minister_wood		0.1000	0.0000		1	1	true		true
3k_main_skillset_cao_zhang_minister_wood_1B		3k_main_skill_mastery_water_archer_3_guile_mlvl_3	3k_main_skillset_cao_zhang_minister_wood		0.8000	0.0000		0	1	true		true
3k_main_skillset_cao_zhang_minister_wood_1C		3k_main_skill_mastery_wood_5_consideration_mlvl_3	3k_main_skillset_cao_zhang_minister_wood		1.5000	0.0000		0	1	true		true
3k_main_skillset_cao_zhang_minister_wood_1D		3k_main_skill_mastery_fire_3_vengeance_mlvl_3	3k_main_skillset_cao_zhang_minister_wood		2.2000	0.0000		0	1	true		true
3k_main_skillset_cao_zhang_minister_wood_1E		3k_main_skill_mastery_wood_1_endurance_mlvl_3	3k_main_skillset_cao_zhang_minister_wood		2.9000	0.0000		0	1	true		true
3k_main_skillset_cao_zhang_minister_wood_2A_historical		3k_main_skill_bodyguard_wood_wood_alt_1	3k_main_skillset_cao_zhang_minister_wood		0.1000	1.0000		1	1	true	historical	true
3k_main_skillset_cao_zhang_minister_wood_2A_romance		3k_main_skill_special_ability_wood_binding_fury	3k_main_skillset_cao_zhang_minister_wood		0.1000	1.0000		1	1	true	romance	true
3k_main_skillset_cao_zhang_minister_wood_2B		3k_main_skill_mastery_metal_2_intuition_mlvl_3	3k_main_skillset_cao_zhang_minister_wood		0.8000	1.0000		0	1	true		true
3k_main_skillset_cao_zhang_minister_wood_2C_historical		3k_main_skill_bodyguard_wood_wood	3k_main_skillset_cao_zhang_minister_wood		1.5000	1.0000		0	1	true	historical	true
3k_main_skillset_cao_zhang_minister_wood_2C_romance		3k_main_skill_special_ability_wood_indiscriminate_charge	3k_main_skillset_cao_zhang_minister_wood		1.5000	1.0000		0	1	true	romance	true
3k_main_skillset_cao_zhang_minister_wood_2D		3k_main_skill_mastery_earth_2_mobility_mlvl_3	3k_main_skillset_cao_zhang_minister_wood		2.2000	1.0000		0	1	true		true
3k_main_skillset_cao_zhang_minister_wood_2E_historical		3k_main_skill_bodyguard_wood_wood_alt_2	3k_main_skillset_cao_zhang_minister_wood		2.9000	1.0000		0	1	true	historical	true
3k_main_skillset_cao_zhang_minister_wood_2E_romance		3k_main_skill_special_ability_wood_hamstring	3k_main_skillset_cao_zhang_minister_wood		2.9000	1.0000		0	1	true	romance	true
3k_dlc05_skillset_zang_ba_minister_wood_0A		3k_dlc05_skill_mastery_wood_2_gluttony_mlvl_3	3k_dlc05_skillset_zang_ba_bandit_minister_wood		0.1000	2.0000		0	1	true		true
3k_dlc05_skillset_zang_ba_minister_wood_0B		3k_dlc05_skill_mastery_water_strategist_4_villainy_mlvl_3	3k_dlc05_skillset_zang_ba_bandit_minister_wood		0.8000	2.0000		0	1	true		true
3k_dlc05_skillset_zang_ba_minister_wood_0C		3k_dlc05_skill_mastery_wood_4_treachery_mlvl_3	3k_dlc05_skillset_zang_ba_bandit_minister_wood		1.5000	2.0000		0	1	true		true
3k_dlc05_skillset_zang_ba_minister_wood_0D		3k_main_skill_mastery_water_archer_5_reach_mlvl_3	3k_dlc05_skillset_zang_ba_bandit_minister_wood		2.2000	2.0000		0	1	true		true
3k_dlc05_skillset_zang_ba_minister_wood_0E		3k_main_skill_mastery_water_archer_2_flexibility_mlvl_3	3k_dlc05_skillset_zang_ba_bandit_minister_wood		2.9000	2.0000		0	1	true		true
3k_dlc05_skillset_zang_ba_minister_wood_1A		3k_main_skill_mastery_wood_3_patience_mlvl_3	3k_dlc05_skillset_zang_ba_bandit_minister_wood		0.1000	0.0000		1	1	true		true
3k_dlc05_skillset_zang_ba_minister_wood_1B		3k_main_skill_mastery_water_archer_3_guile_mlvl_3	3k_dlc05_skillset_zang_ba_bandit_minister_wood		0.8000	0.0000		0	1	true		true
3k_dlc05_skillset_zang_ba_minister_wood_1C		3k_main_skill_mastery_wood_5_consideration_mlvl_3	3k_dlc05_skillset_zang_ba_bandit_minister_wood		1.5000	0.0000		0	1	true		true
3k_dlc05_skillset_zang_ba_minister_wood_1D		3k_main_skill_mastery_fire_3_vengeance_mlvl_3	3k_dlc05_skillset_zang_ba_bandit_minister_wood		2.2000	0.0000		0	1	true		true
