key	campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui	game_mode	can_meet_parent_requirment_with_children
#character_skill_nodes_tables;7;db/character_skill_nodes_tables/yellow_turban												
3k_dlc04_skillset_historical_zhang_bao_0A		3k_main_skill_mastery_wood_1_endurance_mlvl_3	3k_dlc04_skillset_historical_zhang_bao		0.1000	0.0000		0	1	true		true
3k_dlc04_skillset_historical_zhang_bao_0B		3k_main_skill_mastery_earth_5_meditation_mlvl_3	3k_dlc04_skillset_historical_zhang_bao		0.8000	0.0000		0	1	true		true
3k_dlc04_skillset_historical_zhang_bao_0C		3k_ytr_skill_veteran_fanaticism	3k_dlc04_skillset_historical_zhang_bao		1.5000	0.0000		0	1	true		true
3k_dlc04_skillset_historical_zhang_bao_0D		3k_main_skill_mastery_water_strategist_1_resourcefulness_mlvl_3	3k_dlc04_skillset_historical_zhang_bao		2.2000	0.0000		0	1	true		true
3k_dlc04_skillset_historical_zhang_bao_0E		3k_main_skill_mastery_water_archer_5_reach_mlvl_3	3k_dlc04_skillset_historical_zhang_bao		2.9000	0.0000		0	1	true		true
3k_dlc04_skillset_historical_zhang_bao_1A		3k_ytr_skill_veteran_focus	3k_dlc04_skillset_historical_zhang_bao		0.1000	1.0000		0	1	true		true
3k_dlc04_skillset_historical_zhang_bao_1B		3k_dlc04_skill_healer_tranquillity	3k_dlc04_skillset_historical_zhang_bao		0.8000	1.0000		0	1	true		true
3k_dlc04_skillset_historical_zhang_bao_1C		3k_ytr_skill_veteran_opportunism	3k_dlc04_skillset_historical_zhang_bao		1.5000	1.0000		1	1	true		true
3k_dlc04_skillset_historical_zhang_bao_1D		3k_ytr_skill_scholar_inspiration	3k_dlc04_skillset_historical_zhang_bao		2.2000	1.0000		0	1	true		true
3k_dlc04_skillset_historical_zhang_bao_1E		3k_ytr_skill_veteran_subtley	3k_dlc04_skillset_historical_zhang_bao		2.9000	1.0000		0	1	true		true
3k_dlc04_skillset_historical_zhang_bao_2A_historical		3k_ytr_skill_bodyguard_wood	3k_dlc04_skillset_historical_zhang_bao		0.1000	2.0000		0	1	true	historical	true
3k_dlc04_skillset_historical_zhang_bao_2A_romance		3k_dlc04_skill_special_ability_way_of_wind	3k_dlc04_skillset_historical_zhang_bao		0.1000	2.0000		0	1	true	romance	true
3k_dlc04_skillset_historical_zhang_bao_2B		3k_ytr_skill_healer_defiance	3k_dlc04_skillset_historical_zhang_bao		0.8000	2.0000		0	1	true		true
3k_dlc04_skillset_historical_zhang_bao_2C_historical		3k_ytr_skill_bodyguard_wood_alt_1	3k_dlc04_skillset_historical_zhang_bao		1.5000	2.0000		1	1	true	historical	true
3k_dlc04_skillset_historical_zhang_bao_2C_romance		3k_dlc04_skill_special_ability_lord_of_the_land	3k_dlc04_skillset_historical_zhang_bao		1.5000	2.0000		1	1	true	romance	true
3k_dlc04_skillset_historical_zhang_bao_2D		3k_ytr_skill_scholar_insight	3k_dlc04_skillset_historical_zhang_bao		2.2000	2.0000		0	1	true		true
3k_dlc04_skillset_historical_zhang_bao_2E_historical		3k_ytr_skill_bodyguard_wood_alt_2	3k_dlc04_skillset_historical_zhang_bao		2.9000	2.0000		0	1	true	historical	true
3k_dlc04_skillset_historical_zhang_bao_2E_romance		3k_main_skill_special_ability_earth_natures_ally	3k_dlc04_skillset_historical_zhang_bao		2.9000	2.0000		0	1	true	romance	true
3k_dlc04_skillset_historical_zhang_jue_0A		3k_main_skill_mastery_earth_5_meditation_mlvl_3	3k_dlc04_skillset_historical_zhang_jue		0.1000	0.0000		0	1	true		true
3k_dlc04_skillset_historical_zhang_jue_0B		3k_main_skill_mastery_wood_1_endurance_mlvl_3	3k_dlc04_skillset_historical_zhang_jue		0.8000	0.0000		0	1	true		true
3k_dlc04_skillset_historical_zhang_jue_0C		3k_ytr_skill_scholar_integrity	3k_dlc04_skillset_historical_zhang_jue		1.5000	0.0000		0	1	true		true
