key	image_path	localised_description	localised_name	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting
#character_skills_tables;4;db/character_skills_tables/skill_set_jan								
ironic_bu_lianshi	3k_main_skill_aspect_water_cunning			0	false	false	false	0.0000
ironic_cao_biao	3k_main_skill_aspect_earth_authority			0	false	false	false	0.0000
ironic_cao_pi	3k_main_skill_aspect_earth_authority			0	false	false	false	0.0000
ironic_cao_pi_2	3k_main_skill_aspect_earth_authority			0	false	false	false	0.0000
ironic_cao_rui	3k_main_skill_aspect_earth_authority			0	false	false	false	0.0000
ironic_cao_xiu	3k_main_skill_aspect_fire_instinct			0	false	false	false	0.0000
ironic_cao_zhi	3k_main_skill_aspect_water_cunning			0	false	false	false	0.0000
ironic_cao_zhi_2	3k_main_skill_aspect_water_cunning			0	false	false	false	0.0000
ironic_deng_ai	3k_main_skill_aspect_metal_expertise			0	false	false	false	0.0000
ironic_gongsun_yuan	3k_main_skill_aspect_fire_instinct			0	false	false	false	0.0000
ironic_guan_suo	3k_main_skill_aspect_wood_perseverance			0	false	false	false	0.0000
ironic_guo_huai	3k_main_skill_aspect_earth_authority			0	false	false	false	0.0000
ironic_huang_yueying	3k_main_skill_aspect_metal_expertise			0	false	false	false	0.0000
ironic_jia_chong	3k_main_skill_aspect_water_cunning			0	false	false	false	0.0000
ironic_liu_shan_active	3k_main_skill_aspect_earth_authority			0	false	false	false	0.0000
ironic_liu_shan_passive	3k_main_skill_aspect_earth_authority			0	false	false	false	0.0000
ironic_lu_ji	3k_main_skill_aspect_water_cunning			0	false	false	false	0.0000
ironic_lu_xun	3k_main_skill_aspect_water_cunning			0	false	false	false	0.0000
ironic_ma_dai	3k_main_skill_aspect_fire_instinct			0	false	false	false	0.0000
ironic_ma_liang	3k_main_skill_aspect_water_cunning			0	false	false	false	0.0000
ironic_ma_su	3k_main_skill_aspect_water_cunning			0	false	false	false	0.0000
ironic_ma_zhong	3k_main_skill_aspect_wood_perseverance			0	false	false	false	0.0000
ironic_man_chong	3k_main_skill_aspect_fire_instinct			0	false	false	false	0.0000
ironic_qian_zhao	3k_main_skill_aspect_fire_instinct			0	false	false	false	0.0000
ironic_sima_shi	3k_main_skill_aspect_earth_authority			0	false	false	false	0.0000
ironic_sima_shi_2	3k_main_skill_aspect_earth_authority			0	false	false	false	0.0000
ironic_sima_zhao	3k_main_skill_aspect_earth_authority			0	false	false	false	0.0000
ironic_wang_ping	3k_main_skill_aspect_fire_instinct			0	false	false	false	0.0000
ironic_wang_yuanji	3k_main_skill_aspect_earth_authority			0	false	false	false	0.0000
ironic_wu_jing	3k_main_skill_aspect_fire_instinct			0	false	false	false	0.0000
ironic_xiahou_ba	3k_main_skill_aspect_fire_instinct			0	false	false	false	0.0000
ironic_xin_xianying	3k_main_skill_aspect_water_cunning			0	false	false	false	0.0000
ironic_xin_xianying_2	3k_main_skill_aspect_water_cunning			0	false	false	false	0.0000
ironic_xu_shao	3k_main_skill_aspect_water_cunning			0	false	false	false	0.0000
ironic_xu_shu	3k_main_skill_aspect_water_cunning			0	false	false	false	0.0000
ironic_zhang_chunhua	3k_main_skill_aspect_water_cunning			0	false	false	false	0.0000
ironic_zhang_ni	3k_main_skill_aspect_wood_perseverance			0	false	false	false	0.0000
ironic_zhang_yi	3k_main_skill_aspect_wood_perseverance			0	false	false	false	0.0000
ironic_zhong_hui	3k_main_skill_aspect_earth_authority			0	false	false	false	0.0000
ironic_zhong_yao	3k_main_skill_aspect_water_cunning			0	false	false	false	0.0000
ironic_zhou_cang	3k_main_skill_aspect_wood_perseverance			0	false	false	false	0.0000
ironic_zhu_huan	3k_main_skill_aspect_earth_authority			0	false	false	false	0.0000
ironic_zhu_ran	3k_main_skill_aspect_fire_instinct			0	false	false	false	0.0000
ironic_zhuge_dan	3k_main_skill_aspect_fire_instinct			0	false	false	false	0.0000
ironic_zhuge_jin	3k_main_skill_aspect_water_cunning			0	false	false	false	0.0000
ironic_zhuge_ke	3k_main_skill_aspect_earth_authority			0	false	false	false	0.0000
