key	localised_description	localised_title	ui_icon	bundle_target	icon_supplement_colour_type	show_in_generic_bundle_display
#effect_bundles_tables;3;db/effect_bundles_tables/ironic_horde						
ironic_horde_city_wuhuan_1			army.png	force	positive	true
ironic_horde_city_wuhuan_2			army.png	force	positive	true
ironic_horde_city_wuhuan_3			army.png	force	positive	true
ironic_horde_city_wuhuan_4			army.png	force	positive	true
ironic_horde_city_wuhuan_5			army.png	force	positive	true
ironic_horde_city_wuhuan_6			army.png	force	positive	true
ironic_horde_city_wuhuan_7			army.png	force	positive	true
ironic_horde_city_1			army.png	force	positive	true
ironic_horde_city_2			army.png	force	positive	true
ironic_horde_city_3			army.png	force	positive	true
ironic_horde_city_4			army.png	force	positive	true
ironic_horde_city_5			army.png	force	positive	true
ironic_horde_city_6			army.png	force	positive	true
ironic_horde_city_7			army.png	force	positive	true
ironic_horde_forge_fac			armour_upgrade.png	faction	positive	true
ironic_horde_pasture_fac			replenishment.png	faction	positive	true
ironic_horde_shrine_fac			army.png	faction	positive	true
ironic_horde_stockade_fac			replenishment.png	faction	positive	true
ironic_horde_market_fac			money.png	faction	positive	true
ironic_horde_hunt_fac			replenishment.png	faction	positive	true
ironic_horde_artisans_fac			armour_upgrade.png	faction	positive	true
ironic_horde_tribute_fac			money.png	faction	positive	true
ironic_horde_wuhuan_herds_fac			replenishment.png	faction	positive	true
ironic_horde_xiongnu_yoke_fac			sacking_income.png	faction	positive	true
ironic_horde_kuitou_muster_fac			replenishment.png	faction	positive	true
ironic_horde_tuoba_forges_fac			armour_upgrade.png	faction	positive	true
ironic_horde_di_granaries_fac			icon_income_plus.png	faction	positive	true
ironic_horde_pop_1			army.png	force	negative	true
ironic_horde_pop_2			army.png	force	negative	true
ironic_horde_pop_3			army.png	force	neutral	true
ironic_horde_pop_4			army.png	force	positive	true
ironic_horde_pop_5			army.png	force	positive	true
ironic_horde_drained			money.png	region	negative	true
ironic_horde_resettled			replenishment.png	region	positive	true
ironic_horde_forge_1			armour_upgrade.png	force	positive	true
ironic_horde_forge_2			armour_upgrade.png	force	positive	true
ironic_horde_forge_3			armour_upgrade.png	force	positive	true
ironic_horde_forge_4			armour_upgrade.png	force	positive	true
ironic_horde_forge_5			armour_upgrade.png	force	positive	true
ironic_horde_stockade_1			armour_upgrade.png	force	positive	true
ironic_horde_stockade_2			armour_upgrade.png	force	positive	true
ironic_horde_stockade_3			armour_upgrade.png	force	positive	true
ironic_horde_stockade_4			armour_upgrade.png	force	positive	true
ironic_horde_stockade_5			armour_upgrade.png	force	positive	true
ironic_horde_tribute_1			armour_upgrade.png	force	positive	true
ironic_horde_tribute_2			armour_upgrade.png	force	positive	true
ironic_horde_tribute_3			armour_upgrade.png	force	positive	true
