key	localised_description	localised_title	ui_icon	bundle_target	icon_supplement_colour_type	show_in_generic_bundle_display
#effect_bundles_tables;3;db/effect_bundles_tables/jialongresource						
ironic_gentry_support_resource_level_0			diplomacy_attitude_effect.png	faction	negative	false
ironic_gentry_support_resource_level_1			diplomacy_attitude_effect.png	faction	negative	false
ironic_gentry_support_resource_level_2			diplomacy_attitude_effect.png	faction	neutral	false
ironic_gentry_support_resource_level_3			diplomacy_attitude_effect.png	faction	positive	false
ironic_gentry_support_resource_level_4			diplomacy_attitude_effect.png	faction	positive	false
ironic_gentry_support_captives_execute			no_effect.png	force	neutral	false
ironic_gentry_support_captives_recruit			no_effect.png	force	neutral	false
ironic_gentry_support_captives_release			no_effect.png	force	neutral	false
ironic_gentry_support_garrisoned			diplomacy_attitude_effect.png	force	neutral	false
ironic_gentry_support_vassalized			diplomacy_attitude_effect.png	force	neutral	false
ironic_gentry_support_effect_bundle			diplomacy_attitude_effect.png	faction	neutral	false
