key	localised_description	localised_title	ui_icon	bundle_target	icon_supplement_colour_type	show_in_generic_bundle_display
#effect_bundles_tables;3;db/effect_bundles_tables/kongzhouresource						
ironic_harmony_resource_level_0			dlc04_yt_people.png	faction	negative	false
ironic_harmony_resource_level_1			dlc04_yt_people.png	faction	negative	false
ironic_harmony_resource_level_2			dlc04_yt_people.png	faction	neutral	false
ironic_harmony_resource_level_3			dlc04_yt_people.png	faction	positive	false
ironic_harmony_resource_level_4			dlc04_yt_people.png	faction	positive	false
ironic_harmony_captives_execute			no_effect.png	force	neutral	false
ironic_harmony_captives_recruit			no_effect.png	force	neutral	false
ironic_harmony_captives_release			no_effect.png	force	neutral	false
ironic_harmony_garrisoned			dlc04_yt_people.png	force	neutral	false
ironic_harmony_vassalized			dlc04_yt_people.png	force	neutral	false
ironic_harmony_effect_bundle			dlc04_yt_people.png	faction	neutral	false
3k_main_pooled_resource_harmony_bundle_character_1			dlc04_yt_people.png	character	neutral	true
3k_main_pooled_resource_harmony_bundle_character_2			dlc04_yt_people.png	character	neutral	true
3k_main_pooled_resource_harmony_bundle_character_3			dlc04_yt_people.png	character	neutral	true
3k_main_pooled_resource_harmony_bundle_character_4			dlc04_yt_people.png	character	neutral	true
