key	localised_description	localised_title	ui_icon	bundle_target	icon_supplement_colour_type	show_in_generic_bundle_display
#effect_bundles_tables;3;db/effect_bundles_tables/qu_panresource						
ironic_madness_resource_level_0			icon_mad_bad.png	faction	negative	false
ironic_madness_resource_level_1			icon_mad_bad.png	faction	negative	false
ironic_madness_resource_level_2			icon_mad_bad.png	faction	neutral	false
ironic_madness_resource_level_3			icon_mad_bad.png	faction	positive	false
ironic_madness_resource_level_4			icon_mad_bad.png	faction	positive	false
ironic_madness_captives_execute			no_effect.png	force	neutral	false
ironic_madness_captives_recruit			no_effect.png	force	neutral	false
ironic_madness_captives_release			no_effect.png	force	neutral	false
ironic_madness_effect_bundle			icon_mad_bad.png	faction	neutral	false
ironic_madness_parrot_economy			icon_mad_good.png	faction	positive	true
ironic_madness_satisfaction_bonus			icon_mad_good.png	faction	positive	true
ironic_madness_extreme_spears			icon_mad_good.png	faction	positive	true
ironic_madness_extreme_charge_cavalry			icon_mad_good.png	faction	positive	true
ironic_madness_extreme_melee_cavalry			icon_mad_good.png	faction	positive	true
ironic_madness_extreme_bows			icon_mad_good.png	faction	positive	true
ironic_madness_extreme_charge_infantry			icon_mad_good.png	faction	positive	true
ironic_madness_extreme_frontline			icon_mad_good.png	faction	positive	true
ironic_madness_extreme_animals			icon_mad_good.png	faction	positive	true
ironic_madness_fox_cheese_wheel			icon_mad_bad.png	faction	negative	true
ironic_madness_lu_meets_pig			icon_mad_good.png	faction	positive	true
ironic_madness_dementia			icon_mad_bad.png	faction	negative	true
ironic_madness_something_bad			icon_mad_bad.png	faction	neutral	true
ironic_madness_all_horses_belong			icon_mad_bad.png	faction	negative	true
ironic_madness_the_father			icon_mad_good.png	faction	neutral	true
ironic_madness_rat_infestion			icon_mad_bad.png	faction	negative	true
ironic_madness_talking_trees			icon_mad_good.png	faction	neutral	true
ironic_madness_cross_lu			icon_mad_bad.png	faction	negative	true
ironic_madness_cross_death_lu			icon_mad_bad.png	faction	negative	true
ironic_madness_airplane_travel			icon_mad_bad.png	faction	negative	true
ironic_madness_total_war			icon_mad_bad.png	faction	negative	true
ironic_madness_trade_offs			icon_mad_bad.png	faction	negative	true
ironic_madness_destroyer_of_worlds			icon_mad_bad.png	faction	negative	true
ironic_madness_confedrate_faction			icon_mad_good.png	faction	positive	true
ironic_madness_vassal_faction			icon_mad_good.png	faction	positive	true
ironic_madness_good_to_bad_traits			icon_mad_bad.png	faction	positive	true
ironic_madness_bad_to_good_traits			icon_mad_good.png	faction	positive	true
ironic_madness_madness_enchance			icon_mad_bad.png	faction	positive	true
ironic_madness_ihnmains			icon_mad_bad.png	faction	negative	true
ironic_madness_all_according_to_keikaku			icon_mad_good.png	faction	positive	true
ironic_madness_berserk_armor			icon_mad_good.png	faction	positive	true
ironic_madness_bob_ross_clouds			icon_mad_good.png	faction	positive	true
ironic_madness_case_of_the_mondays			icon_mad_bad.png	faction	negative	true
ironic_madness_dead_parrot_sketch			icon_mad_bad.png	faction	negative	true
ironic_madness_event_horizon			icon_mad_bad.png	faction	negative	true
ironic_madness_floor_is_lava			icon_mad_bad.png	faction	negative	true
ironic_madness_game_over_man			icon_mad_bad.png	faction	negative	true
ironic_madness_get_in_the_robot			icon_mad_bad.png	faction	negative	true
ironic_madness_ghibli_harvest			icon_mad_good.png	faction	positive	true
ironic_madness_git_gud			icon_mad_good.png	faction	positive	true
ironic_madness_golden_wind			icon_mad_good.png	faction	positive	true
ironic_madness_groundhog_turn			icon_mad_good.png	faction	positive	true
ironic_madness_is_this_a_pigeon			icon_mad_good.png	faction	positive	true
ironic_madness_join_the_dark_side			icon_mad_good.png	faction	positive	true
ironic_madness_kikis_delivery			icon_mad_good.png	faction	positive	true
ironic_madness_ludicrous_speed			icon_mad_good.png	faction	positive	true
ironic_madness_naruto_run			icon_mad_bad.png	faction	negative	true
ironic_madness_night_parrot_rises			icon_mad_good.png	faction	positive	true
ironic_madness_no_face_court			icon_mad_bad.png	faction	negative	true
ironic_madness_order_66			icon_mad_bad.png	faction	negative	true
ironic_madness_plus_ultra			icon_mad_good.png	faction	positive	true
ironic_madness_red_pill_blue_seed			icon_mad_good.png	faction	positive	true
ironic_madness_red_wedding			icon_mad_bad.png	faction	negative	true
ironic_madness_redrum			icon_mad_bad.png	faction	negative	true
ironic_madness_schrodingers_perch			icon_mad_good.png	faction	positive	true
ironic_madness_tetsuo_kaneda			icon_mad_bad.png	faction	negative	true
ironic_madness_the_birds			icon_mad_bad.png	faction	negative	true
ironic_madness_the_lu_abides			icon_mad_good.png	faction	positive	true
ironic_madness_they_live_glasses			icon_mad_bad.png	faction	negative	true
ironic_madness_this_is_fine			icon_mad_bad.png	faction	negative	true
ironic_madness_this_is_jiuzhen			icon_mad_good.png	faction	positive	true
ironic_madness_training_montage			icon_mad_good.png	faction	positive	true
ironic_madness_ultra_instinct			icon_mad_good.png	faction	positive	true
ironic_madness_unlimited_cracker_works			icon_mad_good.png	faction	positive	true
ironic_madness_walls_have_titans			icon_mad_bad.png	faction	negative	true
ironic_madness_wax_on_wax_off			icon_mad_good.png	faction	positive	true
ironic_madness_winter_came			icon_mad_bad.png	faction	negative	true
