key	localised_description	localised_title	ui_icon	bundle_target	icon_supplement_colour_type	show_in_generic_bundle_display
#effect_bundles_tables;3;db/effect_bundles_tables/zhang_jinresource						
ironic_qi_resource_level_0			3k_dlc04_assignment_tao_qian_promote_peace.png	faction	negative	false
ironic_qi_resource_level_1			3k_dlc04_assignment_tao_qian_promote_peace.png	faction	negative	false
ironic_qi_resource_level_2			3k_dlc04_assignment_tao_qian_promote_peace.png	faction	neutral	false
ironic_qi_resource_level_3			3k_dlc04_assignment_tao_qian_promote_peace.png	faction	positive	false
ironic_qi_resource_level_4			3k_dlc04_assignment_tao_qian_promote_peace.png	faction	positive	false
ironic_qi_captives_execute			no_effect.png	force	neutral	false
ironic_qi_captives_recruit			no_effect.png	force	neutral	false
ironic_qi_captives_release			no_effect.png	force	neutral	false
ironic_frontend_leader_qi_special			3k_dlc04_assignment_tao_qian_promote_peace.png	faction		true
