effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/barbarianpeaceresource				
ironic_rage_captives_execute	ironic_barbarian_rage_executed	force_to_faction_own_factionwide	5.0000	start_turn_completed
ironic_rage_resource_level_0	ironic_barbarian_rage_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_rage_resource_level_1	ironic_barbarian_rage_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_rage_resource_level_2	ironic_barbarian_rage_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_rage_resource_level_3	ironic_barbarian_rage_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_rage_resource_level_4	ironic_barbarian_rage_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_rage_resource_level_5	ironic_barbarian_rage_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_rage_resource_level_6	ironic_barbarian_rage_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_rage_resource_level_0	ironic_barbarian_rage_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_rage_resource_level_1	ironic_barbarian_rage_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_rage_resource_level_2	ironic_barbarian_rage_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_rage_resource_level_3	ironic_barbarian_rage_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_rage_resource_level_4	ironic_barbarian_rage_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_rage_resource_level_5	ironic_barbarian_rage_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_rage_resource_level_6	ironic_barbarian_rage_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_rage_resource_level_2	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_faction_own_unseen	5.0000	start_turn_completed
ironic_rage_resource_level_3	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_faction_own_unseen	10.0000	start_turn_completed
ironic_rage_resource_level_4	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_faction_own_unseen	30.0000	start_turn_completed
ironic_rage_resource_level_5	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_faction_own_unseen	60.0000	start_turn_completed
ironic_rage_resource_level_6	3k_main_effect_force_all_campaign_post_battle_loot_income	faction_to_faction_own_unseen	100.0000	start_turn_completed
ironic_rage_resource_level_6	3k_dlc05_effect_causes_fear_when_attacking	faction_to_army_own_unseen	1.0000	start_turn_completed
ironic_rage_resource_level_2	3k_main_effect_force_army_all_damage_and_all_ap_damage_when_attacking	faction_to_army_own_unseen	5.0000	start_turn_completed
ironic_rage_resource_level_3	3k_main_effect_force_army_all_damage_and_all_ap_damage_when_attacking	faction_to_army_own_unseen	10.0000	start_turn_completed
ironic_rage_resource_level_4	3k_main_effect_force_army_all_damage_and_all_ap_damage_when_attacking	faction_to_army_own_unseen	15.0000	start_turn_completed
ironic_rage_resource_level_5	3k_main_effect_force_army_all_damage_and_all_ap_damage_when_attacking	faction_to_army_own_unseen	20.0000	start_turn_completed
ironic_rage_resource_level_6	3k_main_effect_force_army_all_damage_and_all_ap_damage_when_attacking	faction_to_army_own_unseen	25.0000	start_turn_completed
ironic_rage_resource_level_3	3k_main_faction_diplomacy_mod	faction_to_faction_own	-5.0000	start_turn_completed
ironic_rage_resource_level_4	3k_main_faction_diplomacy_mod	faction_to_faction_own	-20.0000	start_turn_completed
ironic_rage_resource_level_5	3k_main_faction_diplomacy_mod	faction_to_faction_own	-35.0000	start_turn_completed
ironic_rage_resource_level_6	3k_main_faction_diplomacy_mod	faction_to_faction_own	-50.0000	start_turn_completed
ironic_rage_resource_level_0	3k_main_effect_character_job_satisfaction_penalty_modifier_increased	faction_to_character_own_factionwide	50.0000	start_turn_completed
ironic_rage_resource_level_1	3k_main_effect_character_job_satisfaction_penalty_modifier_increased	faction_to_character_own_factionwide	35.0000	start_turn_completed
ironic_rage_resource_level_2	3k_main_effect_character_job_satisfaction_penalty_modifier_increased	faction_to_character_own_factionwide	20.0000	start_turn_completed
ironic_rage_resource_level_0	3k_main_effect_character_salary	faction_to_character_own_factionwide	50.0000	start_turn_completed
ironic_rage_resource_level_1	3k_main_effect_character_salary	faction_to_character_own_factionwide	35.0000	start_turn_completed
ironic_rage_resource_level_2	3k_main_effect_character_salary	faction_to_character_own_factionwide	20.0000	start_turn_completed
ironic_rage_debuff_level_0	ironic_barbarian_decay	faction_to_faction_own_unseen	-1.0000	start_turn_completed
ironic_rage_debuff_level_1	ironic_barbarian_decay	faction_to_faction_own_unseen	-2.0000	start_turn_completed
ironic_rage_debuff_level_2	ironic_barbarian_decay	faction_to_faction_own_unseen	-3.0000	start_turn_completed
ironic_rage_debuff_level_3	ironic_barbarian_decay	faction_to_faction_own_unseen	-4.0000	start_turn_completed
ironic_rage_debuff_level_4	ironic_barbarian_decay	faction_to_faction_own_unseen	-5.0000	start_turn_completed
ironic_rage_debuff_level_5	ironic_barbarian_decay	faction_to_faction_own_unseen	-6.0000	start_turn_completed
ironic_rage_debuff_level_6	ironic_barbarian_decay	faction_to_faction_own_unseen	-7.0000	start_turn_completed
ironic_rage_raze_major	ironic_barbarian_rage_executed	faction_to_faction_own_unseen	6.0000	start_turn_completed
ironic_rage_raze_minor	ironic_barbarian_rage_executed	faction_to_faction_own_unseen	5.0000	start_turn_completed
ironic_rage_non_war	ironic_barbarian_rage_war	faction_to_faction_own_unseen	-10.0000	start_turn_completed
ironic_rage_resource_level_0	ironic_enable_northern_courage_icon	faction_to_force_own_factionwide	1.0000	start_turn_completed
ironic_rage_resource_level_1	ironic_enable_northern_courage_icon	faction_to_force_own_factionwide	1.0000	start_turn_completed
ironic_rage_resource_level_2	ironic_enable_northern_courage_icon	faction_to_force_own_factionwide	1.0000	start_turn_completed
ironic_rage_resource_level_3	ironic_enable_northern_courage_icon	faction_to_force_own_factionwide	1.0000	start_turn_completed
ironic_rage_resource_level_4	ironic_enable_northern_courage_icon	faction_to_force_own_factionwide	1.0000	start_turn_completed
ironic_rage_resource_level_5	ironic_disable_northern_courage	faction_to_force_own_factionwide	1.0000	start_turn_completed
ironic_rage_resource_level_6	ironic_disable_northern_courage	faction_to_force_own_factionwide	1.0000	start_turn_completed
