effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/caoren				
ironic_cao_ren_effect_bundle_level_1	ironic_cao_ren_decay	faction_to_faction_own	-5.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_2	ironic_cao_ren_decay	faction_to_faction_own	-10.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_3	ironic_cao_ren_decay	faction_to_faction_own	-20.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_4	ironic_cao_ren_decay	faction_to_faction_own	-30.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_5	ironic_cao_ren_decay	faction_to_faction_own	-50.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_6	ironic_cao_ren_decay	faction_to_faction_own	-70.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_0	3k_main_effect_province_mustering_speed	faction_to_force_own_unseen	3.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_1	3k_main_effect_province_mustering_speed	faction_to_force_own_unseen	2.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_2	3k_main_effect_province_mustering_speed	faction_to_force_own_unseen	1.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_4	3k_main_effect_province_mustering_speed	faction_to_force_own_unseen	-1.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_5	3k_main_effect_province_mustering_speed	faction_to_force_own_unseen	-2.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_6	3k_main_effect_province_mustering_speed	faction_to_force_own_unseen	-3.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_0	3k_main_effect_unit_stats_morale_own_forces_when_defending	faction_to_force_own_unseen	-6.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_1	3k_main_effect_unit_stats_morale_own_forces_when_defending	faction_to_force_own_unseen	-4.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_2	3k_main_effect_unit_stats_morale_own_forces_when_defending	faction_to_force_own_unseen	-2.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_4	3k_main_effect_unit_stats_morale_own_forces_when_defending	faction_to_force_own_unseen	2.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_5	3k_main_effect_unit_stats_morale_own_forces_when_defending	faction_to_force_own_unseen	4.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_6	3k_main_effect_unit_stats_morale_own_forces_when_defending	faction_to_force_own_unseen	6.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_0	3k_main_effect_force_military_supplies_from_faction	faction_to_force_own_unseen	-15.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_1	3k_main_effect_force_military_supplies_from_faction	faction_to_force_own_unseen	-10.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_2	3k_main_effect_force_military_supplies_from_faction	faction_to_force_own_unseen	-5.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_4	3k_main_effect_force_military_supplies_from_faction	faction_to_force_own_unseen	5.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_5	3k_main_effect_force_military_supplies_from_faction	faction_to_force_own_unseen	10.0000	start_turn_completed
ironic_cao_ren_effect_bundle_level_6	3k_main_effect_force_military_supplies_from_faction	faction_to_force_own_unseen	15.0000	start_turn_completed
ironic_faction_purchase_preparation_formation_infantry	3k_main_ancillary_hollow_square_formation	faction_to_force_own_unseen	1.0000	start_turn_completed
ironic_faction_purchase_preparation_formation_infantry	3k_main_ancillary_pike_wall_formation	faction_to_force_own_unseen	1.0000	start_turn_completed
ironic_faction_purchase_preparation_formation_infantry	3k_main_ancillary_shield_wall_formation	faction_to_force_own_unseen	1.0000	start_turn_completed
ironic_faction_purchase_preparation_formation_infantry	3k_main_ancillary_spear_wall_formation	faction_to_force_own_unseen	1.0000	start_turn_completed
ironic_faction_purchase_preparation_formation_infantry	3k_main_ancillary_testudo_formation	faction_to_force_own_unseen	1.0000	start_turn_completed
ironic_faction_purchase_preparation_formation_horse	3k_main_skill_wedge_formation	faction_to_force_own_unseen	1.0000	start_turn_completed
ironic_faction_purchase_preparation_formation_horse	3k_main_ancillary_diamond_formation	faction_to_force_own_unseen	1.0000	start_turn_completed
ironic_faction_purchase_preparation_replenishment	3k_main_effect_replenishment_base	faction_to_force_own_unseen	5.0000	start_turn_completed
ironic_faction_purchase_preparation_movement	3k_main_effect_force_all_campaign_movement_range	faction_to_force_own_unseen	25.0000	start_turn_completed
ironic_faction_purchase_preparation_arrow_production	3k_main_effect_unit_stats_ammo_mod_water_units	faction_to_force_own_unseen	25.0000	start_turn_completed
