effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/chenwenresource				
ironic_coalition_of_the_plains_resource_level_0	ironic_coalition_of_the_plains_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_coalition_of_the_plains_resource_level_0	ironic_coalition_of_the_plains_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_coalition_of_the_plains_resource_level_0	ironic_coalition_of_the_plains_unique_effects	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_coalition_of_the_plains_resource_level_0	ironic_coalition_of_the_plains_unit_fire	faction_to_faction_own_unseen	2.0000	start_turn_completed
ironic_coalition_of_the_plains_resource_level_0	ironic_coalition_of_the_plains_unit_wood	faction_to_faction_own_unseen	4.0000	start_turn_completed
ironic_coalition_of_the_plains_resource_level_0	ironic_coalition_of_the_plains_unit_earth	faction_to_faction_own_unseen	2.0000	start_turn_completed
ironic_coalition_of_the_plains_resource_level_0	ironic_coalition_of_the_plains_unit_metal	faction_to_faction_own_unseen	4.0000	start_turn_completed
ironic_coalition_of_the_plains_resource_level_0	ironic_coalition_of_the_plains_unit_water	faction_to_faction_own_unseen	4.0000	start_turn_completed
ironic_coalition_of_the_plains_effect_bundle	ironic_frontend_description_coalition_of_the_plains_1	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_coalition_of_the_plains_effect_bundle	ironic_frontend_description_coalition_of_the_plains_2	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_coalition_of_the_plains_effect_bundle	ironic_frontend_description_coalition_of_the_plains_3	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_coalition_of_the_plains_effect_bundle	ironic_frontend_description_coalition_of_the_plains_4	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_chen_wen_character_experience	3k_main_effect_characters_experience_bonus	character_to_character_own	300.0000	start_turn_completed
ironic_chen_wen_rally_the_troops	3k_main_effect_province_mustering_speed	force_to_force_own	-3.0000	start_turn_completed
ironic_chen_wen_rally_the_troops	3k_main_effect_forces_replenishment_foreign_land	force_to_general_own_forcewide	10.0000	start_turn_completed
ironic_chen_wen_rally_the_troops	3k_main_effect_force_all_campaign_recruitment_cost_all	force_to_general_own_forcewide	-15.0000	start_turn_completed
ironic_chen_wen_arm_the_archers	3k_main_effect_unit_stats_ammo_mod_water_units	force_to_force_own	50.0000	start_turn_completed
ironic_chen_wen_arm_the_archers	3k_main_effect_unit_stats_ammo_mod_artillery_units	force_to_force_own	25.0000	start_turn_completed
ironic_chen_wen_bribe_the_land	3k_main_effect_faction_support_gain	province_to_region_own	25.0000	start_turn_completed
ironic_chen_wen_bribe_the_land	3k_main_effect_province_public_order_faction	province_to_province_own	4.0000	start_turn_completed
ironic_chen_wen_bribe_the_land	3k_main_effect_economy_gdp_mod_all	region_to_region_own	30.0000	start_turn_completed
ironic_chen_wen_feed_the_horses	3k_main_effect_faction_trait_tigers_fury_sun_jian	force_to_force_own	25.0000	start_turn_completed
ironic_chen_wen_feed_the_horses	3k_main_effect_all_cavalry_stat_mod_mass	force_to_force_own	10.0000	start_turn_completed
ironic_chen_wen_spear_head	3k_main_effect_character_stat_mod_melee_defence	force_to_force_own	10.0000	start_turn_completed
ironic_chen_wen_spear_head	3k_main_effect_unit_stats_charge_bonus_modifier_infantry	force_to_force_own	25.0000	start_turn_completed
ironic_chen_wen_monitor_the_armor	3k_main_effect_unit_stats_armour_mod	force_to_force_own	10.0000	start_turn_completed
ironic_chen_wen_monitor_the_armor	3k_main_skill_attack_rate	force_to_force_own	15.0000	start_turn_completed
