effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/data__				
3k_dlc04_bundle_faction_rank_dong_zhuo_3	3k_main_dummy_effect_faction_rank_increase	faction_to_faction_own_unseen	1.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_empress_he_1	3k_main_dummy_effect_emperor_alliance_cancel	faction_to_faction_own_unseen	1.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_empress_he_1	3k_main_dummy_effect_emperor_palace_guard	faction_to_faction_own_unseen	1.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_empress_he_1	3k_main_effect_diplomacy_modify_vassal_income	faction_to_faction_own_unseen	30.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_han_chinese_general	3k_main_dummy_effect_faction_rank_increase	faction_to_faction_own_unseen	3.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_han_chinese_general_liu_bei	3k_main_dummy_effect_faction_rank_increase	faction_to_faction_own_unseen	3.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_han_chinese_general_liu_bei	3k_main_effect_economy_character_wealth_faction_background_income_mod	faction_to_faction_own_unseen	-50.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_1	3k_main_effect_character_job_satisfaction_ignored_faction	faction_to_character_own_unseen	-100.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_1	3k_main_effect_progression_effect_armies	faction_to_faction_own_unseen	4.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_1	3k_main_effect_progression_effect_assignments	faction_to_faction_own_unseen	1.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_1	3k_ytr_dummy_faction_progression_enlightenment_info	faction_to_faction_own_unseen	1.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_2	3k_main_effect_character_job_satisfaction_ignored_faction	faction_to_character_own_unseen	-100.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_2	3k_main_effect_diplomacy_yellow_turban_mod	faction_to_faction_own_unseen	5.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_2	3k_main_effect_progression_effect_armies	faction_to_faction_own_unseen	5.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_2	3k_main_effect_progression_effect_assignments	faction_to_faction_own_unseen	2.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_2	3k_main_effect_replenishment_faction	faction_to_force_own_unseen	2.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_2	3k_ytr_dummy_faction_progression_enlightenment_info	faction_to_faction_own_unseen	1.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_3	3k_main_effect_character_job_satisfaction_ignored_faction	faction_to_character_own_unseen	-100.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_3	3k_main_effect_diplomacy_yellow_turban_mod	faction_to_faction_own_unseen	10.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_3	3k_main_effect_progression_effect_armies	faction_to_faction_own_unseen	6.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_3	3k_main_effect_progression_effect_assignments	faction_to_faction_own_unseen	3.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_3	3k_main_effect_replenishment_faction	faction_to_force_own_unseen	4.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_3	3k_ytr_dummy_faction_progression_enlightenment_info	faction_to_faction_own_unseen	1.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_4	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced_faction	faction_to_character_own_unseen	-50.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_4	3k_main_effect_diplomacy_yellow_turban_mod	faction_to_faction_own_unseen	15.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_4	3k_main_effect_progression_effect_armies	faction_to_faction_own_unseen	8.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_4	3k_main_effect_progression_effect_assignments	faction_to_faction_own_unseen	4.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_4	3k_main_effect_replenishment_faction	faction_to_force_own_unseen	6.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_4	3k_ytr_dummy_faction_progression_enlightenment_info	faction_to_faction_own_unseen	1.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_4	3k_ytr_effect_progression_limit_governor	faction_to_faction_own_unseen	2.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_5	3k_main_effect_captain_mercenary_cost_mod	faction_to_faction_own_unseen	-15.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_5	3k_main_effect_character_job_satisfaction_penalty_modifier_reduced_faction	faction_to_character_own_unseen	-50.0000	start_turn_completed
3k_dlc04_bundle_faction_rank_yellow_turban_5	3k_main_effect_diplomacy_yellow_turban_mod	faction_to_faction_own_unseen	20.0000	start_turn_completed
