effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/doumaoresource-population				
3k_main_effect_bundle_population_di_tribes_city_high	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	90.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_high	ironic_trailblazing_population	province_to_faction	6.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_high	3k_main_effect_province_building_additional_construction_limit	province_to_province_own_unseen	2.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_high	3k_main_effect_province_building_construction_cost_mod_city_level_population	province_to_region_own_unseen	-4.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_high	3k_main_effect_province_food_mod	province_to_province_own_unseen	30.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_high	3k_main_effect_province_public_order_population	province_to_province_own_unseen	-14.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_high	3k_main_effect_replenishment_population	province_to_force_own_provincewide_unseen	16.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_low	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	60.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_low	ironic_trailblazing_population	province_to_faction	5.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_low	3k_main_effect_province_building_additional_construction_limit	province_to_province_own_unseen	1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_low	3k_main_effect_province_building_construction_cost_mod_city_level_population	province_to_region_own_unseen	-2.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_low	3k_main_effect_province_food_mod	province_to_province_own_unseen	25.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_low	3k_main_effect_province_public_order_population	province_to_province_own_unseen	-10.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_low	3k_main_effect_replenishment_population	province_to_force_own_provincewide_unseen	12.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_medium	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	75.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_medium	ironic_trailblazing_population	province_to_faction	7.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_medium	3k_main_effect_province_building_additional_construction_limit	province_to_province_own_unseen	2.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_medium	3k_main_effect_province_building_construction_cost_mod_city_level_population	province_to_region_own_unseen	-3.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_medium	3k_main_effect_province_food_mod	province_to_province_own_unseen	30.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_medium	3k_main_effect_province_public_order_population	province_to_province_own_unseen	-12.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_medium	3k_main_effect_replenishment_population	province_to_force_own_provincewide_unseen	12.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_super_high	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	120.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_super_high	ironic_trailblazing_population	province_to_faction	7.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_super_high	3k_main_effect_province_building_additional_construction_limit	province_to_province_own_unseen	3.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_super_high	3k_main_effect_province_building_construction_cost_mod_city_level_population	province_to_region_own_unseen	-5.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_super_high	3k_main_effect_province_food_mod	province_to_province_own_unseen	35.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_super_high	3k_main_effect_province_public_order_population	province_to_province_own_unseen	-18.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_super_high	3k_main_effect_replenishment_population	province_to_force_own_provincewide_unseen	16.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_very_high	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	105.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_very_high	ironic_trailblazing_population	province_to_faction	8.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_very_high	3k_main_effect_province_building_additional_construction_limit	province_to_province_own_unseen	3.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_very_high	3k_main_effect_province_building_construction_cost_mod_city_level_population	province_to_region_own_unseen	-5.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_very_high	3k_main_effect_province_food_mod	province_to_province_own_unseen	35.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_very_high	3k_main_effect_province_public_order_population	province_to_province_own_unseen	-16.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_very_high	3k_main_effect_replenishment_population	province_to_force_own_provincewide_unseen	16.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_very_low	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	54.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_very_low	ironic_trailblazing_population	province_to_faction	6.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_very_low	3k_main_effect_province_building_additional_construction_limit	province_to_province_own_unseen	1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_very_low	3k_main_effect_province_building_construction_cost_mod_city_level_population	province_to_region_own_unseen	-2.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_very_low	3k_main_effect_province_food_mod	province_to_province_own_unseen	25.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_very_low	3k_main_effect_province_public_order_population	province_to_province_own_unseen	-8.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_city_very_low	3k_main_effect_replenishment_population	province_to_force_own_provincewide_unseen	12.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_high	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	200.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_high	ironic_trailblazing_population	province_to_faction	10.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_high	3k_main_effect_province_building_additional_construction_limit	province_to_province_own_unseen	4.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_high	3k_main_effect_province_building_construction_cost_mod_city_level_population	province_to_region_own_unseen	-5.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_high	3k_main_effect_province_food_mod	province_to_province_own_unseen	50.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_high	3k_main_effect_province_public_order_population	province_to_province_own_unseen	-30.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_high	3k_main_effect_replenishment_population	province_to_force_own_provincewide_unseen	24.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_low	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	150.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_low	ironic_trailblazing_population	province_to_faction	8.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_low	3k_main_effect_province_building_additional_construction_limit	province_to_province_own_unseen	4.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_low	3k_main_effect_province_building_construction_cost_mod_city_level_population	province_to_region_own_unseen	-5.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_low	3k_main_effect_province_food_mod	province_to_province_own_unseen	40.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_low	3k_main_effect_province_public_order_population	province_to_province_own_unseen	-22.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_low	3k_main_effect_replenishment_population	province_to_force_own_provincewide_unseen	20.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_medium	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	180.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_medium	ironic_trailblazing_population	province_to_faction	9.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_medium	3k_main_effect_province_building_additional_construction_limit	province_to_province_own_unseen	4.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_medium	3k_main_effect_province_building_construction_cost_mod_city_level_population	province_to_region_own_unseen	-5.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_medium	3k_main_effect_province_food_mod	province_to_province_own_unseen	45.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_medium	3k_main_effect_province_public_order_population	province_to_province_own_unseen	-26.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_metropolis_medium	3k_main_effect_replenishment_population	province_to_force_own_provincewide_unseen	24.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_high	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	39.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_high	ironic_trailblazing_population	province_to_faction	3.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_high	3k_main_effect_province_building_additional_construction_limit_dummy	province_to_province_own_unseen	1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_high	3k_main_effect_province_building_construction_cost_mod_city_level_population	province_to_region_own_unseen	-1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_high	3k_main_effect_province_food_mod	province_to_province_own_unseen	20.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_high	3k_main_effect_province_public_order_population	province_to_province_own_unseen	-2.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_high	3k_main_effect_replenishment_population	province_to_force_own_provincewide_unseen	8.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_low	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	33.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_low	ironic_trailblazing_population	province_to_faction	2.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_low	3k_main_effect_population_effects_public_order	province_to_province_own_unseen	1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_low	3k_main_effect_province_building_additional_construction_limit_dummy	province_to_province_own_unseen	1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_low	3k_main_effect_province_building_construction_cost_mod_city_level_population	province_to_region_own_unseen	-1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_low	3k_main_effect_province_food_mod	province_to_province_own_unseen	15.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_low	3k_main_effect_replenishment_population	province_to_force_own_provincewide_unseen	4.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_medium	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	36.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_medium	ironic_trailblazing_population	province_to_faction	4.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_medium	3k_main_effect_province_building_additional_construction_limit_dummy	province_to_province_own_unseen	1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_medium	3k_main_effect_province_building_construction_cost_mod_city_level_population	province_to_region_own_unseen	-1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_medium	3k_main_effect_province_food_mod	province_to_province_own_unseen	15.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_medium	3k_main_effect_province_public_order_population	province_to_province_own_unseen	-1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_medium	3k_main_effect_replenishment_population	province_to_force_own_provincewide_unseen	4.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_super_high	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	48.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_super_high	ironic_trailblazing_population	province_to_faction	4.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_super_high	3k_main_effect_province_building_additional_construction_limit	province_to_province_own_unseen	1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_super_high	3k_main_effect_province_building_construction_cost_mod_city_level_population	province_to_region_own_unseen	-1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_super_high	3k_main_effect_province_food_mod	province_to_province_own_unseen	20.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_super_high	3k_main_effect_province_public_order_population	province_to_province_own_unseen	-6.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_super_high	3k_main_effect_replenishment_population	province_to_force_own_provincewide_unseen	8.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_very_high	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	42.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_very_high	ironic_trailblazing_population	province_to_faction	5.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_very_high	3k_main_effect_province_building_additional_construction_limit	province_to_province_own_unseen	1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_very_high	3k_main_effect_province_building_construction_cost_mod_city_level_population	province_to_region_own_unseen	-1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_very_high	3k_main_effect_province_food_mod	province_to_province_own_unseen	20.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_very_high	3k_main_effect_province_public_order_population	province_to_province_own_unseen	-4.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_very_high	3k_main_effect_replenishment_population	province_to_force_own_provincewide_unseen	8.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_very_low	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	30.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_very_low	ironic_trailblazing_population	province_to_faction	3.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_very_low	3k_main_effect_population_effects_public_order	province_to_province_own_unseen	1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_very_low	3k_main_effect_province_building_additional_construction_limit_dummy	province_to_province_own_unseen	1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_very_low	3k_main_effect_province_building_construction_cost_mod_city_level_population	province_to_region_own_unseen	-1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_very_low	3k_main_effect_province_food_mod	province_to_province_own_unseen	15.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_town_very_low	3k_main_effect_replenishment_population	province_to_force_own_provincewide_unseen	4.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_village_high	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	22.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_village_high	ironic_trailblazing_population	province_to_faction	1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_village_high	3k_main_effect_population_effects_public_order	province_to_province_own_unseen	1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_village_high	3k_main_effect_population_effects_replenishment	province_to_force_own_provincewide_unseen	1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_village_high	3k_main_effect_province_building_additional_construction_limit_dummy	province_to_province_own_unseen	1.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_village_high	3k_main_effect_province_food_mod	province_to_province_own_unseen	10.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_village_low	3k_main_effect_economy_gdp_mod_peasantry_from_population	province_to_region_own_unseen	15.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_village_low	ironic_trailblazing_population	province_to_faction	0.0000	start_turn_completed
3k_main_effect_bundle_population_di_tribes_village_low	3k_main_effect_population_effects_public_order	province_to_province_own_unseen	1.0000	start_turn_completed
