effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/ganningresource				
ironic_robin_hood_resource_level_0	ironic_robin_hood_decay	faction_to_faction_own	-2.0000	start_turn_completed
ironic_robin_hood_resource_level_1	ironic_robin_hood_decay	faction_to_faction_own	-5.0000	start_turn_completed
ironic_robin_hood_resource_level_2	ironic_robin_hood_decay	faction_to_faction_own	-10.0000	start_turn_completed
ironic_robin_hood_resource_level_3	ironic_robin_hood_decay	faction_to_faction_own	-15.0000	start_turn_completed
ironic_robin_hood_resource_level_4	ironic_robin_hood_decay	faction_to_faction_own	-25.0000	start_turn_completed
ironic_robin_hood_resource_level_0	3k_ironic_effect_campaign_movement_sea_in_own_regions	faction_to_force_own_factionwide	5.0000	start_turn_completed
ironic_robin_hood_resource_level_1	3k_ironic_effect_campaign_movement_sea_in_own_regions	faction_to_force_own_factionwide	10.0000	start_turn_completed
ironic_robin_hood_resource_level_2	3k_ironic_effect_campaign_movement_sea_in_own_regions	faction_to_force_own_factionwide	15.0000	start_turn_completed
ironic_robin_hood_resource_level_3	3k_ironic_effect_campaign_movement_sea_in_own_regions	faction_to_force_own_factionwide	25.0000	start_turn_completed
ironic_robin_hood_resource_level_4	3k_ironic_effect_campaign_movement_sea_in_own_regions	faction_to_force_own_factionwide	40.0000	start_turn_completed
ironic_robin_hood_resource_level_1	3k_main_effect_force_army_all_damage_and_all_ap_damage_when_attacking	faction_to_force_own_factionwide	4.0000	start_turn_completed
ironic_robin_hood_resource_level_2	3k_main_effect_force_army_all_damage_and_all_ap_damage_when_attacking	faction_to_force_own_factionwide	8.0000	start_turn_completed
ironic_robin_hood_resource_level_3	3k_main_effect_force_army_all_damage_and_all_ap_damage_when_attacking	faction_to_force_own_factionwide	12.0000	start_turn_completed
ironic_robin_hood_resource_level_4	3k_main_effect_force_army_all_damage_and_all_ap_damage_when_attacking	faction_to_force_own_factionwide	16.0000	start_turn_completed
ironic_robin_hood_resource_level_0	3k_main_effect_unit_stats_charge_bonus_modifier_all	faction_to_force_own_factionwide	5.0000	start_turn_completed
ironic_robin_hood_resource_level_1	3k_main_effect_unit_stats_charge_bonus_modifier_all	faction_to_force_own_factionwide	15.0000	start_turn_completed
ironic_robin_hood_resource_level_2	3k_main_effect_unit_stats_charge_bonus_modifier_all	faction_to_force_own_factionwide	30.0000	start_turn_completed
ironic_robin_hood_resource_level_3	3k_main_effect_unit_stats_charge_bonus_modifier_all	faction_to_force_own_factionwide	45.0000	start_turn_completed
ironic_robin_hood_resource_level_4	3k_main_effect_unit_stats_charge_bonus_modifier_all	faction_to_force_own_factionwide	60.0000	start_turn_completed
ironic_robin_hood_resource_level_0	3k_main_effect_force_retinue_upkeep	faction_to_force_own_factionwide	-2.0000	start_turn_completed
ironic_robin_hood_resource_level_1	3k_main_effect_force_retinue_upkeep	faction_to_force_own_factionwide	-5.0000	start_turn_completed
ironic_robin_hood_resource_level_2	3k_main_effect_force_retinue_upkeep	faction_to_force_own_factionwide	-8.0000	start_turn_completed
ironic_robin_hood_resource_level_3	3k_main_effect_force_retinue_upkeep	faction_to_force_own_factionwide	-12.0000	start_turn_completed
ironic_robin_hood_resource_level_4	3k_main_effect_force_retinue_upkeep	faction_to_force_own_factionwide	-16.0000	start_turn_completed
ironic_robin_hood_resource_level_0	ironic_robin_hood_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_robin_hood_resource_level_1	ironic_robin_hood_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_robin_hood_resource_level_2	ironic_robin_hood_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_robin_hood_resource_level_3	ironic_robin_hood_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_robin_hood_resource_level_4	ironic_robin_hood_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_robin_hood_resource_level_0	ironic_robin_hood_info_loss	faction_to_faction_own_unseen	-1.0000	start_turn_completed
ironic_robin_hood_resource_level_1	ironic_robin_hood_info_loss	faction_to_faction_own_unseen	-1.0000	start_turn_completed
ironic_robin_hood_resource_level_2	ironic_robin_hood_info_loss	faction_to_faction_own_unseen	-1.0000	start_turn_completed
ironic_robin_hood_resource_level_3	ironic_robin_hood_info_loss	faction_to_faction_own_unseen	-1.0000	start_turn_completed
ironic_robin_hood_resource_level_4	ironic_robin_hood_info_loss	faction_to_faction_own_unseen	-1.0000	start_turn_completed
ironic_robin_hood_spoils	3k_dlc05_effect_economy_gdp_mod_banditry	force_to_region_own_provincewide_territory_own	200.0000	start_turn_completed
ironic_robin_hood_spoils	3k_dlc05_effect_province_food_mod_banditry	force_to_region_own_provincewide_territory_own	200.0000	start_turn_completed
ironic_robin_hood_spoils	3k_main_effect_force_all_campaign_stance_cannot_attack_dummy	force_to_force_own	1.0000	start_turn_completed
ironic_robin_hood_spoils	3k_main_effect_force_military_supplies_from_stances_bandit	force_to_force_own	-45.0000	start_turn_completed
ironic_robin_hood_spoils	3k_main_effect_province_supply_stockpile_abs_stances	force_to_province_own	20.0000	start_turn_completed
ironic_robin_hood_spoils	3k_main_effect_replenishment_force_morale	force_to_force_own	25.0000	start_turn_completed
ironic_robin_hood_spoils	ironic_robin_hood_gain_spoils	force_to_faction_own_factionwide	5.0000	start_turn_completed
ironic_robin_hood_raiding	3k_dlc05_effect_force_military_supplies_from_raiding_dummy	force_to_force_own	1.0000	end_round_completed
ironic_robin_hood_raiding	3k_main_effect_force_all_campaign_stance_ap_cost	force_to_force_own	25.0000	start_turn_completed
ironic_robin_hood_raiding	3k_main_effect_force_all_campaign_stance_can_attack_dummy	force_to_force_own	1.0000	start_turn_completed
ironic_robin_hood_raiding	3k_main_effect_force_begin_fatigue_3	army_to_army_own	3.0000	start_turn_completed
ironic_robin_hood_raiding	3k_main_effect_force_military_supplies_from_raiding	force_to_force_own	25.0000	start_turn_completed
ironic_robin_hood_raiding	3k_main_effect_province_public_order_from_forces_positive_good	force_to_province_any	-18.0000	start_turn_completed
ironic_robin_hood_raiding	3k_main_effect_province_supply_stockpile_abs_stances	force_to_province_any	-5.0000	start_turn_completed
ironic_robin_hood_raiding	ironic_robin_hood_loss_raid	force_to_faction_own_factionwide	-10.0000	start_turn_completed
ironic_robin_hood_effect_bundle	ironic_robin_hood_effect_bundle_1	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_robin_hood_effect_bundle	ironic_robin_hood_effect_bundle_2	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_robin_hood_effect_bundle	ironic_robin_hood_effect_bundle_3	faction_to_faction_own_unseen	1.0000	start_turn_completed
