effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/gaoganresource				
ironic_defensive_effect_bundle	ironic_defensive_frontend_1	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_effect_bundle	ironic_defensive_frontend_2	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_effect_bundle	ironic_defensive_frontend_3	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_effect_bundle	ironic_defensive_frontend_4	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_resource_level_0	ironic_defensive_struggle_info_gain	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_resource_level_1	ironic_defensive_struggle_info_gain	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_resource_level_2	ironic_defensive_struggle_info_gain	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_resource_level_3	ironic_defensive_struggle_info_gain	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_resource_level_4	ironic_defensive_struggle_info_gain	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_resource_level_5	ironic_defensive_struggle_info_gain	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_resource_level_6	ironic_defensive_struggle_info_gain	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_resource_level_0	ironic_defensive_struggle_info_loss	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_resource_level_1	ironic_defensive_struggle_info_loss	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_resource_level_2	ironic_defensive_struggle_info_loss	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_resource_level_3	ironic_defensive_struggle_info_loss	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_resource_level_4	ironic_defensive_struggle_info_loss	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_resource_level_5	ironic_defensive_struggle_info_loss	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_resource_level_6	ironic_defensive_struggle_info_loss	faction_to_faction_own	1.0000	start_turn_completed
ironic_defensive_resource_level_0	ironic_defensive_gao_gan_decay	faction_to_faction_own	5.0000	start_turn_completed
ironic_defensive_resource_level_1	ironic_defensive_gao_gan_decay	faction_to_faction_own	5.0000	start_turn_completed
ironic_defensive_resource_level_2	ironic_defensive_gao_gan_decay	faction_to_faction_own	5.0000	start_turn_completed
ironic_defensive_resource_level_3	ironic_defensive_gao_gan_decay	faction_to_faction_own	5.0000	start_turn_completed
ironic_defensive_resource_level_4	ironic_defensive_gao_gan_decay	faction_to_faction_own	5.0000	start_turn_completed
ironic_defensive_resource_level_5	ironic_defensive_gao_gan_decay	faction_to_faction_own	5.0000	start_turn_completed
ironic_defensive_resource_level_6	ironic_defensive_gao_gan_decay	faction_to_faction_own	5.0000	start_turn_completed
ironic_defensive_resource_level_1	3k_main_effect_unit_stats_morale_own_forces_when_defending	faction_to_army_own	1.0000	start_turn_completed
ironic_defensive_resource_level_2	3k_main_effect_unit_stats_morale_own_forces_when_defending	faction_to_army_own	2.0000	start_turn_completed
ironic_defensive_resource_level_3	3k_main_effect_unit_stats_morale_own_forces_when_defending	faction_to_army_own	4.0000	start_turn_completed
ironic_defensive_resource_level_4	3k_main_effect_unit_stats_morale_own_forces_when_defending	faction_to_army_own	5.0000	start_turn_completed
ironic_defensive_resource_level_5	3k_main_effect_unit_stats_morale_own_forces_when_defending	faction_to_army_own	7.0000	start_turn_completed
ironic_defensive_resource_level_6	3k_main_effect_unit_stats_morale_own_forces_when_defending	faction_to_army_own	10.0000	start_turn_completed
