effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/gongsunduhanrelation				
ironic_liaodong_han_relations_resource_level_0	ironic_liaodong_han_relations_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_1	ironic_liaodong_han_relations_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_2	ironic_liaodong_han_relations_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_3	ironic_liaodong_han_relations_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_4	ironic_liaodong_han_relations_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_0	ironic_liaodong_han_relations_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_1	ironic_liaodong_han_relations_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_2	ironic_liaodong_han_relations_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_3	ironic_liaodong_han_relations_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_4	ironic_liaodong_han_relations_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liaodong_han_relations_effect_bundle	ironic_frontend_description_liaodong_han_relations_1	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liaodong_han_relations_effect_bundle	ironic_frontend_description_liaodong_han_relations_2	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liaodong_han_relations_effect_bundle	ironic_frontend_description_liaodong_han_relations_3	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liaodong_han_relations_effect_bundle	ironic_frontend_description_liaodong_han_relations_4	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_0	ironic_liaodong_han_relations_negative_on_korea	faction_to_faction_own_unseen	10.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_1	ironic_liaodong_han_relations_negative_on_korea	faction_to_faction_own_unseen	-5.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_2	ironic_liaodong_han_relations_negative_on_korea	faction_to_faction_own_unseen	-25.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_3	ironic_liaodong_han_relations_negative_on_korea	faction_to_faction_own_unseen	-75.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_4	ironic_liaodong_han_relations_negative_on_korea	faction_to_faction_own_unseen	-150.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_2	3k_dlc07_pooled_factor_resource_imperial_favour_affairs	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_3	3k_dlc07_pooled_factor_resource_imperial_favour_affairs	faction_to_faction_own_unseen	3.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_4	3k_dlc07_pooled_factor_resource_imperial_favour_affairs	faction_to_faction_own_unseen	5.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_1	ironic_gongsun_du_diplomactic_relations_with_han_factions	faction_to_faction_own_unseen	3.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_2	ironic_gongsun_du_diplomactic_relations_with_han_factions	faction_to_faction_own_unseen	5.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_3	ironic_gongsun_du_diplomactic_relations_with_han_factions	faction_to_faction_own_unseen	10.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_4	ironic_gongsun_du_diplomactic_relations_with_han_factions	faction_to_faction_own_unseen	15.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_1	ironic_gongsun_du_diplomactic_relations_with_non_han_factions	faction_to_faction_own_unseen	-3.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_2	ironic_gongsun_du_diplomactic_relations_with_non_han_factions	faction_to_faction_own_unseen	-5.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_3	ironic_gongsun_du_diplomactic_relations_with_non_han_factions	faction_to_faction_own_unseen	-10.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_4	ironic_gongsun_du_diplomactic_relations_with_non_han_factions	faction_to_faction_own_unseen	-20.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_2	ironic_gongsun_du_han_units_upkeep	faction_to_army_own	-10.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_3	ironic_gongsun_du_han_units_upkeep	faction_to_army_own	-15.0000	start_turn_completed
ironic_liaodong_han_relations_resource_level_4	ironic_gongsun_du_han_units_upkeep	faction_to_army_own	-20.0000	start_turn_completed
