effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/handanresource				
ironic_firmness_resource_level_0	ironic_firmness_decay	faction_to_faction_own	-2.0000	start_turn_completed
ironic_firmness_resource_level_1	ironic_firmness_decay	faction_to_faction_own	-5.0000	start_turn_completed
ironic_firmness_resource_level_2	ironic_firmness_decay	faction_to_faction_own	-10.0000	start_turn_completed
ironic_firmness_resource_level_3	ironic_firmness_decay	faction_to_faction_own	-15.0000	start_turn_completed
ironic_firmness_resource_level_4	ironic_firmness_decay	faction_to_faction_own	-25.0000	start_turn_completed
ironic_firmness_resource_level_0	ironic_firmness_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_firmness_resource_level_1	ironic_firmness_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_firmness_resource_level_2	ironic_firmness_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_firmness_resource_level_3	ironic_firmness_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_firmness_resource_level_4	ironic_firmness_info_gain	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_firmness_resource_level_0	ironic_firmness_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_firmness_resource_level_1	ironic_firmness_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_firmness_resource_level_2	ironic_firmness_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_firmness_resource_level_3	ironic_firmness_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_firmness_resource_level_4	ironic_firmness_info_loss	faction_to_faction_own_unseen	1.0000	start_turn_completed
ironic_firmness_resource_level_0	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own	-10.0000	start_turn_completed
ironic_firmness_resource_level_1	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own	5.0000	start_turn_completed
ironic_firmness_resource_level_2	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own	10.0000	start_turn_completed
ironic_firmness_resource_level_3	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own	15.0000	start_turn_completed
ironic_firmness_resource_level_4	3k_main_effect_unit_stats_unit_upkeep_all_units	faction_to_force_own	25.0000	start_turn_completed
ironic_firmness_resource_level_2	3k_main_effect_diplomacy_han_empire_mod	faction_to_faction_own	-4.0000	start_turn_completed
ironic_firmness_resource_level_3	3k_main_effect_diplomacy_han_empire_mod	faction_to_faction_own	-8.0000	start_turn_completed
ironic_firmness_resource_level_4	3k_main_effect_diplomacy_han_empire_mod	faction_to_faction_own	-10.0000	start_turn_completed
ironic_firmness_resource_level_1	3k_main_effect_undercover_character_cover_points_per_turn_mod	faction_to_character_undercover_own_factionwide	3.0000	start_turn_completed
ironic_firmness_resource_level_2	3k_main_effect_undercover_character_cover_points_per_turn_mod	faction_to_character_undercover_own_factionwide	6.0000	start_turn_completed
ironic_firmness_resource_level_3	3k_main_effect_undercover_character_cover_points_per_turn_mod	faction_to_character_undercover_own_factionwide	9.0000	start_turn_completed
ironic_firmness_resource_level_4	3k_main_effect_undercover_character_cover_points_per_turn_mod	faction_to_character_undercover_own_factionwide	12.0000	start_turn_completed
ironic_firmness_resource_level_2	3k_main_effect_unit_stats_morale_abs	faction_to_force_own	3.0000	start_turn_completed
ironic_firmness_resource_level_3	3k_main_effect_unit_stats_morale_abs	faction_to_force_own	5.0000	start_turn_completed
ironic_firmness_resource_level_4	3k_main_effect_unit_stats_morale_abs	faction_to_force_own	10.0000	start_turn_completed
ironic_firmness_resource_level_3	3k_main_effect_unit_stats_ranged_damage_water_units	faction_to_force_own	6.0000	start_turn_completed
ironic_firmness_resource_level_4	3k_main_effect_unit_stats_ranged_damage_water_units	faction_to_force_own	12.0000	start_turn_completed
ironic_firmness_resource_level_4	3k_main_effect_unit_stats_charge_bonus_modifier_all	faction_to_force_own	15.0000	start_turn_completed
ironic_firmness_effect_bundle	ironic_firmness_effect_bundle_frontend_1	faction_to_faction_own	1.0000	start_turn_completed
ironic_firmness_effect_bundle	ironic_firmness_effect_bundle_frontend_2	faction_to_faction_own	1.0000	start_turn_completed
ironic_firmness_effect_bundle	ironic_firmness_effect_bundle_frontend_3	faction_to_faction_own	1.0000	start_turn_completed
ironic_firmness_effect_bundle	ironic_firmness_effect_bundle_frontend_4	faction_to_faction_own	1.0000	start_turn_completed
ironic_firmness_effect_bundle	ironic_firmness_effect_bundle_frontend_5	faction_to_faction_own	1.0000	start_turn_completed
