effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/ironic_190e_boosts				
ironic_boost_xp_25	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide_unseen	25.0000	start_turn_completed
ironic_boost_xp_50	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide_unseen	50.0000	start_turn_completed
ironic_boost_xp_75	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide_unseen	75.0000	start_turn_completed
ironic_boost_xp_100	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide_unseen	100.0000	start_turn_completed
ironic_boost_xp_125	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide_unseen	125.0000	start_turn_completed
ironic_boost_xp_150	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide_unseen	150.0000	start_turn_completed
ironic_boost_xp_175	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide_unseen	175.0000	start_turn_completed
ironic_boost_xp_200	3k_main_effect_characters_experience_bonus	faction_to_character_own_factionwide_unseen	200.0000	start_turn_completed
ironic_boost_research_25	3k_main_effect_technology_research_points	faction_to_faction_own_unseen	25.0000	start_turn_completed
ironic_boost_research_50	3k_main_effect_technology_research_points	faction_to_faction_own_unseen	50.0000	start_turn_completed
ironic_boost_research_75	3k_main_effect_technology_research_points	faction_to_faction_own_unseen	75.0000	start_turn_completed
ironic_boost_research_100	3k_main_effect_technology_research_points	faction_to_faction_own_unseen	100.0000	start_turn_completed
ironic_boost_research_125	3k_main_effect_technology_research_points	faction_to_faction_own_unseen	125.0000	start_turn_completed
ironic_boost_research_150	3k_main_effect_technology_research_points	faction_to_faction_own_unseen	150.0000	start_turn_completed
ironic_boost_research_175	3k_main_effect_technology_research_points	faction_to_faction_own_unseen	175.0000	start_turn_completed
ironic_boost_research_200	3k_main_effect_technology_research_points	faction_to_faction_own_unseen	200.0000	start_turn_completed
